"type","name","description","visits","creation_date","downloads","publication_stage","api_endpoint","provenance","last_data_updated_date","uid","owner","owner_uid","audience","approval_status","url","domain","derived_view","row_count"
"visualization","Untitled Visualization - Based on Street Centerlines (w/ PCI rating)","City of Cincinnati street center line data, broken out by street segment. Pavement Condition Index (PCI) rating for each street segment is also included. Pavement Condition is assessed annually by the Department of Transportation & Engineering (DOTE).<br /><br />This data is maintained by the Department of Transportation & Engineering, and is refreshed daily.","201","20171130000000","4","published","https://data.cincinnati-oh.gov/resource/d7q6-dd7x.json","community","2022-08-28T00:00:00.000","d7q6-dd7x","Ian Schwarzenberg","bis7-3k4s","public","approved","https://data.cincinnati-oh.gov/d/d7q6-dd7x","data.cincinnati-oh.gov","Yes",
"filter","CityCinSalDesc","City of Cincinnati Salary Schedule","1458","20150713000000","303","published","https://data.cincinnati-oh.gov/resource/kanc-a2aq.json","community","2022-08-28T00:00:00.000","kanc-a2aq","dave white","t4qd-z872","public","approved","https://data.cincinnati-oh.gov/d/kanc-a2aq","data.cincinnati-oh.gov","Yes",
"dataset","CPD Contact Cards","Data Description: This dataset captures all Cincinnati Police Department Contact Carrds. This data includes time of incident, officer assignment, race/sex of stop subject, and outcome of the stop (""Action taken""). Individual contact cards may populate multiple data rows to account for multiple outcomes or multiple items of contraband: ""interview number"" is the unique identifier for every one (1) stop. 

Data Creation: This data is created when CPD completes a pedestrian or traffic stop and logs the interview via Contact Cards. Contact Cards are a result of the Collaborative Agreement. Contact Cards are manually entered and may experience lags in data entry.

Data Created by: This data is created by the Cincinnati Police Department.

Refresh Frequency: This data is updated daily.

Data Dictionary: A data dictionary providing definitions of columns and attributes is available as an attachment to this dataset.

Processing: The City of Cincinnati is committed to providing the most granular and accurate data possible. In that pursuit the Office of Performance and Data Analytics facilitates standard processing to most raw data prior to publication. Processing includes but is not limited: address verification, geocoding, decoding attributes, and addition of administrative areas (i.e. Census, neighborhoods, police districts, etc.).

Data Usage: For directions on downloading and using open data please visit our How-to Guide: https://data.cincinnati-oh.gov/dataset/Open-Data-How-To-Guide/gdr9-g3ad

Disclaimer: In compliance with privacy laws, all Public Safety datasets are anonymized and appropriately redacted prior to publication on the City of Cincinnati’s Open Data Portal. This means that for all public safety datasets: (1) the last two digits of all addresses have been replaced with “XX,” and in cases where there is a single digit street address, the entire address number is replaced with ""X""; and (2) Latitude and Longitude have been randomly skewed to represent values within the same block area (but not the exact location) of the incident.","269","20211123000000","13","published","https://data.cincinnati-oh.gov/resource/svan-pass.json","official","2022-08-28T00:00:00.000","svan-pass","Office of Performance & Data Analytics","wvxi-y5xi","public","approved","https://data.cincinnati-oh.gov/d/svan-pass","data.cincinnati-oh.gov","No",
"filter","Cleaned vendor payments","Data Description: This data set contains all records of payments made to vendors by the City of Cincinnati from fiscal year 2014 to present. It includes information such as the department who paid for the service, the reason for payment, and vendor name.

Data Creation: This data is pulled directly from the City's financial software; which centralizes all department financial transactions city wide.   

Data Created By: The Cincinnati Financial System (CFS)

Refresh Frequency: Weekly

Data Dictionary: A data dictionary providing definitions of columns and attributes is available as an attachment to this data set.

Processing: The City of Cincinnati is committed to providing the most granular and accurate data possible. In that pursuit the Office of Performance and Data Analytics facilitates standard processing to most raw data prior to publication. Processing includes but is not limited: address verification, geocoding, decoding attributes, and addition of administrative areas (i.e. Census, neighborhoods, police districts, etc.).

Data Usage: For directions on downloading and using open data please visit our How-to Guide: https://data.cincinnati-oh.gov/dataset/Open-Data-How-To-Guide/gdr9-g3ad","116","20200730000000","74","published","https://data.cincinnati-oh.gov/resource/nusm-bscm.json","community","2022-08-28T00:00:00.000","nusm-bscm","Ashley Collins","mz4x-ctvs","public","approved","https://data.cincinnati-oh.gov/d/nusm-bscm","data.cincinnati-oh.gov","Yes",
"dataset","CincyInsights Website Analytics","Data Description: This data set provides all usage information for all web pages on the City of Cincinnati's interactive dashboard portal, CincyInsights.

Data Creation: This data set is maintained by the City of Cincinnati's Open Data host, Socrata.

Data Created By: Socrata

Refresh Frequency: Daily

Data Dictionary: A data dictionary providing definitions of columns and attributes is available as an attachment to this data set.

Processing: The City of Cincinnati is committed to providing the most granular and accurate data possible. In that pursuit the Office of Performance and Data Analytics facilitates standard processing to most raw data prior to publication. Processing includes but is not limited: address verification, geocoding, decoding attributes, and addition of administrative areas (i.e. Census, neighborhoods, police districts, etc.).

Data Usage: For directions on downloading and using open data please visit our How-to Guide: https://data.cincinnati-oh.gov/dataset/Open-Data-How-To-Guide/gdr9-g3ad","689","20180927000000","131","published","https://data.cincinnati-oh.gov/resource/rcr9-82q7.json","official","2022-08-28T00:00:00.000","rcr9-82q7","Office of Performance & Data Analytics","wvxi-y5xi","public","approved","https://data.cincinnati-oh.gov/d/rcr9-82q7","data.cincinnati-oh.gov","No","65"
"filter","April-June","All Permits from Cincinnati Building Department from 2012","866","20150706000000","293","published","https://data.cincinnati-oh.gov/resource/9zc2-8zsh.json","community","2022-08-28T00:00:00.000","9zc2-8zsh","Carly","rgdu-hae4","public","approved","https://data.cincinnati-oh.gov/d/9zc2-8zsh","data.cincinnati-oh.gov","Yes",
"filter","AmountOver200000","Data Description: This data set contains all records of payments made to vendors by the City of Cincinnati from fiscal year 2014 to present. It includes information such as the department who paid for the service, the reason for payment, and vendor name.

Data Creation: This data is pulled directly from the City's financial software; which centralizes all department financial transactions city wide.   

Data Created By: The Cincinnati Financial System (CFS)

Refresh Frequency: Weekly

Data Dictionary: A data dictionary providing definitions of columns and attributes is available as an attachment to this data set.

Processing: The City of Cincinnati is committed to providing the most granular and accurate data possible. In that pursuit the Office of Performance and Data Analytics facilitates standard processing to most raw data prior to publication. Processing includes but is not limited: address verification, geocoding, decoding attributes, and addition of administrative areas (i.e. Census, neighborhoods, police districts, etc.).

Data Usage: For directions on downloading and using open data please visit our How-to Guide: https://data.cincinnati-oh.gov/dataset/Open-Data-How-To-Guide/gdr9-g3ad","57","20200723000000","14","published","https://data.cincinnati-oh.gov/resource/qpb7-8sct.json","community","2022-08-28T00:00:00.000","qpb7-8sct","Krish","f7pa-g5he","public","approved","https://data.cincinnati-oh.gov/d/qpb7-8sct","data.cincinnati-oh.gov","Yes",
"dataset","DCED Properties and RFPs","Data Description: This dataset contains information on the Department of Community and Economic Development's (DCED) Requests for Proposals (RFPs) for city-owned property and City owned parcels that are available for purchase. This dataset is maintained by DCED.

For more information on the RFPs, visit https://choosecincy.com/opportunities/rfp/

Data Creation: Updated based on DCED’s record of city owned properties

Data Created By: DCED

Refresh Frequency: Daily

CincyInsights: The City of Cincinnati maintains an interactive dashboard portal, CincyInsights in addition to our Open Data in an effort to increase access and usage of city data. This data set has an associated dashboard available here: https://insights.cincinnati-oh.gov/stories/s/eqxp-z2ew

Data Dictionary: A data dictionary providing definitions of columns and attributes is available as an attachment to this dataset.

Processing: The City of Cincinnati is committed to providing the most granular and accurate data possible. In that pursuit the Office of Performance and Data Analytics  facilitates standard processing to most raw data prior to publication. Processing includes but is not limited: address verification, geocoding, decoding attributes, and addition of administrative areas (i.e. Census, neighborhoods, police districts, etc.).

Data Usage: For directions on downloading and using open data please visit our How-to Guide: https://data.cincinnati-oh.gov/dataset/Open-Data-How-To-Guide/gdr9-g3ad","746","20190425000000","150","published","https://data.cincinnati-oh.gov/resource/gubx-p4qi.json","official","2022-08-28T00:00:00.000","gubx-p4qi","Office of Performance & Data Analytics","wvxi-y5xi","public","approved","https://data.cincinnati-oh.gov/d/gubx-p4qi","data.cincinnati-oh.gov","No","265"
"filter","Data 200000","Data Description: This data set contains all records of payments made to vendors by the City of Cincinnati from fiscal year 2014 to present. It includes information such as the department who paid for the service, the reason for payment, and vendor name.

Data Creation: This data is pulled directly from the City's financial software; which centralizes all department financial transactions city wide.   

Data Created By: The Cincinnati Financial System (CFS)

Refresh Frequency: Weekly

Data Dictionary: A data dictionary providing definitions of columns and attributes is available as an attachment to this data set.

Processing: The City of Cincinnati is committed to providing the most granular and accurate data possible. In that pursuit the Office of Performance and Data Analytics facilitates standard processing to most raw data prior to publication. Processing includes but is not limited: address verification, geocoding, decoding attributes, and addition of administrative areas (i.e. Census, neighborhoods, police districts, etc.).

Data Usage: For directions on downloading and using open data please visit our How-to Guide: https://data.cincinnati-oh.gov/dataset/Open-Data-How-To-Guide/gdr9-g3ad","117","20200728000000","8","published","https://data.cincinnati-oh.gov/resource/8w99-x4kp.json","community","2022-08-28T00:00:00.000","8w99-x4kp","Alexis Eckart","krgz-5bkh","public","approved","https://data.cincinnati-oh.gov/d/8w99-x4kp","data.cincinnati-oh.gov","Yes",
"filter","Building Permits","All Permits from Cincinnati Building Department from 2012","794","20170523000000","353","published","https://data.cincinnati-oh.gov/resource/85pt-d6vq.json","community","2022-08-28T00:00:00.000","85pt-d6vq","jerndt","eycc-dn6j","public","approved","https://data.cincinnati-oh.gov/d/85pt-d6vq","data.cincinnati-oh.gov","Yes",
