"recordnum_license","license_no","business_name","address","city","state","postal_code","latitude","longitude","phone_number","license_status","recordnum_insp","insp_type","insp_subtype","action_date","action_sequence","action_status","code","violation_description","violation_comments","violation_key","last_table_update","neighborhood","community_council_neighborhood"
"H202100315","FSO-025004-C4S","""PHO VIET""","6173 GLENWAY AV","CINCINNATI","OH","45211","39.14378455100154","-84.6222623351861","5134811555","PAID","CFSI214063","ROUTINE","STANDARD INSPECTION","2022-04-01T00:00:00.000","A025375386","Abated","3717-1-03.2(E)","""3717-1-03.2(E) - Violation - Pasteurized eggs-Substitute

Unpasteurized eggs are being used to make products that are not fully cooked; or are being served without a consumer advisory; or are being served to a highly susceptible population.""","""Violation has been abated""","HF18380500","2022-04-01T00:00:00.000","WESTWOOD",
"H202100315","FSO-025004-C4S","""PHO VIET""","6173 GLENWAY AV","CINCINNATI","OH","45211","39.14378455100154","-84.6222623351861","5134811555","PAID","CFSI214063","ROUTINE","STANDARD INSPECTION","2022-04-01T00:00:00.000","A025375383","Abated","3717-1-03.4(C)","""3717-1-03.4(C)  - Violation - Thawing TCS-Temperature / Time Control

TCS food was improperly thawed.""","""Violation has been abated""","HF18420775","2022-04-01T00:00:00.000","WESTWOOD",
"H201100193","FSO-018765-C4S","""CLOUD NINE""","1018 DELTA AV","CINCINNATI","OH","45208","39.12905664839105","-84.4298804776975","513-533-9218","LICENSE","CFSI220155","COMPLAINT","COMPLAINT","2022-03-30T00:00:00.000",,"CLOS-NO  - No Violations Found",,,,,"2022-03-31T00:00:00.000","MT. LOOKOUT",
"H201600238","FSO-021850-C4S","""CACTUS PEAR""","3215 JEFFERSON AV","CINCINNATI","OH","45220","39.138601802589555","-84.5123131526819","(513) 961-7400","DELINQ","CFSI213521","ROUTINE","STANDARD INSPECTION","2022-03-31T00:00:00.000","A025372588","Abated","3717-1-06.4(B)(1)","""3717-1-06.4(B)(1) - Violation - Facilities: Cleaning: Frequency 

The physical facilities are not cleaned as often as necessary to keep them clean.""","""Violation has been abated""","HF18622585","2022-03-31T00:00:00.000","CUF",
"H200800169","FSO-001178-C4S","""COFFEE EMPORIUM""","110 E CENTRAL PKWY","CINCINNATI","OH","45202","39.10778279589287","-84.5126052911203","513- 651-5483","LICENSE","CFSI220248","ROUTINE","STANDARD INSPECTION","2022-08-02T00:00:00.000","A025912212","Not Abated","3717-1-03.2(D)","""3717-1-03.2(D) - Violation - Food Storage containers-common name ID

Working containers of food are not properly labeled.""","""1. Part of the labels on packaged cookies was chopped off.
2. Statement of responsibility was not included on the Kitchen Granola packages.""","HF18440495","2022-08-02T00:00:00.000","OVER-THE-RHINE",
"H202100342","RFE-025039-C3S","""FILLO GREEK BAKE SHOP""","1505 RACE ST","CINCINNATI","OH","45202","39.11161942474456","-84.517502256326","513-628-7928","LICENSE","CFSI223487","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016222","Not Abated","3717-1-06.4(K)","""3717-1-06.4(K) - Violation - Facilities: Pest control: 

The presence of insects, rodents, and other pests is not being adequately controlled or minimized.""","""OBSERVATION: Observed a few small flying insects throughout facility.
CORRECTIVE ACTION: Operator is using a natural method of honey and vinegar traps. Also, a pest control company will continue to service.""","HF18452645","2022-08-26T00:00:00.000","OVER-THE-RHINE",
"H200800169","FSO-001178-C4S","""COFFEE EMPORIUM""","110 E CENTRAL PKWY","CINCINNATI","OH","45202","39.10778279589287","-84.5126052911203","513- 651-5483","LICENSE","CFSI220248","ROUTINE","STANDARD INSPECTION","2022-08-02T00:00:00.000","A025912217","Abated","3717-1-04.5(A)(1)","""3717-1-04.5(A)(1)(2) - Violation - Equipment cleanliness-food contact

Food-contact surfaces were dirty.""","""Violation has been abated""","HF18161460","2022-08-02T00:00:00.000","OVER-THE-RHINE",
"H201500428","RFE-021429-C4L","""KROGER #465""","4613 MARBURG AV","CINCINNATI","OH","45209","39.15999526635042","-84.4256432527152","513-721-8080","PAID","CFSI213219","ROUTINE","STANDARD INSPECTION","2022-03-30T00:00:00.000","A025364453","Abated","3717-1-03.0","""3717-1-03.0 - Violation - Food Safe, Unadulterated and Honestly Presented

Food is either unsafe, adulterated or not honestly presented.""","""Violation has been abated""","HF18130250","2022-03-30T00:00:00.000","OAKLEY",
"H201500428","RFE-021429-C4L","""KROGER #465""","4613 MARBURG AV","CINCINNATI","OH","45209","39.15999526635042","-84.4256432527152","513-721-8080","PAID","CFSI213219","ROUTINE","STANDARD INSPECTION","2022-03-30T00:00:00.000","A025364440","Not Abated","3717-1-05.1(S)(2)","""3717-1-05.1(S)(2) - Violation - Plumbing system-maintained in good repair

Plumbing system is not maintained in good repair.""","""Leak by the sink in the produce department , standing water on the floor 

Plumbing system is not maintained in good repair.""","HF18581965","2022-03-30T00:00:00.000","OAKLEY",
"H200801566","RFE-014716-C1S","""A TO Z WIRELESS & GROCERY""","3351 READING RD","CINCINNATI","OH","45229","39.140056641133945","-84.4940764889041","513-861-4450","LICENSE","CFSI224201","ROUTINE","STANDARD INSPECTION","2022-08-26T00:00:00.000","A026017167","Not Abated","3717-1-06.1(M)(1)","""3717-1-06.1(M)(1) - Violation - Facilities-outer openings protected

Outer openings of a food facility were not protected against the entry of insects and rodents.""","""Observed a missing door sweep at the exit door. 
Observed a gap between the door bottom and ground. 

Replace/repair the door sweep - eliminate the gap to prevent pest entry.""","HF18452425","2022-08-26T00:00:00.000","AVONDALE",
