"business_name","website","ethnicity","gender","cert_type","action","cert_status","address","city","state","zip","longitude","latitude","neighborhood"
"8701 MOCATS INC.","HTTP://WWW.SMARTCAT.GURU",,"FEMALE","WBE","RENEWAL","ACTIVE","7012 HARRISON AV","CINCINNATI","OH","45247",,,"Outside City Limits"
"ABEL BUILDING SYSTEMS","HTTP://WWW.ABELBUILDINGSYSTEMS.COM","BLACK","FEMALE","MBE","RENEWAL","ACTIVE","47 TECHVIEW DR","CINCINNATI","OH","45215",,,"Outside City Limits"
"ABEL BUILDING SYSTEMS","HTTP://WWW.ABELBUILDINGSYSTEMS.COM","BLACK","FEMALE","MWBE","RENEWAL","ACTIVE","47 TECHVIEW DR","CINCINNATI","OH","45215",,,"Outside City Limits"
"ABEL BUILDING SYSTEMS","HTTP://WWW.ABELBUILDINGSYSTEMS.COM","BLACK","FEMALE","SBE","RENEWAL","ACTIVE","47 TECHVIEW DR","CINCINNATI","OH","45215",,,"Outside City Limits"
"ABEL BUILDING SYSTEMS","HTTP://WWW.ABELBUILDINGSYSTEMS.COM","BLACK","FEMALE","WBE","RENEWAL","ACTIVE","47 TECHVIEW DR","CINCINNATI","OH","45215",,,"Outside City Limits"
"ANNE SESLER",,"CAUCASIAN","FEMALE","WBE","RENEWAL","ACTIVE","1002 RICHWOOD AV","CINCINNATI","OH","45208",,,"Outside City Limits"
"ASC GROUP, INC.","HTTP://WWW.ASCGROUP.NET","CAUCASIAN","FEMALE","WBE","NEW","ACTIVE","800 FREEWAY DR N","COLUMBUS","OH","43229",,,"Outside City Limits"
"AXIOM FLOORING ENTERPRISES, LLC","HTTP://WWW.AXIOMFLOORING.COM","BLACK","MALE","MBE","RENEWAL","ACTIVE","12100 MO","SHARONVILLE","OH","45241",,,"Outside City Limits"
"BROWNE E & C SERVICES, INC.","HTTP://WWW.BROWNEE.COM","BLACK","MALE","MBE","RENEWAL","ACTIVE","ONE NORTH COMMERCE PARK DR","CINCINNATI","OH","45215",,,"Outside City Limits"
"BROWNE E & C SERVICES, INC.","HTTP://WWW.BROWNEE.COM","BLACK","MALE","SBE","RENEWAL","ACTIVE","ONE NORTH COMMERCE PARK DR","CINCINNATI","OH","45215",,,"Outside City Limits"
"C A THREATTS & SONS INC",,"BLACK","MALE","MBE","RENEWAL","ACTIVE","1001 KIELEY PL","CINCINNATI","OH","45217",,,"Outside City Limits"
"CINCY ELECTRICAL SOLUTIONS","HTTP://WWW.CINCYELECTRICALSOLUTIONS.COM",,"MALE","SBE","RENEWAL","ACTIVE","4240 ROSSPLAIN DR","CINCINNATI","OH","45236",,,"Outside City Limits"
"CREEKWOOD ENERGY PARTNERS, LLC","HTTP://WWW.CREEKWOODENERGY.COM","BLACK","MALE","MBE","RENEWAL","ACTIVE","825 DELTA AV","CINCINNATI","OH","45226",,,"Outside City Limits"
"CYNDIS GARDENS LLC","HTTP://CYNDISGARDEN.COM","CAUCASIAN","FEMALE","SBE","RENEWAL","ACTIVE","3399 LAWRENCEBURG RD","NORTH BEND","OH","45052",,,"Outside City Limits"
"CYNDIS GARDENS LLC","HTTP://CYNDISGARDEN.COM","CAUCASIAN","FEMALE","WBE","RENEWAL","ACTIVE","3399 LAWRENCEBURG RD","NORTH BEND","OH","45052",,,"Outside City Limits"
"D.A.D.S BOBCAT SERVICE, LLC",,"CAUCASIAN","FEMALE","SBE","RENEWAL","ACTIVE","PO BOX","CALIFORNIA","KY","41007",,,"Outside City Limits"
"D.A.D.S BOBCAT SERVICE, LLC",,"CAUCASIAN","FEMALE","WBE","RENEWAL","ACTIVE","PO BOX","CALIFORNIA","KY","41007",,,"Outside City Limits"
"DENIER ELECTRIC CO., INC.","HTTP://WWW.DENIER.COM","CAUCASIAN","FEMALE","WBE","RENEWAL","ACTIVE","10891 STATE ROUTE","HARRISON","OH","45030",,,"Outside City Limits"
"DIVERSIFIED SUPPLY, INC.","HTTP://WWW.DIVERSIFIEDSUPPLY.COM","BLACK","MALE","MBE","RENEWAL","ACTIVE","210 N HIGHLAND PARK AV","CHATTANOOGA","TN","37404",,,"Outside City Limits"
"DYNOTEC, INC.","HTTP://WWW.DYNOTECINC.COM","ASIAN INDIAN","MALE","SBE","RENEWAL","ACTIVE","2931 E DUBLIN-GRANVILLE RD","COLUMBUS","OH","43231",,,"Outside City Limits"
"EDIBLES-N-SUCH","HTTP://EDIBLESNSUCH.COM","BLACK","FEMALE","MBE","RENEWAL","ACTIVE","6008 WOO","CINCINNATI","OH","45227",,,"Outside City Limits"
"EDIBLES-N-SUCH","HTTP://EDIBLESNSUCH.COM","BLACK","FEMALE","MWBE","RENEWAL","ACTIVE","6008 WOO","CINCINNATI","OH","45227",,,"Outside City Limits"
"EDIBLES-N-SUCH","HTTP://EDIBLESNSUCH.COM","BLACK","FEMALE","SBE","RENEWAL","ACTIVE","6008 WOO","CINCINNATI","OH","45227",,,"Outside City Limits"
"EDIBLES-N-SUCH","HTTP://EDIBLESNSUCH.COM","BLACK","FEMALE","WBE","RENEWAL","ACTIVE","6008 WOO","CINCINNATI","OH","45227",,,"Outside City Limits"
