"account","description","fund","department","function","approved","actual","fiscal_year","account_id"
"1100-311-31101-0000-0000","DELINQUENT TAXES","OPERATING FUND","DELINQUENT TAXES","PROPERTY & OTHER TAXES","443725.00","539213.29","2016","1100-311-31101-0000-0000_2016"
"1100-311-31102-0000-0000","HOMESTEAD EXEMPT","OPERATING FUND","HOMESTEAD EXEMPT","PROPERTY & OTHER TAXES","335000.00","380639.80","2016","1100-311-31102-0000-0000_2016"
"1100-311-31300-0000-0000","LOCAL OP SALES-ROLLB","OPERATING FUND","LOCAL OPT SALES TAX-ROLLB","PROPERTY & OTHER TAXES","5288125.00","5929119.42","2016","1100-311-31300-0000-0000_2016"
"1100-311-31301-0000-0000","LOC SALE TAX-MUNICIP","OPERATING FUND","LOCAL SALES TAX-MUNICIPAL","PROPERTY & OTHER TAXES","3633421.00","4102564.44","2016","1100-311-31301-0000-0000_2016"
"1100-311-31900-0000-0000","TAX PENALTIES","OPERATING FUND","TAX PENALTIES","PROPERTY & OTHER TAXES","66559.00","80882.02","2016","1100-311-31900-0000-0000_2016"
"1100-311-33900-0000-0000","PMT IN LIEU / MCP","OPERATING FUND","PMT IN LIEU / MCP","PROPERTY & OTHER TAXES","293667.00","322210.20","2016","1100-311-33900-0000-0000_2016"
"1100-321-32100-0000-0000","BUSINESS LICENSES","OPERATING FUND","BUSINESS LICENSES","LICENSES & PERMITS","10259316.00","10919120.51","2016","1100-321-32100-0000-0000_2016"
"1100-321-32101-0000-0000","PUBLIC UTIL LICENSES","OPERATING FUND","PUBLIC UTILITIES LIC","LICENSES & PERMITS","6527989.00","6602021.10","2016","1100-321-32101-0000-0000_2016"
"1100-321-32102-0000-0000","INSURANCE LICENSES","OPERATING FUND","INSURANCE LICENSES","LICENSES & PERMITS","7263017.00","7263591.45","2016","1100-321-32102-0000-0000_2016"
"1100-321-32103-0000-0000","CATV CABLE FRANC FEE","OPERATING FUND","CATV CABLE FRANCHISE","LICENSES & PERMITS","1166923.00","1389869.90","2016","1100-321-32103-0000-0000_2016"
"1100-321-32200-0000-0050","BUILDING PERMITS","OPERATING FUND","BUILDING PERMITS","LICENSES & PERMITS","1400000.00","1920057.00","2016","1100-321-32200-0000-0050_2016"
"1100-321-32201-0000-0050","ELECTRICAL PERMITS","OPERATING FUND","ELECTRICAL PERMITS","LICENSES & PERMITS","90000.00","122938.00","2016","1100-321-32201-0000-0050_2016"
"1100-321-32202-0000-0050","PLUMBING PERMITS","OPERATING FUND","PLUBMING PERMITS","LICENSES & PERMITS","70000.00","89892.00","2016","1100-321-32202-0000-0050_2016"
"1100-321-32203-0000-0050","MECHANICAL PERMITS","OPERATING FUND","MECHANICAL PERMITS","LICENSES & PERMITS","112000.00","160840.00","2016","1100-321-32203-0000-0050_2016"
"1100-335-33500-0000-0000","STATE SHARED REVEN","OPERATING FUND","STATE SHARED REVENUE","INTERGOVERNMENTAL","1276512.00","1485060.95","2016","1100-335-33500-0000-0000_2016"
"1100-335-33501-0000-0070","SCDOT MAINTEN REVEN","OPERATING FUND","SCDOT MAINTENANCE","INTERGOVERNMENTAL","84750.00","83450.00","2016","1100-335-33501-0000-0070_2016"
"1100-335-33502-0000-0000","MERCHANTS INV REIMB","OPERATING FUND","MERCHANTS INVENTORY","INTERGOVERNMENTAL","70000.00","69802.56","2016","1100-335-33502-0000-0000_2016"
"1100-335-33503-0000-0000","ACCOMM TAX-STATE","OPERATING FUND","ACCOMMODATIONS TAX-STATE","INTERGOVERNMENTAL","74780.00","89997.83","2016","1100-335-33503-0000-0000_2016"
