"account","description","fund","department","function","object","approved","actual","fiscal_year","account_id"
"1100-410-41510-1100-0000","SALARIES","OPERATING FUND","FINANCIAL SERVICES","GENERAL GOVERNMENT","SALARIES","403549.00","390839.05","2016","1100-410-41510-1100-0000_2016"
"1100-410-41512-1100-0000","SALARIES","OPERATING FUND","INFORMATION TECHNOLOGY","GENERAL GOVERNMENT","SALARIES","271548.00","215139.92","2016","1100-410-41512-1100-0000_2016"
"1100-410-41515-1100-0000","SALARIES","OPERATING FUND","BUSINESS LICENSE","GENERAL GOVERNMENT","SALARIES","242290.00","242459.72","2016","1100-410-41515-1100-0000_2016"
"1100-410-41518-1100-0000","SALARIES","OPERATING FUND","PURCHASING","GENERAL GOVERNMENT","SALARIES","366051.00","321804.42","2016","1100-410-41518-1100-0000_2016"
"1100-410-41550-1100-0000","SALARIES","OPERATING FUND","HUMAN RESOURCES","GENERAL GOVERNMENT","SALARIES","319057.00","319601.21","2016","1100-410-41550-1100-0000_2016"
"1100-410-41565-1100-0000","SALARIES","OPERATING FUND","CULT AFFAIRS & TOURISM","GENERAL GOVERNMENT","SALARIES","184520.00","182489.05","2016","1100-410-41565-1100-0000_2016"
"1100-412-41600-1100-0000","SALARIES","OPERATING FUND","MUNICIPAL COURT","JUDICIAL SERVICES","SALARIES","539972.00","530750.30","2016","1100-412-41600-1100-0000_2016"
"1100-412-41700-1100-0000","SALARIES","OPERATING FUND","LEGAL DEPARTMENT","JUDICIAL SERVICES","SALARIES","181868.00","176475.25","2016","1100-412-41700-1100-0000_2016"
"1100-418-41800-1100-0000","SALARIES","OPERATING FUND","PLANNING AND DEVELOPMENT","PLANNING & DEVELOPMENT","SALARIES","1711228.00","1656464.29","2016","1100-418-41800-1100-0000_2016"
"1100-420-42100-1100-0000","SALARIES","OPERATING FUND","POLICE DEPARTMENT","PUBLIC SAFETY","SALARIES","7699048.00","7699971.39","2016","1100-420-42100-1100-0000_2016"
"1100-420-42200-1100-0000","SALARIES","OPERATING FUND","FIRE DEPARTMENT","PUBLIC SAFETY","SALARIES","5389406.00","5131825.62","2016","1100-420-42200-1100-0000_2016"
"1100-430-43000-1100-0000","SALARIES","OPERATING FUND","PUBLIC SERVICES","PUBLIC SERVICES","SALARIES","4881130.00","4502777.87","2016","1100-430-43000-1100-0000_2016"
"1100-431-43100-1100-0000","SALARIES","OPERATING FUND","TRANSPORTATION DEPARTMENT","ROADS & TRANSPORTATION","SALARIES","553874.00","521564.56","2016","1100-431-43100-1100-0000_2016"
"1100-450-45100-1100-0000","SALARIES","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SALARIES","1614115.00","1618005.23","2016","1100-450-45100-1100-0000_2016"
"1100-410-41900-1105-0000","EMP MERIT COMP","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","EMPLOYEE MERIT COMPENSATI","193328.00","193327.55","2016","1100-410-41900-1105-0000_2016"
"1100-450-45100-1200-4515","SALARIES & WAGES-TEMPORAR","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SALARIES & WAGES-TEMPORAR","657141.00","566302.08","2016","1100-450-45100-1200-4515_2016"
"1100-450-45100-1200-4516","SALARIES & WAGES-TEMPORAR","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SALARIES & WAGES-TEMPORAR","180000.00","196599.90","2016","1100-450-45100-1200-4516_2016"
"1100-450-45100-1200-4517","SALARIES & WAGES-TEMPORAR","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SALARIES & WAGES-TEMPORAR","245000.00","197986.50","2016","1100-450-45100-1200-4517_2016"
"1100-450-45100-1200-4518","SALARIES & WAGES-TEMPORAR","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SALARIES & WAGES-TEMPORAR","180000.00","192063.89","2016","1100-450-45100-1200-4518_2016"
"1100-410-41100-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","GENERAL GOVERNMENT","GENERAL GOVERNMENT","OVERTIME","3000.00","2405.91","2016","1100-410-41100-1300-0000_2016"
"1100-410-41510-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","FINANCIAL SERVICES","GENERAL GOVERNMENT","OVERTIME","1000.00","881.91","2016","1100-410-41510-1300-0000_2016"
"1100-410-41512-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","INFORMATION TECHNOLOGY","GENERAL GOVERNMENT","OVERTIME","500.00","0.00","2016","1100-410-41512-1300-0000_2016"
"1100-410-41515-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","BUSINESS LICENSE","GENERAL GOVERNMENT","OVERTIME","1000.00","56.84","2016","1100-410-41515-1300-0000_2016"
"1100-410-41550-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","HUMAN RESOURCES","GENERAL GOVERNMENT","OVERTIME","500.00","30.93","2016","1100-410-41550-1300-0000_2016"
"1100-410-41565-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","CULT AFFAIRS & TOURISM","GENERAL GOVERNMENT","OVERTIME","2500.00","2380.16","2016","1100-410-41565-1300-0000_2016"
"1100-412-41600-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","MUNICIPAL COURT","JUDICIAL SERVICES","OVERTIME","2684.00","59.43","2016","1100-412-41600-1300-0000_2016"
"1100-412-41700-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","LEGAL DEPARTMENT","JUDICIAL SERVICES","OVERTIME","500.00","0.00","2016","1100-412-41700-1300-0000_2016"
"1100-418-41800-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","PLANNING AND DEVELOPMENT","PLANNING & DEVELOPMENT","OVERTIME","21489.00","14404.83","2016","1100-418-41800-1300-0000_2016"
"1100-420-42100-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","POLICE DEPARTMENT","PUBLIC SAFETY","OVERTIME","122510.00","66173.38","2016","1100-420-42100-1300-0000_2016"
"1100-420-42200-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","FIRE DEPARTMENT","PUBLIC SAFETY","OVERTIME","828207.00","821908.50","2016","1100-420-42200-1300-0000_2016"
