"job_title","department","earnings"
"CITY MANAGER","CITY MANAGER'S OFFICE","270636.06"
"CITY ATTORNEY","CITY ATTORNEY'S OFFICE","200136.09"
"DEPUTY CITY MANAGER","CITY MANAGER'S OFFICE","182007.45"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","173738.94"
"CHIEF FINANCIAL OFFICER","FINANCE ADMINISTRATION","170681.05"
"ADMINISTRATIVE FIRE CHIEF","POUDRE FIRE AUTHORITY","170035.47"
"UTILITIES EXECUTIVE DIRECTOR","UTILITIES MANAGEMENT","168046.8"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","166776.34"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","159847.41"
"CAPTAIN I - 40 HR/WK","POUDRE FIRE AUTHORITY","150860.94"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","148671.59"
"DIRECTOR OF PDT","PDT ADMINISTRATION","144176.59"
"DEPUTY CITY ATTORNEY","CITY ATTORNEY'S OFFICE","142222.5"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","139771.0"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","139717.88"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","138829.05"
"CHIEF HUMAN RESOURCES OFFICER","HUMAN RESOURCES","138263.31"
"CHIEF SUSTAINABILITY OFFICER","SUSTAINABILITY SERVICES ADMIN","137866.52"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","137760.0"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","137731.75"
"CHIEF INFORMATION OFFICER","INFORMATION TECHNOLOGY","136907.77"
"PFA DIR OF ADMINISTRATIVE SERV","POUDRE FIRE AUTHORITY","136458.55"
"POLICE LIEUTENANT","PATROL","134859.84"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","134622.02"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","133500.73"
"LIGHT AND POWER OPERATIONS MGR","L&P OPERATIONS SERVICE UNIT","133152.0"
"POLICE SERGEANT","PATROL","132526.22"
"POLICE LIEUTENANT","INVESTIGATIONS","132344.09"
"POLICE SERGEANT","PATROL","131868.44"
"FIREFIGHTER 40 HOUR (SPECIAL)","POUDRE FIRE AUTHORITY","131553.81"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","131547.3"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","131448.09"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","130952.3"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","130623.27"
"LIBRARY DIRECTOR","LIBRARY DISTRICT","130000.0"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","129145.92"
"POLICE SERGEANT","PATROL","129078.65"
"POLICE SERGEANT","PATROL","128743.89"
"POLICE SERGEANT","INVESTIGATIONS","128639.03"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","128236.6"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","128122.16"
"CHIEF OF POLICE","OFFICE OF THE CHIEF","128078.91"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","128013.31"
"POLICE SERGEANT","PATROL","127873.78"
"POLICE SERGEANT","INVESTIGATIONS","127452.64"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","127363.45"
"EMERGENCY SERVICES COMM MGR","POLICE INFORMATION SERVICES","127276.12"
