"department","earnings","job_title"
"CITY MANAGER'S OFFICE","270636.06","CITY MANAGER"
"CITY ATTORNEY'S OFFICE","200136.09","CITY ATTORNEY"
"CITY MANAGER'S OFFICE","182007.45","DEPUTY CITY MANAGER"
"CITY MANAGER'S OFFICE","173738.94","ASSISTANT CITY MANAGER"
"FINANCE ADMINISTRATION","170681.05","CHIEF FINANCIAL OFFICER"
"POUDRE FIRE AUTHORITY","170035.47","ADMINISTRATIVE FIRE CHIEF"
"UTILITIES MANAGEMENT","168046.8","UTILITIES EXECUTIVE DIRECTOR"
"CITY MANAGER'S OFFICE","166776.34","ASSISTANT CITY MANAGER"
"POUDRE FIRE AUTHORITY","159847.41","DIVISION CHIEF"
"POUDRE FIRE AUTHORITY","150860.94","CAPTAIN I - 40 HR/WK"
"POUDRE FIRE AUTHORITY","148671.59","CAPTAIN I - 56 HR/WK"
"PDT ADMINISTRATION","144176.59","DIRECTOR OF PDT"
"CITY ATTORNEY'S OFFICE","142222.5","DEPUTY CITY ATTORNEY"
"CITY ATTORNEY'S OFFICE","139771.0","SR ASSISTANT CITY ATTORNEY"
"POUDRE FIRE AUTHORITY","139717.88","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","138829.05","BATTALION CHIEF I - 56 HR/WK"
"HUMAN RESOURCES","138263.31","CHIEF HUMAN RESOURCES OFFICER"
"SUSTAINABILITY SERVICES ADMIN","137866.52","CHIEF SUSTAINABILITY OFFICER"
"POUDRE FIRE AUTHORITY","137760.0","DIVISION CHIEF"
"POUDRE FIRE AUTHORITY","137731.75","BATTALION CHIEF I - 56 HR/WK"
"INFORMATION TECHNOLOGY","136907.77","CHIEF INFORMATION OFFICER"
"POUDRE FIRE AUTHORITY","136458.55","PFA DIR OF ADMINISTRATIVE SERV"
"PATROL","134859.84","POLICE LIEUTENANT"
"POUDRE FIRE AUTHORITY","134622.02","TRAINING CAPTAIN - 40 HR/WK"
"POUDRE FIRE AUTHORITY","133500.73","BATTALION CHIEF II - 40 HR/WK"
"L&P OPERATIONS SERVICE UNIT","133152.0","LIGHT AND POWER OPERATIONS MGR"
