"fiscal_year","fund","department","unit","revenue_source","revenue_type","adopted_amount","amended_amount","actual_amount"
"2013","39th Ave. Garage Expansion","General Services","39Th Ave Garage Expansion","Interest On Investments","Miscellaneous Revenues","0","0","6256.46"
"2013","39th Ave. Garage Expansion","General Services","39Th Ave Garage Expansion","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-2954"
"2013","39th Ave. Garage Expansion","General Services","39Th Ave Garage Expansion","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-1795"
"2013","39th Ave. Garage Expansion","General Services","Centralized Garage","Contributions From Gru","Non-Revenues","4939938.01","4939938.01","3778949.98"
"2013","39th Ave. Garage Expansion","General Services","Centralized Garage","Trans Fr Fleet Fund 501","Non-Revenues","2235000","2235000","2235000"
"2013","39th Ave. Garage Expansion","General Services","Equipment And Tools For Centralized Garage","Trans Fr Fleet Fund 501","Non-Revenues","500000","500000","500000"
"2013","401a Qualified Pension Trust","Non-Departmental","Trust Funds","Employee Contributions","Non-Revenues","225000","225000","189373.14"
"2013","401a Qualified Pension Trust","Non-Departmental","Trust Funds","Employer Contributions","Non-Revenues","265000","265000","250242.96"
"2013","401a Qualified Pension Trust","Non-Departmental","Trust Funds","Interest On Investments","Miscellaneous Revenues","1000000","1000000","1158552.1"
"2013","Additional 5 Cents LOGT Capital Projects Fund","Budget & Finance Department","Budget","Local Option Gax Tax-Add 5 Cents","Taxes","1800000","1800000","1842311.6"
"2013","Additional 5 Cents LOGT Capital Projects Fund","Non-Departmental","Capital Projects","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-301418"
"2013","Additional 5 Cents LOGT Capital Projects Fund","Non-Departmental","Capital Projects","Interest On Investments","Miscellaneous Revenues","0","0","85571.47"
"2013","Additional 5 Cents LOGT Capital Projects Fund","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","145201","145201","-6764"
"2013","American Recovery and Reinvestment Act (ARRA)","Neighborhood Improvement","Arra-Cdbg Recovery","Community Development Blk Grnt","Intergovernmental Revenues","18264.83","18264.83","0"
"2013","American Recovery and Reinvestment Act (ARRA)","Public Works","Arra Lapa: Sr 121/Nw 34Th Street - Amended","Fed Grant-Physical Environment","Intergovernmental Revenues","2984.6","2984.6","-2989.28"
"2013","American Recovery and Reinvestment Act (ARRA)","Public Works","Arra Eisa '07: Pwd-Trans Street Light Led'S","Transfer From General Fund","Non-Revenues","0","0","-1913.5"
"2013","American Recovery and Reinvestment Act (ARRA)","Public Works","Arra Eisa '07: Pwd-Trans Street Light Led'S","Trans Fr Stormwater Mgmt.","Non-Revenues","0","0","-1752.78"
"2013","American Recovery and Reinvestment Act (ARRA)","Public Works","Arra Eisa '07: Pwd-Trans Street Light Led'S","Trans From Solid Waste","Non-Revenues","0","0","-287.72"
"2013","American Recovery and Reinvestment Act (ARRA)","Public Works","Arra Eisa '07: Pwd-Trans Street Light Led'S","Fed Grant-Economic Environment","Intergovernmental Revenues","3954","3954","3954"
"2013","American Recovery & Reinvestment Act","Neighborhood Improvement","Arra-Hprp Ha Housing Relocation & Stabilization","Fed Grant","Intergovernmental Revenues","173298.23","0","0"
"2013","American Recovery & Reinvestment Act","Neighborhood Improvement","Arra-Hprp Hp Financial Assistance","Fed Grant","Intergovernmental Revenues","28807.31","0","0"
"2013","American Recovery & Reinvestment Act","Police","Arra-Icac 09","Fed Grant-Public Safety","Intergovernmental Revenues","142528.23","142528.23","131699.6"
"2013","American Recovery & Reinvestment Act","Police","Byrne Grant- Rec Act","Fed Grant-Public Safety","Intergovernmental Revenues","634.36","634.36","634.36"
"2013","Art In Public Places","Parks, Recreation & Cultural Affairs","Art In Public Places Projects","Transfer From Rts","Non-Revenues","0","3000","3000"
"2013","Art In Public Places","Parks, Recreation & Cultural Affairs","Rts Bus Fleet & Operations Facility","Transfer From Rts","Non-Revenues","0","96000","96000"
"2013","Art In Public Places","Parks, Recreation & Cultural Affairs","Art In Public Places Projects","Interest On Investments","Miscellaneous Revenues","0","0","-485.51"
"2013","Art In Public Places","Parks, Recreation & Cultural Affairs","Art In Public Places Projects","T/F-Centralized Garage Cap Prj (334)","Non-Revenues","0","62860.8","62860.8"
"2013","Art In Public Places","Parks, Recreation & Cultural Affairs","Art In Public Places Admin.","T/F-Centralized Garage Cap Prj (334)","Non-Revenues","0","15715.2","15715.2"
"2013","Campus Development Agreement Capital Projects Fund","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","275761","275761","0"
"2013","Campus Development Agreement Capital Projects Fund","Public Works","Archer Rd/Sw 16Th Ave/Gale Lemerand Dr","Interest On Investments","Miscellaneous Revenues","0","0","236848.81"
"2013","Campus Development Agreement Capital Projects Fund","Public Works","Archer Rd/Sw 16Th Ave/Gale Lemerand Dr","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-779611"
"2013","Campus Development Agreement Capital Projects Fund","Public Works","Archer Rd/Sw 16Th Ave/Gale Lemerand Dr","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-19330"
"2013","Capital Imp Revenue Bond of 2005","Non-Departmental","Debt Service","Transfer From General Fund","Non-Revenues","1725269","1725269","1725269"
"2013","Capital Imp Revenue Bond of 2005","Non-Departmental","Debt Service","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-7662"
"2013","Capital Imp Revenue Bond of 2005","Non-Departmental","Debt Service","Interest On Investments","Miscellaneous Revenues","0","0","15501.74"
"2013","Capital Imp Revenue Bond of 2005","Non-Departmental","Debt Service","Gain/Loss On Investments","Miscellaneous Revenues","2030","2030","-1103"
"2013","Capital Improvement Revenue Bond 2010","Non-Departmental","Debt Service","Transfer From General Fund","Non-Revenues","239454","239454","239454"
"2013","Capital Improvement Revenue Bond 2010","Non-Departmental","Debt Service","Interest On Investments","Miscellaneous Revenues","0","0","2308.17"
"2013","Capital Improvement Revenue Bond 2010","Non-Departmental","Debt Service","Trans From Golf Course","Non-Revenues","95173","0","0"
"2013","Capital Improvement Revenue Bond 2010","Non-Departmental","Debt Service","Gain/Loss On Investments","Miscellaneous Revenues","418","418","-162"
"2013","Capital Improvement Revenue Bond 2010","Non-Departmental","Debt Service","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-3046"
"2013","Capital Improvement Revenue Note 2009 Debt Service Fund","Non-Departmental","Debt Service","T/F-Logt Cpf(341)","Non-Revenues","563810","563810","563810"
"2013","Capital Improvement Revenue Note 2009 Debt Service Fund","Non-Departmental","Debt Service","Transfer From General Fund","Non-Revenues","319194","315385","315385"
"2013","Capital Improvement Revenue Note 2009 Debt Service Fund","Non-Departmental","Debt Service","Interest On Investments","Miscellaneous Revenues","0","0","2922.67"
"2013","Capital Improvement Revenue Note 2009 Debt Service Fund","Non-Departmental","Debt Service","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-630"
"2013","Capital Improvement Revenue Note 2009 Debt Service Fund","Non-Departmental","Debt Service","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-5673"
"2013","Capital Improvement Revenue Note 2009 Debt Service Fund","Non-Departmental","Debt Service","Trans From Solid Waste","Non-Revenues","74614","74614","74614"
"2013","CIRB 2010 Capital Proj Fund","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-5239"
"2013","CIRB 2010 Capital Proj Fund","Non-Departmental","Capital Projects","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-207967"
"2013","CIRB 2010 Capital Proj Fund","Non-Departmental","Capital Projects","Interest On Investments","Miscellaneous Revenues","0","0","63603.65"
"2013","CIRB of 2005-CIP Fund","Non-Departmental","Capital Projects","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-352543"
"2013","CIRB of 2005-CIP Fund","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","175000","175000","-9618"
"2013","CIRB of 2005-CIP Fund","Non-Departmental","Capital Projects","Interest On Investments","Miscellaneous Revenues","0","0","113393.69"
"2013","CIRN 2009 Bond Capital Projects Fund","General Services","Materials Relocation At Centralized Garage","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-571"
"2013","CIRN 2009 Bond Capital Projects Fund","General Services","Materials Relocation At Centralized Garage","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-5131"
"2013","CIRN 2009 Bond Capital Projects Fund","General Services","Materials Relocation At Centralized Garage","Interest On Investments","Miscellaneous Revenues","0","0","5637.02"
"2013","Community Dev Block Grant","Neighborhood Improvement","Housing Program Delivery Costs","Principal- Mic","Miscellaneous Revenues","0","239.74","239.74"
"2013","Community Dev Block Grant","Neighborhood Improvement","Housing Program Delivery Costs","Client Funds","Miscellaneous Revenues","0","500","500"
