"fiscal_year","activity","object","department","unit","fund","adopted_amount","uniqueid"
"2021","Executive","Permanent Full Time","Strategic Initiatives Office","Strategic Initiatives","The General Fund","193004.28","2021001600601010115120)"
"2021","Other General Government","Permanent Full Time","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601010115190)"
"2021","Executive","Permanent Part Time","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601010125120)"
"2021","Executive","Temporary Full Time","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601010135120)"
"2021","Executive","Temporary Part Time","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601010145120)"
"2021","Executive","Overtime-One And One-Half Rate","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601010305120)"
"2021","Executive","Social Security","Strategic Initiatives Office","Strategic Initiatives","The General Fund","14989.66","2021001600601020105120)"
"2021","Executive","Retirement","Strategic Initiatives Office","Strategic Initiatives","The General Fund","36876.52","2021001600601020205120)"
"2021","Executive","Health Insurance","Strategic Initiatives Office","Strategic Initiatives","The General Fund","19035.76","2021001600601020305120)"
"2021","Executive","Retirees Health Insurance Contributions","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601020315120)"
"2021","Executive","Life Insurance","Strategic Initiatives Office","Strategic Initiatives","The General Fund","214.6","2021001600601020405120)"
"2021","Executive","Workers' Compensation","Strategic Initiatives Office","Strategic Initiatives","The General Fund","3918.87","2021001600601020605120)"
"2021","Executive","Non-Capital Equipment","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601030095120)"
"2021","Executive","Materials And Supplies","Strategic Initiatives Office","Strategic Initiatives","The General Fund","2000","2021001600601030105120)"
"2021","Executive","Computer Supplies","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601030185120)"
"2021","Executive","Materials/supplies-Ceremonies","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601030195120)"
"2021","Executive","Office Supplies","Strategic Initiatives Office","Strategic Initiatives","The General Fund","1175","2021001600601030205120)"
"2021","Executive","Printing And Binding","Strategic Initiatives Office","Strategic Initiatives","The General Fund","1250","2021001600601030305120)"
"2021","Executive","Telephone","Strategic Initiatives Office","Strategic Initiatives","The General Fund","6000","2021001600601031105120)"
"2021","Executive","Postage","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601031205120)"
"2021","Executive","Advertising","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601031305120)"
"2021","Executive","Travel & Training","Strategic Initiatives Office","Strategic Initiatives","The General Fund","5000","2021001600601032105120)"
"2021","Executive","Books & Films","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601032405120)"
"2021","Executive","Dues, Memberships, Publication","Strategic Initiatives Office","Strategic Initiatives","The General Fund","1000","2021001600601032505120)"
"2021","Executive","Meals/food","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601032655120)"
"2021","Executive","Professional Services","Strategic Initiatives Office","Strategic Initiatives","The General Fund","2500","2021001600601041105120)"
"2021","Executive","Machinery And Equipment","Strategic Initiatives Office","Strategic Initiatives","The General Fund","0","2021001600601060405120)"
"2021","Other General Government","Permanent Full Time","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602010115190)"
"2021","Other General Government","Temporary Full Time","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602010135190)"
"2021","Other General Government","Overtime-One And One-Half Rate","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602010305190)"
"2021","Other General Government","Social Security","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602020105190)"
"2021","Other General Government","Retirement","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602020205190)"
"2021","Other General Government","Health Insurance","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602020305190)"
"2021","Other General Government","Retirees Health Insurance Contributions","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602020315190)"
"2021","Other General Government","Life Insurance","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602020405190)"
"2021","Other General Government","Workers' Compensation","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602020605190)"
"2021","Other General Government","Non-Capital Equipment","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602030095190)"
"2021","Other General Government","Materials And Supplies","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602030105190)"
"2021","Other General Government","Computer Supplies","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602030185190)"
"2021","Other General Government","Materials/supplies-Ceremonies","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602030195190)"
"2021","Other General Government","Office Supplies","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602030205190)"
"2021","Other General Government","Printing And Binding","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602030305190)"
"2021","Other General Government","Telephone","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602031105190)"
"2021","Other General Government","Postage","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602031205190)"
"2021","Other General Government","Advertising","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602031305190)"
"2021","Other General Government","Utilities-Elect,sewer,water","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602031405190)"
"2021","Other General Government","Travel & Training","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602032105190)"
"2021","Other General Government","Books & Films","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602032405190)"
"2021","Other General Government","Dues, Memberships, Publication","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602032505190)"
"2021","Other General Government","Meals/food","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602032655190)"
"2021","Other General Government","Insurance Premiums","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602035105190)"
"2021","Other General Government","Professional Services","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602041105190)"
"2021","Other General Government","Marketing Costs","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602044955190)"
"2021","Other General Government","Machinery And Equipment","Strategic Initiatives Office","Communications And Marketing","The General Fund","0","2021001600602060405190)"
"2021","Other General Government","Permanent Full Time","Strategic Initiatives Office","Broadcast Engineering Unit","The General Fund","0","2021001600602110115190)"
"2021","Other General Government","Permanent Part Time","Strategic Initiatives Office","Broadcast Engineering Unit","The General Fund","0","2021001600602110125190)"
"2021","Other General Government","Temporary Full Time","Strategic Initiatives Office","Broadcast Engineering Unit","The General Fund","0","2021001600602110135190)"
"2021","Other General Government","Temporary Part Time","Strategic Initiatives Office","Broadcast Engineering Unit","The General Fund","0","2021001600602110145190)"
"2021","Other General Government","Overtime-One And One-Half Rate","Strategic Initiatives Office","Broadcast Engineering Unit","The General Fund","0","2021001600602110305190)"
"2021","Other General Government","Social Security","Strategic Initiatives Office","Broadcast Engineering Unit","The General Fund","0","2021001600602120105190)"
"2021","Other General Government","Retirement","Strategic Initiatives Office","Broadcast Engineering Unit","The General Fund","0","2021001600602120205190)"
"2021","Other General Government","Health Insurance","Strategic Initiatives Office","Broadcast Engineering Unit","The General Fund","0","2021001600602120305190)"
"2021","Other General Government","Retirees Health Insurance Contributions","Strategic Initiatives Office","Broadcast Engineering Unit","The General Fund","0","2021001600602120315190)"
"2021","Other General Government","Life Insurance","Strategic Initiatives Office","Broadcast Engineering Unit","The General Fund","0","2021001600602120405190)"
