"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","3.88","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","1343.35","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","62.42","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","87.44","2016-09-11T00:00:00.000","September","12","2016","Payables"
"General Insurance Fund","City Attorney","City Attorney","City Of Gainesville","Legal Counsel","Insurance Public Officials","22","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Southern Sewer Equipment Sales","Internal Services","Parts-Motor Equipment","32.59","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","13.22","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","13.22","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","13.22","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","73.46","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Palm Chevrolet Of Gainesville Llc","Internal Services","Parts-Motor Equipment","53.1","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Environmental Products Of Florida","Internal Services","Parts-Motor Equipment","1078.81","2016-09-11T00:00:00.000","September","12","2016","Payables"
