"fiscal_year","revenue_source","revenue_type","department","unit","fund","fund_type","adopted_amount","uniqueid"
"2021","Transformational Projects Incentive Application Fees","Charges For Services","Gainesville Community Redevelopement Agency","Cpuh Project-Related Professional Services","Tax Increment - College Pk./uh","Expendable Trust","0","2021407134790w737618t"
"2021","Contributions From Gru","Non-Revenues","Gainesville Community Redevelopement Agency","Innovation District","Tax Increment - College Pk./uh","Expendable Trust","0","2021450838790w763618t"
"2021","Interest On Investments","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Cra - College Park/univ Height","Tax Increment - College Pk./uh","Expendable Trust","0","20216001367906550618t"
"2021","Gain/loss On Investments","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Cra - College Park/univ Height","Tax Increment - College Pk./uh","Expendable Trust","0","20216006367906550618t"
"2021","Other Land Sales","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","W University Ave Loft","Tax Increment - College Pk./uh","Expendable Trust","0","2021660336790w717618t"
"2021","Other Contributions&donations","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Seward Johnson Sculptures - Cpuh","Tax Increment - College Pk./uh","Expendable Trust","0","2021700236790w701618t"
"2021","Other Contributions&donations","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Innovation District","Tax Increment - College Pk./uh","Expendable Trust","0","2021700236790w763618t"
"2021","Other Contributions&donations","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Nw 1st Ave Prj (Uf Foundation)","Tax Increment - College Pk./uh","Expendable Trust","0","2021700236790w771618t"
"2021","Transfer From General Fund (001)","Non-Revenues","Gainesville Community Redevelopement Agency","Cra - College Park/univ Height","Tax Increment - College Pk./uh","Expendable Trust","0","20217408387906550618t"
"2021","T/f Tree Mitigation (140)","Non-Revenues","Gainesville Community Redevelopement Agency","Cpuh Primary Corridors-S Main Street","Tax Increment - College Pk./uh","Expendable Trust","0","2021760838790w752618t"
