"serial_number","garbage_cart_size_gallons","rate_category","installation_date","parcel_number","address","city","state","latitude","longitude","location_1"
"20001271","20","Refuse - Residential - Curbside Service","2013-07-24T00:00:00.000","15847-000-000","1405 SE 12TH AVE","Gainesville","Florida",,"-98.467262",
"35035657","35","Refuse - Residential - Curbside Service","2013-08-29T00:00:00.000","06087-040-053","2730 NW 27TH TER","Gainesville","Florida",,"-80.142509",
"35006931","35","Refuse - Residential - Curbside Service","2010-04-21T00:00:00.000","08197-008-004","1609 NE 31ST AVE","Gainesville","Florida","29.681395","-82.304428","POINT (-82.304428 29.681395)"
"6480826","64","Refuse - Residential - Curbside Service","2007-04-05T00:00:00.000","10823-028-000","1204 NE 24TH ST","Gainesville","Florida","29.663919","-82.293672","POINT (-82.293672 29.663919)"
"35000354","35","Refuse - Residential - Curbside Service","2009-10-02T00:00:00.000","06014-013-001","6519 NW 31ST TER","Gainesville","Florida","29.714646","-82.368389","POINT (-82.368389 29.714645999999995)"
"3501910","35","Refuse - Residential - Curbside Service","2007-04-14T00:00:00.000","09013-035-004","1612 NW 19TH CIR","Gainesville","Florida","29.669579","-82.344383","POINT (-82.344383 29.669579000000002)"
"6499774","64","Refuse - Residential - Curbside Service","2008-01-30T00:00:00.000","13161-001-000","909 SW 5TH AVE","Gainesville","Florida","29.647504","-123.11448","POINT (-82.33376900000002 29.647504000000005)"
"95G002761","96","Refuse - Residential - Curbside Service","2015-07-22T00:00:00.000","06383-035-014","4921 NW 19TH PL","Gainesville","Florida","29.670125","-82.395922","POINT (-82.395922 29.670125)"
"3502534","35","Refuse - Residential - Curbside Service","2007-04-04T00:00:00.000","09263-004-000","2215 NW 8TH CT","Gainesville","Florida","29.673495","-82.333317","POINT (-82.333317 29.673495000000003)"
"3535712","35","Refuse - Residential - Curbside Service","2010-07-29T00:00:00.000","06103-010-009","3949 NW 38TH PL","Gainesville","Florida","29.688051","-82.384232","POINT (-82.384232 29.688051)"
"2000712","20","Refuse - Residential - Curbside Service","2011-08-18T00:00:00.000","12373-000-000","211 NE BLVD  APT 9","Gainesville","Florida","29.653371","-81.614525","POINT (-82.320109 29.653371000000003)"
"6401331","64","Refuse - Residential - Curbside Service","2011-07-21T00:00:00.000","06015-011-004","3402 NW 54TH PL","Gainesville","Florida","29.704727","-82.372302","POINT (-82.372302 29.704727)"
"962080019368","96","Refuse - Residential - Curbside Service","2015-03-18T00:00:00.000","16107-600-029","1401 SE 19TH TER","Gainesville","Florida","29.638085","-82.299439","POINT (-82.299439 29.638085)"
"9604865","96","Refuse - Residential - Curbside Service","2012-04-10T00:00:00.000","06723-000-000","802 SW 38TH ST","Gainesville","Florida",,"-85.781722",
"20001520","20","Refuse - Residential - Curbside Service","2015-07-09T00:00:00.000","07965-003-037","4104 NE 1ST DR","Gainesville","Florida",,,
"351001089","35","Refuse - Residential - Curbside Service","2015-04-30T00:00:00.000","07965-003-037","4102 NE 1ST DR","Gainesville","Florida",,"-100.741573",
"6418729","64","Refuse - Residential - Curbside Service","2010-02-01T00:00:00.000","06816-001-000","2605 SW 45TH ST","Gainesville","Florida",,"-97.558679",
"3503562","35","Refuse - Residential - Curbside Service","2007-04-15T00:00:00.000","09016-010-025","1715 NW 16TH DR","Gainesville","Florida",,"-93.67202",
"64001046","64","Refuse - Residential - Curbside Service","2012-03-08T00:00:00.000","06099-010-029","2370 NW 34TH PL","Gainesville","Florida",,"-82.144595",
"35055111","35","Refuse - Residential - Curbside Service","2011-07-20T00:00:00.000","15978-000-000","1805 SE 12TH ST","Gainesville","Florida",,"-98.096781",
"3518150","35","Refuse - Residential - Curbside Service","2007-03-24T00:00:00.000","06541-001-000","5821 SW 1ST PL","Gainesville","Florida",,"-81.976963",
"6417476","64","Refuse - Residential - Curbside Service","2007-04-07T00:00:00.000","09671-000-000","1321 NW 6TH ST","Gainesville","Florida","29.664418","-82.330879","POINT (-82.330879 29.664418)"
"3535361","35","Refuse - Residential - Curbside Service","2011-10-25T00:00:00.000","06091-010-037","2504 NW 37TH PL","Gainesville","Florida","29.687176","-82.358861","POINT (-82.358861 29.687176)"
"9003094","96","Refuse - Residential - Curbside Service","2014-04-21T00:00:00.000","06444-004-000","21 SW 23RD TER","Gainesville","Florida","29.651444","-82.357221","POINT (-82.357221 29.651444000000005)"
"6417497","64","Refuse - Residential - Curbside Service","2007-04-10T00:00:00.000","08035-021-000","810 NW 41ST AVE  APT 4","Gainesville","Florida","29.690368","-82.333318","POINT (-82.333318 29.690368000000003)"
"2003069","20","Refuse - Residential - Curbside Service","2016-03-07T00:00:00.000","06106-040-038","2908 NW 30TH BLVD","Gainesville","Florida",,"-75.022964",
"350000506","35","Refuse - Residential - Curbside Service","2010-10-19T00:00:00.000","06436-001-026","3131 NW 9TH PL","Gainesville","Florida","29.66116","-82.369096","POINT (-82.369096 29.66116)"
"6429933","64","Refuse - Residential - Curbside Service","2007-04-14T00:00:00.000","09005-131-000","3018 NW 28TH CIR","Gainesville","Florida","29.680148","-82.349268","POINT (-82.349268 29.680148)"
"6405511","64","Refuse - Residential - Curbside Service","2007-04-05T00:00:00.000","12311-000-000","710 NE 5TH TER","Gainesville","Florida","29.658431","-82.319358","POINT (-82.319358 29.658430999999997)"
"6409736","64","Refuse - Residential - Curbside Service","2007-04-12T00:00:00.000","06065-020-013","3450 NW 46TH PL","Gainesville","Florida","29.697219","-82.374205","POINT (-82.374205 29.697219)"
"35000980","35","Refuse - Residential - Curbside Service","2013-10-28T00:00:00.000","06685-101-006","2300 SW 43RD ST  APT A6","Gainesville","Florida","29.630822","-82.390337","POINT (-82.390337 29.630822000000002)"
"6420202","64","Refuse - Residential - Curbside Service","2007-04-12T00:00:00.000","06020-030-091","4021 NW 59TH AVE","Gainesville","Florida","29.708965","-82.384341","POINT (-82.384341 29.708965)"
"64003486","64","Refuse - Residential - Curbside Service","2015-08-25T00:00:00.000","06481-021-000","402 NW 34TH ST","Gainesville","Florida","29.654347","-82.372408","POINT (-82.372408 29.654347)"
"35001219","35","Refuse - Residential - Curbside Service","2015-01-29T00:00:00.000","09126-000-000","2015 NW 12TH RD","Gainesville","Florida","29.663881","-82.349338","POINT (-82.349338 29.663881000000003)"
"9619751","96","Refuse - Residential - Curbside Service","2008-10-03T00:00:00.000","15997-002-000","1221 SE 22ND AVE","Gainesville","Florida","29.631826","-82.310268","POINT (-82.310268 29.631826)"
"6416975","64","Refuse - Residential - Curbside Service","2007-04-04T00:00:00.000","16106-061-000","1618 SE 13TH PL","Gainesville","Florida","29.63881","-82.303877","POINT (-82.30387700000001 29.638810000000003)"
"2020317","20","Refuse - Residential - Curbside Service","2007-04-12T00:00:00.000","07891-020-155","2048 NW 47TH PL","Gainesville","Florida","29.698008","-82.351145","POINT (-82.351145 29.698008)"
"3500806","35","Refuse - Residential - Curbside Service","2008-10-02T00:00:00.000","09180-000-000","2035 NW 9TH AVE","Gainesville","Florida","29.66059","-82.350772","POINT (-82.350772 29.66059)"
"6409001670","64","Refuse - Residential - Curbside Service","2009-08-19T00:00:00.000","06076-051-011","4515 SHERWOOD TRCE","Gainesville","Florida","29.697571","-82.358781","POINT (-82.358781 29.697571)"
"96001689","96","Refuse - Residential - Curbside Service","2012-09-20T00:00:00.000","06463-011-000","2805 SW 1ST AVE","Gainesville","Florida","29.65134","-82.365511","POINT (-82.365511 29.65134)"
"3502941","35","Refuse - Residential - Curbside Service","2007-04-06T00:00:00.000","08202-030-000","3009 NE 10TH DR","Gainesville","Florida","29.680473","-82.312965","POINT (-82.312965 29.680473)"
"351110008","35","Refuse - Residential - Curbside Service","2012-07-19T00:00:00.000","08663-000-000","1002 NW 24TH AVE","Gainesville","Florida","29.674841","-82.335175","POINT (-82.335175 29.674841)"
