"business_type","id","name","start_date","physical_address","physical_city","physical_state","mailing_address","mailing_city","mailing_state","mailing_zip_code","business_phone","email","owner","latitude","longitude","location"
"APARTMENT OR CONDO RENTALS","13019","DEERWOOD APARTMENTS","1991-05-21T00:00:00.000","2220 NW 55TH BLVD","GAINESVILLE","FL","10611 ABERCORN STREET","SAVANNAH","GA","31419","352-374-8839","jv@fulcrumrealestate.com","CORPORATION  FULCRUM PROPERTIES, INC","29.70566","-82.354498","POINT (-82.354498 29.70566)"
"APARTMENT OR CONDO RENTALS","34955","CAMDEN COURT APARTMENTS","2007-08-01T00:00:00.000","1142 SW 3RD AVE","GAINESVILLE","FL","321 SW 13TH ST","GAINESVILLE","FL","32601","352-376-6223","CLARSEN@TRIMARKPROPERTIES.COM","HERITAGE INVESTMENT  GROUP OF GAINESVILLE, LLC","29.649285","-82.33682","POINT (-82.33682 29.649285)"
"APARTMENT OR CONDO RENTALS","36378","PINETREE GARDENS APARTMENTS","2009-06-01T00:00:00.000","4100 SW 20TH AVE","GAINESVILLE","FL","220 N MAIN ST","GAINESVILLE","FL","32601","352-375-2152","PINETREEGARDENS@COLLIERCOMPANIES.COM","PINETREE GARDENS  APARTMENTS OF GAINESVILLE, LTD","29.634723","-82.38611","POINT (-82.38611 29.634723)"
"APARTMENT OR CONDO RENTALS","35356","ASHTON LANE APARTMENTS","2016-01-01T00:00:00.000","410 SW 10TH ST","GAINESVILLE","FL","321 SW 13TH ST","GAINESVILLE","FL","32601","352-376-6223","CLARSEN@TRIMARKPROPERTIES.COM","HERITAGE INVESTMENT  GROUP OF GAINESVILLE, LLC","29.648191","-82.335037","POINT (-82.335037 29.648191)"
"APARTMENT OR CONDO RENTALS","14925","HAMPTON COURT APARTMENTS","1995-09-25T00:00:00.000","6415 NW 23RD TER","GAINESVILLE","FL","6415 NW 23RD TER","GAINESVILLE","FL","32653","352-377-3318","LDELK@THECTGROUPLLC.COM","HAMPTON COURT, LTD.","29.712648","-82.360297","POINT (-82.360297 29.712648)"
"APARTMENT OR CONDO RENTALS","44027","COLLEGE PARK TWO, LLC","2019-08-18T00:00:00.000","207 NW 17TH ST","GAINESVILLE","FL","220 N MAIN ST","GAINESVILLE","FL","32601","352-375-2152","ANNA.GRAHAM@COLLIERCOMPANIES.COM","COLLEGE PARK TWO, LLC","29.653734","-82.344769","POINT (-82.344769 29.653734)"
"APARTMENT OR CONDO RENTALS","17998","OAK VILLAGE APARTMENTS","1995-11-13T00:00:00.000","301 NW 13TH AVE","GAINESVILLE","FL","24159 NW 110TH AVE","ALACHUA","FL","32615","352-275-4199","COUTU7771@HOTMAIL.COM","BOB  COUTU","29.663883","-82.327789","POINT (-82.327789 29.663883)"
"APARTMENT OR CONDO RENTALS","36391","SOUTHERN PINES APTS","2009-06-01T00:00:00.000","4125 SW 17TH PL","GAINESVILLE","FL","4125 SW 17TH PL","GAINESVILLE","FL","32607","352-376-5384","ROBERTCKWONG@YAHOO.COM","CHU-KUOK  WONG","29.636268","-82.385682","POINT (-82.385682 29.636268)"
"APARTMENT OR CONDO RENTALS","44142","WINDSOR HALL APARTMENTS","2019-09-18T00:00:00.000","629 SW 9TH ST","GAINESVILLE","FL","629 SW 9TH ST","GAINESVILLE","FL","32601","352-554-6219","LYN.SOWELL@ASSETLIVING.COM","W H GAINESVILLE, LLC","29.645974","-82.333649","POINT (-82.333649 29.645974)"
"APARTMENT OR CONDO RENTALS","23504","COLLEGIATE SQUARE","1996-01-01T00:00:00.000","1812 NW 2ND AVE","GAINESVILLE","FL","COLLEGE PARK, 220 N MAIN ST","GAINESVILLE","FL","32601","352-375-2152","COLLEGEPARK@COLLIERCOMPANIES.COM","NATHAN  COLLIER","29.653501","-82.346796","POINT (-82.346796 29.653501)"
