"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Home Grant Fund","Neighborhood Improvement","Downpayment Assistance Program","Haile Title Company Llc","Housing & Urban Development","Other Grants And Aids","-8000.00","2011-10-04T00:00:00.000","October","1","2012","Payables"
"Campus Development Agreement Capital Projects Fund","Public Works","Archer Rd/SW 16th Ave/Gale Lemerand Dr","Kimley Horn And Associates Inc","Road & Street Facilities","Improvements Other Than Bldg","15648.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Campus Development Agreement Capital Projects Fund","Public Works","Archer Rd/SW 16th Ave/Gale Lemerand Dr","Kimley Horn And Associates Inc","Road & Street Facilities","Improvements Other Than Bldg","51024.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Public Works","Porters Neighborhood Infrastructure","Classic Industrial Fence Llc","Flood Control","Improvements Other Than Bldg","36818.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Employees Health & Accident Fd","Risk Management","Risk Management","Ceridian Benefits Services","Other General Government","Administrative Costs","312.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Employees Health & Accident Fd","Risk Management","Risk Management","Gallagher Benefits Services Inc","Other General Government","Other Contractual Services","5416.67","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Employees Health & Accident Fd","Risk Management","Risk Management","Symetra Financial","Other General Government","Stop Loss Insurance Premium","37476.12","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Fleet Management Services Fund","General Services","General Services Administration","Copyfax Of Gainesville Inc","Internal Services","Other Contractual Services","46.30","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Florida Building Code Enforcement Enterprise Fund","Building Inspection","Building Inspection","Avolve Software Corp","Protective Inspections","Other Contractual Services","3600.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"General Capital Projects Fund","Public Works","Traffic Management System","Troxell Communications Inc","Road & Street Facilities","Non-Capital Equipment","400.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"General Capital Projects Fund","Public Works","Traffic Management System","Troxell Communications Inc","Road & Street Facilities","Non-Capital Equipment","1200.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"General Capital Projects Fund","Public Works","Traffic Management System","Temple Inc","Road & Street Facilities","Non-Capital Equipment","31025.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Health & Wellness Services","Health Workshops R Us","Other General Government","Printing And Binding","300.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Risk Management","Marsh Usa Inc","Other General Government","Insurance Premiums","999.05","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Pro Shop","Acushnet Company","Parks & Recreation","Materials And Supplies","233.47","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Pro Shop","Acushnet Company","Parks & Recreation","Materials And Supplies","266.67","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Pro Shop","Antigua Group Inc","Parks & Recreation","Materials And Supplies","346.08","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Pro Shop","Antigua Group Inc","Parks & Recreation","Materials And Supplies","401.75","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Concessions","Florida Coca-Cola Bottling Co","Parks & Recreation","Materials And Supplies","406.85","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Concessions","Sams Club Direct","Parks & Recreation","Materials And Supplies","414.47","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Concessions","Us Foodservice Inc","Parks & Recreation","Materials And Supplies","767.66","2011-10-09T00:00:00.000","October","1","2012","Payables"
"LOGT Bonded Transportation Capital Projects Fund","Public Works","SW 35th Place Sidewalk","Dyer Riddle Mills & Precourt Inc","Road & Street Facilities","Professional Services","515.89","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Misc. Grants Fund","Police","FY 10 Domestic Violence Grant","Black On Black Crime Task Force","Law Enforcement","Other Contractual Services","1833.50","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Misc. Grants Fund","Police","FY 10 Domestic Violence Grant","Black On Black Crime Task Force","Law Enforcement","Other Contractual Services","1833.50","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Misc. Grants Fund","Public Works","FDOT-TRIP Grant","D & D Inc","Road & Street Facilities","Other Contractual Services","3043.80","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Unifirst Corporation","Transit Systems","Rental-Equipment","7.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Unifirst Corporation","Transit Systems","Rental-Equipment","7.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Gillig Corporation","Transit Systems","Inventory Purchases","12.40","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","United Parcel Service","Transit Systems","Postage","20.23","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Gainesville Regional Utilities","Transit Systems","Utilities-Elect,Sewer,Water","47.27","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Prevost Car (Us) Inc","Transit Systems","Inventory Purchases","50.16","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Precision Transmission Inc","Transit Systems","Inventory Purchases","60.77","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Gainesville Regional Utilities","Transit Systems","Utilities-Elect,Sewer,Water","62.92","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Precision Transmission Inc","Transit Systems","Inventory Purchases","67.48","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Gainesville Regional Utilities","Transit Systems","Utilities-Elect,Sewer,Water","81.56","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Gainesville Regional Utilities","Transit Systems","Utilities-Elect,Sewer,Water","93.19","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","M Ware Company","Transit Systems","Inventory Purchases","101.12","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","W W Grainger Inc","Transit Systems","Materials And Supplies","110.75","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","University Towing & Transport Inc","Transit Systems","Other Contractual Services","160.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","M Ware Company","Transit Systems","Inventory Purchases","190.12","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Gillig Corporation","Transit Systems","Inventory Purchases","193.42","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Southern Environmental Equipment Inc","Transit Systems","Outside Labor","220.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","M Ware Company","Transit Systems","Inventory Purchases","294.48","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Precision Transmission Inc","Transit Systems","Inventory Purchases","342.63","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Gillig Corporation","Transit Systems","Inventory Purchases","393.86","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Gillig Corporation","Transit Systems","Inventory Purchases","468.60","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Gillig Corporation","Transit Systems","Inventory Purchases","470.74","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Unifirst Corporation","Transit Systems","Uniform Purchase Price","486.07","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Unifirst Corporation","Transit Systems","Uniform Purchase Price","486.07","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Gillig Corporation","Transit Systems","Inventory Purchases","531.93","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Prevost Car (Us) Inc","Transit Systems","Inventory Purchases","700.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Gainesville Regional Utilities","Transit Systems","Utilities-Elect,Sewer,Water","746.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Precision Transmission Inc","Transit Systems","Inventory Purchases","814.57","2011-10-09T00:00:00.000","October","1","2012","Payables"
