"fiscal_year","revenue_source","revenue_type","department","unit","fund","fund_type","proposed_amount","adopted_amount","amended_amount","actual_amount","unique_id"
"2021","Santa Fe College","Charges For Services","Regional Transit System","Employee Pass Program","Regional Transit System Fund","Enterprise Funds",,"6021","6021","0","20214035346806815450E"
"2021","Registration Fees","Charges For Services","Fire Rescue","Operation Care","Misc. Special Revenues","Special Revenue Funds",,"0","75","75","2021467034820G260123R"
"2021","Recreation Memberships","Charges For Services","Parks, Recreation & Cultural Affairs","Recreation Programs","Misc. Special Revenues","Special Revenue Funds",,"0","0","1278","2021462534850G204123R"
"2021","Law Enforcement Services","Charges For Services","Police","United States Marshall Service Fugitive Task Force","Misc. Special Revenues","Special Revenue Funds",,"8228.98","8228.98","2661.22","2021421234810G474123R"
"2021","Law Enforcement Services","Charges For Services","Police","United States Marshal Service Mou- Grace Market","Misc. Special Revenues","Special Revenue Funds",,"2071.66","2071.66","0","2021421234810G480123R"
"2021","Vending Machine Revenue","Charges For Services","Parks, Recreation & Cultural Affairs","Recreation Programs","Misc. Special Revenues","Special Revenue Funds",,"0","0","276.47","2021462334850G204123R"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","FFGFC Of 2002","Debt Service Funds",,"0","0","1401.45","P2018-353"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","FAPS Projects-Ffgfc 02","Capital Projects Funds",,"0","0","1355.93","P2018-321"
"2011","Miscellaneous Revenues","Non-Revenues","Fire Rescue","Risk Reduction Bureau","The General Fund","The General Fund",,"0","0","1327.47","P2018-194"
"2011","Fed Grant-Physical Environment","Intergovernmental Revenues","Neighborhood Improvement","2009 Supportive Housing Grt - Vetspace","Misc. Grants Fund","Special Revenue Funds",,"2571.89","2571.89","0","P2018-249"
"2011","Refund Of Prior Year Expenditures","Miscellaneous Revenues","City Attorney","City Attorney","The General Fund","The General Fund",,"0","0","1325","P2018-88"
"2011","Unrealized Gain/Loss","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Wspp Administration","Wild Spaces Public Places 1/2 c. Sales Tax","Capital Projects Funds",,"0","0","1252","P2018-599"
"2011","Unrealized Gain/Loss","Miscellaneous Revenues","General Services","General Services Administration","Fleet Management Services Fund","Internal Service Funds",,"0","0","1216","P2018-230"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Police","Office Of The Chief Of Police","School Crossing Guard Trust","Expendable Trust",,"0","0","1207.48","P2018-692"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Road Construction 1996","Capital Projects Funds",,"0","0","1171.01","P2018-320"
"2011","Other Contributions&Donations","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Childrens Theater","Misc. Special Revenues","Special Revenue Funds",,"0","0","1117","P2018-503"
"2011","Handicap Parking Fines","Fines & Forfeitures","Police","Office Of The Chief Of Police","The General Fund","The General Fund",,"0","0","1096.74","P2018-687"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Art In Public Places Projects","Art In Public Places","Expendable Trust",,"0","0","1029.34","P2018-486"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Public Imp. Cap. Prj. Fund:94","Capital Projects Funds",,"0","0","983.39","P2018-319"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","FFGFC of 2005","Debt Service Funds",,"0","0","966.73","P2018-352"
"2011","Laa Specialty Vehicle Tag","Intergovernmental Revenues","Cultural Affairs","Laa Speciality License Tags","Misc. Special Revenues","Special Revenue Funds",,"0","0","920","P2018-157"
"2011","Cash Overage/Shortage","Miscellaneous Revenues","Public Works","Parking Garage","The General Fund","The General Fund",,"0","0","774.46","P2018-786"
"2011","Ticket Sales-Cultural Services","Charges for Services","Parks, Recreation & Cultural Affairs","Asian Festival","Cultural Affairs Projects Fund","Special Revenue Funds",,"0","0","710","P2018-490"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Downtown Pkg Garage-Sales Tax","Capital Projects Funds",,"0","0","678.02","P2018-318"
