"acronym","agency","appeal_subtype","appeal_type","date_closed","date_filed","exam_no","expiration","extension","status","title"
"DCAS","Department of Citywide Administrative Services",,"Waiting for DQ","2019-04-11T00:00:00.000","2019-02-11T15:59:13.000",,,,"Closed",
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-02-26T00:00:00.000","2018-05-31T23:17:03.000","7005","2022-05-16T00:00:00.000",,"Closed","Computer Specialist (Software)"
"NYCTA","Transit Authority","Score","Section 50","2019-06-05T00:00:00.000","2019-02-25T00:00:00.000","7613","2022-11-21T00:00:00.000",,"Closed","Transit Electro-Mechanical Maintainer (V & D)"
"DCAS","Department of Citywide Administrative Services","Veterans Credits","Section 50","2019-03-12T00:00:00.000","2018-07-11T00:00:00.000","7532","2022-05-16T00:00:00.000",,"Closed","Promotion to Lieutenant (Police)"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-01-09T00:00:00.000","2018-06-15T00:00:00.000","7005","2022-05-16T00:00:00.000",,"Closed","Computer Specialist (Software)"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-06-27T00:00:00.000","2018-05-24T00:00:00.000","7005","2022-05-16T00:00:00.000",,"Closed","Computer Specialist (Software)"
"NYPD","Police Department","Psych","Section 50","2019-02-11T00:00:00.000","2018-10-31T12:04:29.000","4323","2020-08-26T00:00:00.000",,"Closed","Police Officer"
"NYCTA","Transit Authority","Education and Experience","Section 50","2019-04-22T00:00:00.000","2019-03-22T00:00:00.000","7604","2022-09-19T00:00:00.000",,"Closed","Train Operator"
"NYPD","Police Department","Psych","Section 50","2019-09-23T00:00:00.000","2018-12-03T16:15:27.000","4313","2020-06-23T00:00:00.000",,"Closed","Police Officer"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-01-24T00:00:00.000","2018-06-08T11:31:31.000","7005","2022-05-16T00:00:00.000",,"Closed","Computer Specialist (Software)"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-06-20T00:00:00.000","2018-11-09T00:00:00.000","8049",,,"Closed","Associate Park Service Worker"
"DCAS","Department of Citywide Administrative Services",,"Other","2019-03-29T00:00:00.000","2019-03-22T11:40:12.000",,,,"Closed",
"DOC","Department of Correction","Character","Section 50","2019-10-04T00:00:00.000","2019-04-29T00:00:00.000","6315","2020-06-15T00:00:00.000",,"Closed","Correction Officer"
"DCAS","Department of Citywide Administrative Services",,"Other","2019-03-29T00:00:00.000","2019-03-16T16:26:01.000",,,,"Closed",
"DOC","Department of Correction","Character","Section 50","2019-01-10T00:00:00.000","2018-12-14T00:00:00.000","7329","2021-02-15T00:00:00.000",,"Closed","Correction Officer"
"DOC","Department of Correction","Character","Section 50","2019-10-07T00:00:00.000","2019-05-29T11:44:35.000","7320","2021-01-11T00:00:00.000",,"Closed","Correction Officer"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-01-31T00:00:00.000","2018-05-21T10:24:27.000","7005","2022-05-16T00:00:00.000",,"Closed","Computer Specialist (Software)"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-09-24T00:00:00.000","2019-03-19T00:00:00.000","8071","2023-03-20T00:00:00.000",,"Closed","Administrative Quality Assurance Specialist"
"NYCTA","Transit Authority","Score","Section 50","2019-09-16T00:00:00.000","2019-05-20T00:00:00.000","6617","2022-04-04T00:00:00.000",,"Closed","Revenue Equipment Maintainer"
"DCAS","Department of Citywide Administrative Services","Timeliness","Section 50","2019-09-17T00:00:00.000","2019-07-25T00:00:00.000","8062","2023-06-12T00:00:00.000",,"Closed","Certified IT Developer (Applications)"
