"program_type","program","site_name","address","post_code","borough_community","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs","Beacon","Dr. Charles R. Drew Educational Complex","3630 3rd Avenue","10456","Bronx","Directions for Our Youth","718.293.4344","6 and up",,"40.833511","-73.90449","3","16","14701","2009611","2029250001","Claremont-Bathgate                                                         "
"After-School Programs","Beacon","Eastside Community HS","420 E.12th Street","10009","Manhattan","University Settlement Society of New York ","212.598.4533","6 and up",,"40.729589","-73.982555","3","2","34","1005974","1004390017","East Village                                                               "
"After-School Programs","Beacon","Grand Street Campus","850 Grand Street","11211","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","718.302.5930","6 and up",,"40.712184","-73.939722","1","34","485","3325733","3030160001","Bushwick South                                                             "
"After-School Programs","Beacon","IS 10","45-11 31st Avenue","11103","Queens","Goodwill Industries of Greater NY","718.777.9202","6 and up",,"40.759363","-73.912902","1","22","151","4012664","4007140001","Astoria                                                                    "
"After-School Programs","Beacon","IS 131","100 Hester Street ","10002","Manhattan","YMCA Chinatown","212.219.8393","6 and up",,"40.716553","-73.993092","3","1","16","1082489","1003010003","Chinatown                                                                  "
"After-School Programs","Beacon","IS 164","401 W 164th Street","10032","Manhattan","Community Association Progressive Dominicans","212.795.9511","6 and up",,"40.836536","-73.937159","12","10","24301","1062636","1021110024","Washington Heights South                                                   "
"After-School Programs","Beacon","IS 192","650 Hollywood Avenue","10465","Bronx","Phipps Community Development","718.239.4080","6 and up",,"40.826526","-73.818417","10","13","158","2077130","2054380001","Schuylerville-Throgs Neck-Edgewater Park                                   "
"After-School Programs","Beacon","IS 195","625 W. 133 Street","10027","Manhattan","Graham Windham","212.368.1827 ext.19","6 and up",,"40.819572","-73.957823","9","7","22302","1059942","1020010005","Manhattanville                                                             "
"After-School Programs","Beacon","IS 198","365 Beach 56 Pl ","11692","Queens","Police Athletic League (PAL)","718.945.7845 ext.10","6 and up",,,,,,,,,
"After-School Programs","Beacon","IS 2","333 Midland Avenue","10306","Staten Island","United Activities Unlimited","718.987.0351","6 and up",,"40.576725","-74.100726","2","50","11202","5053571","5036960100","New Dorp-Midland Beach                                                     "
"After-School Programs","Beacon","IS 217","977 Fox Street","10459","Bronx","Simpson Street Development Association, Inc. ","718.589.1510","6 and up",,"40.822443","-73.893902","2","17","159","2005660","2027140004","Hunts Point                                                                "
"After-School Programs","Beacon","IS 218","370 Fountain Avenue","11208","Brooklyn","Police Athletic League (PAL)","718.277.1928","6 and up",,"40.670724","-73.874208","5","42","1118","3095977","3042780001","East New York                                                              "
