"intake_date","source","language","request_type","topic","outcome","industry","city","state","zip","borough_name","community_district","council_district"
"2020-01-06T00:00:00.000","Email","English","Information Request","Wage & Hour","Assigned for Review","Other Personal Care Services","New York","NY","10128","Manhattan","8","5"
"2020-02-19T00:00:00.000","Email","English","Information Request","Discrimination/Harassment","Information Provided",,,,,,,
"2018-08-07T00:00:00.000","Email","English","Outreach Request","Paid Safe and Sick Leave","Assigned for Outreach Review",,,,,,,
"2016-10-11T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2017-12-13T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-04-21T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-10-12T00:00:00.000","Direct Call","English","Information Request","Other","Information Provided",,,,,,,
"2015-04-30T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-04-22T00:00:00.000","Direct Call","English","Information Request","Wage & Hour","Information Provided",,,,,,,
"2020-01-15T00:00:00.000","E-form from 311","English","Information Request","Multiple Topics (2)","Multiple Outcomes (2)",,,,,,,
"2021-01-28T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-08-20T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-08-02T00:00:00.000","Email","English","Information Request","Commuter Benefits","Information Provided",,,,,,,
"2022-01-27T00:00:00.000","Email","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2020-07-30T00:00:00.000","Call from Hotline","English","Information Request","Multiple Topics (2)","Multiple Outcomes (2)","Retail Trade","New York","NY","10009","Manhattan",,
"2020-05-14T00:00:00.000","Call from 311","English","Information Request","Unemployment Insurance","Information Provided",,,,,,,
"2020-06-09T00:00:00.000","Call from Hotline","Spanish","Information Request","Unemployment Insurance","Information Provided",,,,,,,
"2017-07-24T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-08-01T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-09-19T00:00:00.000","Email","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2015-01-02T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-07-16T00:00:00.000","Email","English","Information Request","Temporary Schedule Change","Information Provided",,,,,,,
"2014-10-31T00:00:00.000","Call from 311","Spanish","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-04-22T00:00:00.000","Call from 311","Spanish","Information Request","Other","Information Provided",,,,,,,
"2021-01-28T00:00:00.000","Call from Hotline","English","Information Request","Health & Safety","Information Provided",,,,,,,
"2015-06-10T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
