"event_name","event_description","event_url","local_start_time","local_end_time","capacity","status","category_name","subcategory_name","format_name","address_1","address_2","city","region","postal_code","country","venue_name","ticket_name","ticket_description","ticket_on_sale_status","ticket_quantity_total","ticket_quantity_sold","ticket_sales_start","ticket_sales_end","organizer_name","organizer_description","organizer_url"
"Elegir la estructura legal correcta, Queens, 30/9/20","Elegir la estructura legal correcta","https://www.eventbrite.com/e/elegir-la-estructura-legal-correcta-queens-30920-tickets-118167595459","2020-09-30T15:00:00.000","2020-09-30T16:00:00.000","100","live","Business & Professional","Startups & Small Business",,,,,,,,,"I do not own a business with active sales",,"AVAILABLE","50","3","2019-09-04T06:00:00.000Z","2020-09-29T18:59:00.000Z","NYC Department of Small Business Services","The NYC Department of Small Business Services helps unlock economic potential and create economic security for all New Yorkers by connecting New Yorkers to good jobs, creating stronger businesses, and building thriving neighborhoods across the five boroughs.
You can register for all of our free events, courses, and WE NYC mentor sessions on Eventbrite. For questions about individual courses or to register over the phone, please contact our staff at one of our NYC Business Solutions Centers.
For more information on all of our services, call 311 or visit nyc.gov/sbs.","https://www.eventbrite.com/o/nyc-department-of-small-business-services-5423713077"
"Getting Certified as a Minority/Women Owned Business , Queens, 11/12/20","Getting Certified as a Minority/Women Owned Business","https://www.eventbrite.com/e/getting-certified-as-a-minoritywomen-owned-business-queens-111220-tickets-120239745315","2020-11-12T15:00:00.000","2020-11-12T16:30:00.000","125","live","Business & Professional","Sales & Marketing","Class, Training, or Workshop",,,,,,,,"I do not own a business with active sales",,"AVAILABLE","50","0","2019-10-16T08:30:00.000Z","2020-11-11T22:29:00.000Z","NYC Department of Small Business Services","The NYC Department of Small Business Services helps unlock economic potential and create economic security for all New Yorkers by connecting New Yorkers to good jobs, creating stronger businesses, and building thriving neighborhoods across the five boroughs.
You can register for all of our free events, courses, and WE NYC mentor sessions on Eventbrite. For questions about individual courses or to register over the phone, please contact our staff at one of our NYC Business Solutions Centers.
For more information on all of our services, call 311 or visit nyc.gov/sbs.","https://www.eventbrite.com/o/nyc-department-of-small-business-services-5423713077"
"Template - Business Education","Insert mentor bio or event details here.
If you have questions about this WE Connect Mentor session or would like additional information about WE NYC, e-mail wenyc@sbs.nyc.gov or visit nyc.gov/wenyc.","https://www.eventbrite.com/e/template-business-education-tickets-84944359867","2019-12-05T09:00:00.000","2021-06-09T12:30:00.000","150","started","Business & Professional","Startups & Small Business","Class, Training, or Workshop",,,,,,"US",,"Pre-startup",,"UNAVAILABLE","50","0","2019-04-22T16:30:00.000Z","2019-12-05T15:00:00.000Z","NYC Department of Small Business Services","The NYC Department of Small Business Services helps unlock economic potential and create economic security for all New Yorkers by connecting New Yorkers to good jobs, creating stronger businesses, and building thriving neighborhoods across the five boroughs.
You can register for all of our free events, courses, and WE NYC mentor sessions on Eventbrite. For questions about individual courses or to register over the phone, please contact our staff at one of our NYC Business Solutions Centers.
For more information on all of our services, call 311 or visit nyc.gov/sbs.","https://www.eventbrite.com/o/nyc-department-of-small-business-services-5423713077"
"◀︎WEBINAR | Primer Paso para Comenzar un Negocio, BROOKLYN, 10/20/20","WEBINAR | Primer Paso para Comenzar un Negocio, BROOKLYN, 10/20/2020","https://www.eventbrite.com/e/webinar-primer-paso-para-comenzar-un-negocio-brooklyn-102020-tickets-115290539106","2020-10-20T14:00:00.000","2020-10-20T16:00:00.000","200","live","Business & Professional","Sales & Marketing","Class, Training, or Workshop",,,,,,,,"I do not own a business with active sales",,"AVAILABLE","100","1","2020-07-01T04:00:00.000Z","2020-10-19T22:00:00.000Z","NYC Department of Small Business Services","The NYC Department of Small Business Services helps unlock economic potential and create economic security for all New Yorkers by connecting New Yorkers to good jobs, creating stronger businesses, and building thriving neighborhoods across the five boroughs.
You can register for all of our free events, courses, and WE NYC mentor sessions on Eventbrite. For questions about individual courses or to register over the phone, please contact our staff at one of our NYC Business Solutions Centers.
For more information on all of our services, call 311 or visit nyc.gov/sbs.","https://www.eventbrite.com/o/nyc-department-of-small-business-services-5423713077"
"Get Your Business Funded at 0% with Kiva Crowdfunding, 9/9/20","Crowdfunding To Bankroll Your Business With Kiva","https://www.eventbrite.com/e/get-your-business-funded-at-0-with-kiva-crowdfunding-9920-tickets-110051693578","2020-09-09T15:00:00.000","2020-09-09T17:00:00.000","100","live","Business & Professional","Startups & Small Business",,,,,,,,,"I do not own a business with active sales",,"UNAVAILABLE","50","26","2019-08-01T06:00:00.000Z","2020-09-09T01:00:00.000Z","NYC Department of Small Business Services","The NYC Department of Small Business Services helps unlock economic potential and create economic security for all New Yorkers by connecting New Yorkers to good jobs, creating stronger businesses, and building thriving neighborhoods across the five boroughs.
You can register for all of our free events, courses, and WE NYC mentor sessions on Eventbrite. For questions about individual courses or to register over the phone, please contact our staff at one of our NYC Business Solutions Centers.
For more information on all of our services, call 311 or visit nyc.gov/sbs.","https://www.eventbrite.com/o/nyc-department-of-small-business-services-5423713077"
"Creating a Business Idea that Works, Webinar, Bronx 09/10/2020","Creating a Business Idea that Works","https://www.eventbrite.com/e/creating-a-business-idea-that-works-webinar-bronx-09102020-tickets-112172880104","2020-09-10T11:00:00.000","2020-09-10T13:30:00.000","200","live","Business & Professional","Startups & Small Business","Class, Training, or Workshop",,,,,,,,"I do not own a business with active sales",,"AVAILABLE","100","45","2020-06-26T21:00:00.000Z","2020-09-10T15:30:00.000Z","NYC Department of Small Business Services","The NYC Department of Small Business Services helps unlock economic potential and create economic security for all New Yorkers by connecting New Yorkers to good jobs, creating stronger businesses, and building thriving neighborhoods across the five boroughs.
You can register for all of our free events, courses, and WE NYC mentor sessions on Eventbrite. For questions about individual courses or to register over the phone, please contact our staff at one of our NYC Business Solutions Centers.
For more information on all of our services, call 311 or visit nyc.gov/sbs.","https://www.eventbrite.com/o/nyc-department-of-small-business-services-5423713077"
"纽约市业务重新开放的准则, 9/24/20","加入此网络研讨会，了解纽约州的要求，建议和可用资源，以帮助企业在纽约市重新开放和营运。","https://www.eventbrite.com/e/92420-tickets-114720973520","2020-09-24T10:00:00.000","2020-09-24T11:00:00.000","400","live","Business & Professional","Startups & Small Business","Class, Training, or Workshop",,,,,,,,"I do not own a business with active sales",,"AVAILABLE","150","0","2019-09-19T18:00:00.000Z","2020-09-24T13:00:00.000Z","NYC Department of Small Business Services","The NYC Department of Small Business Services helps unlock economic potential and create economic security for all New Yorkers by connecting New Yorkers to good jobs, creating stronger businesses, and building thriving neighborhoods across the five boroughs.
You can register for all of our free events, courses, and WE NYC mentor sessions on Eventbrite. For questions about individual courses or to register over the phone, please contact our staff at one of our NYC Business Solutions Centers.
For more information on all of our services, call 311 or visit nyc.gov/sbs.","https://www.eventbrite.com/o/nyc-department-of-small-business-services-5423713077"
"◀︎WEBINAR | Choosing a Legal Structure, BROOKLYN 9/21/2020","WEBINAR | Choosing a Legal Structure, BROOKLYN 9/21/2020","https://www.eventbrite.com/e/webinar-choosing-a-legal-structure-brooklyn-9212020-tickets-112029723920","2020-09-21T15:00:00.000","2020-09-21T17:00:00.000","200","live","Business & Professional","Startups & Small Business","Class, Training, or Workshop",,,,,,,,"I do not own a business with active sales",,"AVAILABLE","100","9","2020-06-01T04:00:00.000Z","2020-09-21T13:00:00.000Z","NYC Department of Small Business Services","The NYC Department of Small Business Services helps unlock economic potential and create economic security for all New Yorkers by connecting New Yorkers to good jobs, creating stronger businesses, and building thriving neighborhoods across the five boroughs.
You can register for all of our free events, courses, and WE NYC mentor sessions on Eventbrite. For questions about individual courses or to register over the phone, please contact our staff at one of our NYC Business Solutions Centers.
For more information on all of our services, call 311 or visit nyc.gov/sbs.","https://www.eventbrite.com/o/nyc-department-of-small-business-services-5423713077"
"Building Your Own Business Website, Lower Manhattan, 9/15/2020","Building Your Own Business Website","https://www.eventbrite.com/e/building-your-own-business-website-lower-manhattan-9152020-tickets-110628928102","2020-09-15T15:00:00.000","2020-09-15T17:30:00.000","100","live",,,,,,,,,,,"I do not own a business with active sales",,"AVAILABLE","50","33","2019-08-05T23:59:00.000Z","2020-09-14T18:59:00.000Z","NYC Department of Small Business Services","The NYC Department of Small Business Services helps unlock economic potential and create economic security for all New Yorkers by connecting New Yorkers to good jobs, creating stronger businesses, and building thriving neighborhoods across the five boroughs.
You can register for all of our free events, courses, and WE NYC mentor sessions on Eventbrite. For questions about individual courses or to register over the phone, please contact our staff at one of our NYC Business Solutions Centers.
For more information on all of our services, call 311 or visit nyc.gov/sbs.","https://www.eventbrite.com/o/nyc-department-of-small-business-services-5423713077"
"Webinar: First Steps to Starting a Business, Washington Heights, 9/17/2020","First Steps to Starting a Business","https://www.eventbrite.com/e/webinar-first-steps-to-starting-a-business-washington-heights-9172020-tickets-118556017239","2020-09-17T12:00:00.000","2020-09-17T14:00:00.000","100","live","Business & Professional",,"Class, Training, or Workshop",,,,,,,,"I do not own a business with active sales",,"AVAILABLE","50","41","2019-06-26T00:59:00.000Z","2020-09-16T19:59:00.000Z","NYC Department of Small Business Services","The NYC Department of Small Business Services helps unlock economic potential and create economic security for all New Yorkers by connecting New Yorkers to good jobs, creating stronger businesses, and building thriving neighborhoods across the five boroughs.
You can register for all of our free events, courses, and WE NYC mentor sessions on Eventbrite. For questions about individual courses or to register over the phone, please contact our staff at one of our NYC Business Solutions Centers.
For more information on all of our services, call 311 or visit nyc.gov/sbs.","https://www.eventbrite.com/o/nyc-department-of-small-business-services-5423713077"
