"borough","borough_citywide_office_b","district","school","school_name","school_category","program","language","language_translated","general_special_education","special_education_model"
"Manhattan","Manhattan","1","01M020","P.S. 020 Anna Silver","Elementary","Dual Language","Chinese","中文","General Education","Not Applicable"
"Manhattan","Manhattan","1","01M020","P.S. 020 Anna Silver","Elementary","Dual Language","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","1","01M184","P.S. 184m Shuang Wen","K-8","Dual Language","Chinese","中文","General Education","Not Applicable"
"Manhattan","Manhattan","1","01M184","P.S. 184m Shuang Wen","K-8","Dual Language","Chinese","中文","Special Education","ICT"
"Manhattan","Manhattan","1","01M188","P.S. 188 The Island School","K-8","Dual Language","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","1","01M188","P.S. 188 The Island School","K-8","Transitional Bilingual Education","Spanish","Español","Special Education","12:1:1"
"Manhattan","Manhattan","1","01M378","School for Global Leaders","Junior High-Intermediate-Middle","Dual Language","Chinese","中文","General Education","Not Applicable"
"Manhattan","ACCESS","1","01M515","Lower East Side Preparatory High School","High school","Transitional Bilingual Education","Chinese","中文","General Education","Not Applicable"
"Manhattan","ACCESS","1","01M515","Lower East Side Preparatory High School","High school","Transitional Bilingual Education","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","2","02M001","P.S. 001 Alfred E. Smith","Elementary","Dual Language","Chinese","中文","General Education","Not Applicable"
"Manhattan","Manhattan","2","02M002","P.S. 002 Meyer London","Elementary","Transitional Bilingual Education","Chinese","中文","General Education","Not Applicable"
"Manhattan","Manhattan","2","02M042","P.S. 042 Benjamin Altman","Elementary","Transitional Bilingual Education","Chinese","中文","Special Education","ICT"
"Manhattan","Manhattan","2","02M130","P.S. 130 Hernando De Soto","Elementary","Transitional Bilingual Education","Chinese","中文","Special Education","12:1:1"
"Manhattan","Manhattan","2","02M131","M.S. 131","Junior High-Intermediate-Middle","Dual Language","Chinese","中文","General Education","Not Applicable"
"Manhattan","Manhattan","2","02M131","M.S. 131","Junior High-Intermediate-Middle","Dual Language","Chinese","中文","Special Education","ICT"
"Manhattan","Manhattan","2","02M427","Manhattan Academy For Arts & Language","High school","Transitional Bilingual Education","Spanish","Español","General Education","Not Applicable"
"Manhattan","Bronx","2","02M542","Manhattan Bridges High School","High school","Dual Language","Spanish","Español","General Education","Not Applicable"
"Manhattan","Bronx","2","02M542","Manhattan Bridges High School","High school","Transitional Bilingual Education","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","2","02M545","High School for Dual Language and Asian Studies","High school","Dual Language","Chinese","中文","General Education","Not Applicable"
"Manhattan","Manhattan","2","02M545","High School for Dual Language and Asian Studies","High school","Transitional Bilingual Education","Chinese","中文","General Education","Not Applicable"
"Manhattan","Manhattan","3","03M075","P.S. 075 Emily Dickinson","Elementary","Dual Language","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","3","03M075","P.S. 075 Emily Dickinson","Elementary","Dual Language","Spanish","Español","Special Education","ICT"
"Manhattan","Manhattan","3","03M084","P.S. 084 Lillian Weber","Elementary","Dual Language","French","français","General Education","Not Applicable"
"Manhattan","Manhattan","3","03M084","P.S. 084 Lillian Weber","Elementary","Dual Language","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","3","03M087","P.S. 087 William Sherman","Elementary","Dual Language","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","3","03M145","P.S. 145, The Bloomingdale School","Elementary","Dual Language","Russian","русский","General Education","Not Applicable"
"Manhattan","Manhattan","3","03M145","P.S. 145, The Bloomingdale School","Elementary","Dual Language","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","3","03M163","P.S. 163 Alfred E. Smith","Elementary","Dual Language","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","3","03M165","P.S. 165 Robert E. Simon","Elementary","Dual Language","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","3","03M180","P.S. 180 Hugo Newman","K-8","Dual Language","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","3","03M242","P.S. 242 - The Young Diplomats Magnet Academy","Elementary","Dual Language","Italian","italiano","Special Education","ICT"
"Manhattan","Manhattan","3","03M247","M.S. M247 Dual Language Middle School","Junior High-Intermediate-Middle","Dual Language","Spanish","Español","General Education","Not Applicable"
"Manhattan","Manhattan","3","03M247","M.S. M247 Dual Language Middle School","Junior High-Intermediate-Middle","Dual Language","Spanish","Español","Special Education","ICT"
"Manhattan","Manhattan","3","03M256","Lafayette Academy","Junior High-Intermediate-Middle","Dual Language","French","français","General Education","Not Applicable"
