"providertype","dfta_id","programname","sponsorname","programaddress","programcity","programstate","programzipcode","borough","programphone","dfta_funded","monhouropen","monhourclose","tuehouropen","tuehourclose","wedhouropen","wedhourclose","thuhouropen","thuhourclose","frihouropen","frihourclose","sathouropen","sathourclose","sunhouropen","sunhourclose","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","geocoded_column"
"SOCIAL ADULT DAY CARE SERVICES","S17101","LOVEJOY SENIOR DAYCARE CENTER, INC.","Lovejoy Senior Daycare Center, Inc.","111 MOORE ST  GROUND FLOOR","BROOKLYN","NY","11206","Brooklyn","718-387-0337","N","08:30","03:00","08:30","03:00","08:30","03:00","08:30","03:00","08:30","03:00","08:30","03:00","00:00","00:00","40.703887","-73.941294","301","34","491","3251827","3030970025","East Williamsburg","
,  
(40.703887, -73.941294)"
"SOCIAL ADULT DAY CARE SERVICES","S20801","SUNLIGHT ADULT DAY CARE INC.","Sunlight Adult Day Care Inc.","30-50A WHITESTONE EXPRESSWAY  4TH FLOOR","FLUSHING","NY","11354",,"718-886-8577","N","07:00","03:00","07:00","03:00","07:00","03:00","07:00","03:00","07:00","03:00","07:00","03:00","00:00","00:00","40.770483","-73.835639","407","19","907",,,"College Point","
,  
(40.770483, -73.835639)"
"SOCIAL ADULT DAY CARE SERVICES","S26001","SENIORS IN TOUCH","Seniors In Touch","9000 SHORE RD  WEST BUILDING 1ST FLOOR","BROOKLYN","NY","11209","Brooklyn","347-377-5471","Y","10:00","03:00","10:00","03:00","10:00","03:00","10:00","03:00","10:00","03:00","00:00","00:00","00:00","00:00","40.622093","-74.040244","310","43","5201","3322532","3060780010","Bay Ridge","
,  
(40.622093, -74.040244)"
"SOCIAL ADULT DAY CARE SERVICES","S51401","TLC ADULT DAY CARE CENTER LLC.","Tlc Adult Day Care Center Llc.","3305 3RD AVE.  GROUND FLOOR","BRONX","NY","10456","Bronx","718-292-7700","N","08:30","04:00","08:30","04:00","08:30","04:00","08:30","04:00","08:30","04:00","00:00","00:00","00:00","00:00","40.825809","-73.908017","203","17","185","2116711","2023697501","Morrisania-Melrose","
,  
(40.825809, -73.908017)"
"SOCIAL ADULT DAY CARE SERVICES","S11101","HAPPY ADULT DAY CARE CENTER INC.","Happy Adult Day Care Center Inc.","5118 FORT HAMILTON PKWY","BROOKLYN","NY","11219","Brooklyn","718-686-1899","N","07:30","01:30","07:30","01:30","07:30","01:30","07:30","01:30","07:30","01:30","07:30","01:30","07:30","01:30","40.637289","-73.999297","312","44","114","3138270","3056530014","Borough Park","
,  
(40.637289, -73.999297)"
"SOCIAL ADULT DAY CARE SERVICES","S51701","SILVER SPRINGS ADULT DAY CARE CENTER","Silver Springs Adult Day Care Center","50-15  BEACH CHANNEL DRIVE","FAR ROCKAWAY","NY","11691","Queens","718-734-2172","N","09:00","02:00","00:00","00:00","09:00","02:00","00:00","00:00","09:00","02:00","00:00","00:00","00:00","00:00","40.595303","-73.781147","414","31","97204","4301899","4158420100","Hammels-Arverne-Edgemere","
,  
(40.595303, -73.781147)"
"SOCIAL ADULT DAY CARE SERVICES","S14801","SILVER TOWN AT GRACE AVENUE ADULT DAY CARE CENTER, LLC DBA S","Silver Town At Grace Avenue Adult Day Care Center, Llc Dba S","280 WEST 231 ST  LOWER LEVEL","BRONX","NY","10463","Bronx","917-748-5080","N","09:00","04:30","00:00","00:00","09:00","04:30","09:00","04:30","09:00","04:30","00:00","00:00","00:00","00:00","40.880456","-73.907757","208","11","289","2083199","2057110030","Spuyten Duyvil-Kingsbridge","
,  
(40.880456, -73.907757)"
"SOCIAL ADULT DAY CARE SERVICES","S8601","LA FAMILIA ADULT DAY CENTER INC","La Familia Adult Day Center Inc","2501 PITKIN AVE","BROOKLYN","NY","11208","Brooklyn","347-533-9345","N","09:00","04:00","09:00","04:00","09:00","04:00","09:00","04:00","09:00","04:00","09:00","04:00","00:00","00:00","40.674238","-73.880081","305","37","1166","3000000","3040057501","East New York","
,  
(40.674238, -73.880081)"
"SOCIAL ADULT DAY CARE SERVICES","S59001","HARMONY SOCIAL DAYCARE CENTER","Harmony Social Daycare Center","749 60TH STREET","BROOKLYN","NY","11220","Brooklyn","718-483-8202","N","08:00","05:00","08:00","05:00","08:00","05:00","08:00","05:00","08:00","05:00","08:00","05:00","08:00","05:00","40.636175","-74.010668","307","38","104","3016437","3008660061","Sunset Park East","
,  
(40.636175, -74.010668)"
"SOCIAL ADULT DAY CARE SERVICES","S58701","SARANG CARE INC.","Sarang Care Inc.","144-56 ROOSEVELT AVE  #1C","FLUSHING","NY","11354","Queens","718-445-2207","N","08:00","03:00","08:00","03:00","08:00","03:00","08:00","03:00","08:00","03:00","08:00","03:00","00:00","00:00","40.762113","-73.820227","407","20","863","4113846","4050250031","Murray Hill","
,  
(40.762113, -73.820227)"
