Proj Nbr,Camp Id,Year,Campus,Corps,Team,Nbr of Corps Members,Start Date,End Date,Report Date,Sponsor,Project Description,Issue Area Code,Disaster Type,Stabbr,Cd,Project Abstract,Zip,Location
312,7,2021,"Southern Region - Vicksburg, MS",Traditional,Bayou 4,8,01/12/2022,02/27/2022,02/11/2022,Charlotte County Habitat for Humanity,"Interior and exterior construction, such as building walls and shingling roofs.",URD,,,,"Habitat for Humanity's mission is to bring people together to build homes, communities, and hope by building safe, affordable, quality housing. An NCCC team is being requested to help build several homes for local families. Members will contribute to the goals of this project by performing activities, such as: roof shingling, constructing interior walls, and other tasks.",39180,"Port Charlotte, FL
(26.981878, -82.101078)"
307,7,2021,"Southern Region - Vicksburg, MS",Traditional,Bayou 5,8,01/19/2022,02/27/2022,02/11/2022,Lake Logan Episcopal Center,Support clean-up from Tropical Storm Fred through debris removal and rebuilding a dock.,ENV,,NC,11,"Lake Logan's mission is to serve Christ by welcoming all generations to experience restoration and reconciliation with God, one another, and all creation. The Conference Center was impacted by Tropical Storm Fred this year. An NCCC team is being requested to help with debris cleanup on the property, build a new dock, and other assigned duties.",39180,"Canton, NC
(35.5344, -82.83142)"
313,7,2021,"Southern Region - Vicksburg, MS",Traditional,Bayou 6,7,01/12/2022,02/27/2022,02/11/2022,Girl Scouts of West Central Florida,Provide maintenance and repairs to 4 different campsites.,URD,,FL,9,"The mission of the Girl Scouts of West Central Florida is to provide a fun, safe space where today's girls are inspired to change the world. The organization serves more than 16,000 girls in grades K-12 and more than 8,500 adult members across eight counties. An NCCC team is being requested to provide maintenance and repair to four different campsites.",39180,"Palm Harbor, FL
(28.079017, -82.761963)"
229,1,2022,"Pacific Region - Sacramento, CA",Traditional,Blue 3,10,01/19/2022,02/21/2022,02/11/2022,Fire Safe Council of Nevada County,"Splitting, stacking firewood for storm survivors and providing fuel mitigation assistance.",DIS,PREPAREDNESS,CA,4,"Project Abstract

The mission of Fire Safe Council of Nevada County (FSCNV) is to provide fire wise education and programs to enhance emergency preparedness for wildfire to all citizens of Nevada County to reduce the loss of life, property, and natural resources. The FSCNV plays an essential role in bringing partners together to efficiently combine resources to increase fire preparedness and hazard mitigation in the comprehensive approach of the national wildland fire cohesive strategy.

Wildfires are an ever-growing threat in California, and a majority of Nevada County has been ranked by CAL Fire as high or very high risk of catastrophic fire. Many of the homes, and the town center, meet the criteria for being in the Wildland Urban Interface (WUI). This puts communities, water supplies, the economy, and ecosystems at risk. Nevada County also has a high degree of retired and elderly residents that are challenged in making their homes firesafe, especially low-income seniors. Additionally, catastrophic wildfires can greatly impact the economy. The FSCNC serves as a hub in the county to increase preparedness for wildfires and mitigate potential catastrophic effects across all of these overlapping needs.


AmeriCorps has partnered with the Fire Safe Council of Nevada County to help make Nevada County safer from catastrophic wildfires through fire safety projects and education.  The AmeriCorps members will support fuels reduction around the county, including along evacuation routes and for elderly homeowners in creating defensible space. Additionally, the team will help Sierra Friends Center recover from the Jones Fire with rebuilding projects at camp. And finally, the team will support local food banks and meals on wheels programs, that are responding to the ongoing pandemic. The project is expected to benefit the entire community by creating a more fire resilient and fire educated community. As well as help the community recovery from past wildfires and the current pandemic.",95652,"Grass Valley, CA
(39.219102, -121.062951)"
238,1,2022,"Pacific Region - Sacramento, CA",Traditional,Blue 5,8,01/20/2022,04/01/2022,02/11/2022,United Way of King County - Washington,United Way of King County would mobilize NCCC team(s) to support in-person tax preparation services offered through the Free Tax Preparation Campaign.,URD,,WA,7,"United Way of King County envisions a community where people have homes, students graduate, and families are financially stable. Because we know that there are individuals in our region who need support right now, we work to ensure the availability of resources like housing and support services, food assistance programs, personal safety services and disaster response systems. Additionally, over the last decade, United Way of King County has developed a portfolio of high-impact programs, partnerships, and investments to increase financial stability and reduce the high cost of being poor for low-wage working families.

The COVID-19 pandemic continues to significantly impact our community, increasing economic instability and food insecurity. Low-income families and communities of color, populations which never truly recovered from the Great Recession and continued to experience depreciating wages long before COVID-19 hit, have been disproportionately impacted by the pandemic and are experiencing job loss, housing instability, and general financial instability at unprecedented rates. Every year upwards of 20,000 households rely on United Way of King County’s Free Tax
Preparation services to access high-quality tax services. This year, more than ever, households need to access credits they are entitled to, like the Earned Income Tax Credit (EITC), Advance Child Tax Credit (ACTC), and the Recovery Rebate Credit (linked to the Economic Impact Payments) to gain financial footing during these uncertain times.",95652,"Seattle, WA
(47.603229, -122.33028)"
207,1,2022,"Pacific Region - Sacramento, CA",Traditional,Blue 6,8,01/19/2022,04/01/2022,02/11/2022,Sierra Resource Conservation District (SRCD),Remvoing burned organic debris and preventing erosion in wake of Creek Fire,DIS,RECOVERY,CA,21,"The Sierra Resource Conservation District’s mission is to take available technical, financial, and educational resources, whatever their source, and focus or coordinate them at the local level, to meet the present and future natural resource needs of the local land user. AmeriCorps NCCC has partnered with the Sierra Resource Conservation District for Creek Fire recovery and environmental conservation, providing fire prevention and forest stewardship preparedness for at-risk communities, implementation of biomass utilization strategies, and local workforce development. AmeriCorps Members of the NCCC program will contribute to the goals of the project by performing activities such as Vegetation Management, Storm Readiness, Fuels Reduction, Education and Outreach, and Biomass Utilization. The project is expected to benefit the landowners who lost their homes and community from the 2020 Creek Fire and prepare surrounding communities threatened by wildfire. 

If an AmeriCorps NCCC team is assigned to the project, this summary may be used for internal and external purposes such as reports, websites, media materials or communication to external stakeholders. The submission of this application authorizes that use.",95652,"Auberry, CA
(37.074313, -119.48434)"
239,1,2022,"Pacific Region - Sacramento, CA",Traditional,Blue 7,10,01/13/2022,01/30/2022,02/11/2022,FIND Food Bank,Team will support the food bank with various tasks in response to COVID-19 increased needs.,DIS,,CA,45,"Food In Need of Distribution, Inc. (d.b.a. FIND Food Bank) is dedicated to relieving hunger, the causes of hunger and the problems associated with hunger through awareness, education, and mobilization of resources and community involvement. AmeriCorps NCCC has partnered with FIND to directly support the food insecurity within the Coachella Valley Desert Region. AmeriCorps Members of the NCCC program will contributed to the goals of the project by preforming activities such as rescuing food, supporting warehouse and inventory operations, leading volunteers in performing quality control checks, sorting and packing of product and providing direct distribution to clients at the Mobile Markets. The project is expected to benefit more than 150,000 children, seniors, families, veterans and individuals in need by providing healthy, fresh and nutritious food as well as outreach services.  

The COVID-19 crisis marked a precipitous and intense upsurge in the need for food. In the service area, unemployment spiked at 32%, schools closed, businesses were shuttered…many permanently, and unprecedented need engulfed the community. In addition, the community recently learned that both the Coachella and Stage Coach Music Festivals have been canceled for 2021. The Greater Palm Springs Convention and Visitors Bureau states that the tourism industry has taken a 57% hit and lost about 25,000 jobs. These events are economically crucial to those that live within FIND’s 5,000 sq. mile service area. Without those events, many residents will continue to be underemployed or remain jobless. Due to this, FIND anticipates the need for those who are food insecure to continue to rise through 2021.

Previous AmeriCorps NCCC teams have provided invaluable support directly and indirectly to those who find themselves food-insecure in the desert area. FIND has had two teams previously and the need continues for additional support.",95652,"Indio, CA
(33.718649, -116.218182)"
222,1,2022,"Pacific Region - Sacramento, CA",Traditional,Blue 8,10,01/19/2022,04/01/2022,02/11/2022,United Way California Capital Region,The team will support tax prep programming in Sacramento and work with a local partnering organization for food and clothing donations.,URD,,CA,3,"United Way California Capital Region's (UWCCR) mission is to build stronger, healthier and more compassionate communities. AmeriCorps NCCC has partnered with UWCCR to support the Volunteer Income Tax Assistance (VITA) program. Team members will provide free tax return filing at Free Tax Prep sites in Sacramento and possibly Amador, Yolo, Placer and El Dorado Counties. Team members will also provide assistance to some filers to prepare their own returns through the MyFreeTaxes.com free online program. The team will also have the opportunity to work with 2-1-1 Sacramento, the information and referral line for social services available to low income and culturally diverse residents, seniors, and people with access and functional needs. At 2-1-1 they will schedule Free Tax Prep appointments, take calls for the rent and utility assistance programs, place follow-up calls and administer surveys to residents who used Free Tax Prep/VITA services. 

This project is expected to benefit VITA and MyFreeTaxes.com-eligible households (earning at or below $65,000) by helping them file for free, claim tax credits, and access other health, education and financial wellness information and resources. Overall, the NCCC members will help financially-vulnerable households access free services, tax credits and other resources that will improve their short and long-term financial well-being and the financial health of our region in general.

The team will also work with Daughters of Zion Enterpryz as a partner, a non-profit in Sacramento that works with youth and women to provide support and resources.",95652,"Sacramento, CA
(38.582087, -121.50012)"
201,1,2022,"Pacific Region - Sacramento, CA",Traditional,Blue 9,10,01/19/2022,04/01/2022,02/11/2022,Northern Sonoma County Fire Protection District,The Fuels Management Team will complete extensive fuels reduction efforts in Sonoma County and receive chainsaw training and other experience to prepare them for additional fire mitigation and response.,DIS,,CA,1,"The mission of the Northern Sonoma County Fire Protection District is to serve, lead, and support the community by providing the highest level of emergency services for the protection and preservation of life, property, and the natural environment. The District serves 273 square miles of rural Sonoma County outside city limits, between Healdsburg, Windsor, Cloverdale, and Calistoga with a population of about 8,000 people. The area economy is driven mostly by tourism due to being located in an area with many wineries and Lake Sonoma, which provides recreational opportunities. Nearly 50% of the District has burned in the last 4 years. Because of recent fires in California, the organization has placed increased emphasis on prevention and mitigation efforts.

AmeriCorps NCCC has partnered with Northern Sonoma County Fire Protection District to support the community with fire mitigation efforts.  The AmeriCorps team will provide much needed vegetation management with fuels reduction prior to the 2021 summer fire season.  The members will help expand the Districts capacity with fire mitigation by assisting with limbing trees, cutting brush, pulling cut material to a chipper, building burn piles, and possibly help support pile and prescribed burns. Overall, the AmeriCorps teams service will make the communities in the area more prepared for fire season.",95652,"Geyserville, CA
(38.708564, -122.907406)"
213,1,2022,"Pacific Region - Sacramento, CA",Traditional,Gold 1,8,01/11/2022,04/01/2022,02/11/2022,Food Bank of Alaska,"This team will do a variety of projects in the Anchorage community to support the Food Bank of Alaska, The Anchorage Museum, Fur Rondy, and Re:Made Anchorage.",URD,,AK,1,"Food Bank of Alaska’s mission is dedicated to eliminating hunger in Alaska by obtaining and providing food to partner agencies feeding hungry people and through anti-hunger leadership. They believe that no Alaskan should go hungry. Currently 1 in 8 Alaskans, or 95,000 people are food insecure, including 1 in 6 children. The project will serve Southcentral Alaska, from Girdwood north to Talkeetna and the communities of Anchorage, Eagle River, Wasilla, Palmer, and Willow in between. The demographics include an estimated population of 308,000 people (42% of the state pop), of which 28,000 are veterans, 49% are female, 11% are seniors and 30% are under the age of 18. 60% of the population is white, 6% Black/African American, 9% AI/AN, 10% Asian, 10% Hispanic, and 10% two or more races. Food Bank of Alaska has about 20 partners in this area of Alaska and more than 150 statewide.

AmeriCorps NCCC has partnered with Food Bank of Alaska (FBA) to understand the unduplicated count of the clients served as well as the metrics of who exactly are being served. Implementing Service Insights (SI), a data collection program, should lead to improved effectiveness of current programs and will inform about the gaps that may exist, particularly in serving BIPOC and underserved populations. Broad data collection will help the food bank to understand what additional stakeholders and new partner agencies are needed to address the root causes of hunger that the clients are experiencing. 

Also important to future work as described above is the ability to secure adequate funding. Foundations and corporations are increasingly requesting various client information and making funding decisions based on these metrics. Implementing SI will allow them to provide some or all client metrics, improving the food bank’s ability to seek additional and new funding sources. The SI program will contribute to the Equity, Diversity and Inclusion efforts described in the food bank’s new 3-year strategic plan. Finally, the client understanding gained through SI will lead to more informed advocacy efforts, which should in turn further address the root causes of hunger in Alaska. 

AmeriCorps Members of the NCCC program will contribute to the goals of the project by performing activities such as data collection, capacity building and training for partner organizations, data entry, and data reporting. The project is expected to directly benefit food insecure Alaskans, up to 55,000, across the state. The long-term goal of the Food Bank is to ensure their programs are serving Alaskans equitably. Additionally, members of the team will work with the food bank to support food packing, distributions, and other food bank capacity.

The team will also support other community partners and organizations to provide diversity in this project. These partners include The Anchorage Museum, Re:Made Anchorage, and Fur Rendezvous.",95652,"Anchorage, AK
(61.216583, -149.899597)"
