State,City,Zip,Location 1
MA,Stow,01775,"Stow, MA 01775
(42.428974, -71.512177)"
WA,Curlew,99118,"Curlew, WA 99118
(48.90232, -118.629039)"
PA,Pittsburgh,15212,"Pittsburgh, PA 15212
(40.467325, -80.010493)"
NC,Apex,27502,"Apex, NC 27502
(35.725388, -78.882748)"
GA,Mableton,30126,"Mableton, GA 30126
(33.816357, -84.554589)"
MN,Browerville,56438,"Browerville, MN 56438
(46.133716, -94.810719)"
CA,Westminster,92683,"Westminster, CA 92683
(33.752825, -117.994896)"
WA,Federal Way,98023,"Federal Way, WA 98023
(47.308531, -122.362029)"
AR,Dardanelle,72834,"Dardanelle, AR 72834
(35.171, -93.229517)"
WA,Seattle,98126,"Seattle, WA 98126
(47.548552, -122.374864)"
OH,Columbus,43213,"Columbus, OH 43213
(39.968864, -82.86949)"
GA,Fayetteville,30214,"Fayetteville, GA 30214
(33.487086, -84.479072)"
NY,Ossining,10562,"Ossining, NY 10562
(41.182134, -73.841562)"
PA,Reading,19608,"Reading, PA 19608
(40.312761, -76.029238)"
MO,Lees Summit,64081,"Lees Summit, MO 64081
(38.909582, -94.406713)"
NH,Claremont,03743,"Claremont, NH 03743
(43.361997, -72.334113)"
MO,Chesterfield,63017,"Chesterfield, MO 63017
(38.646904, -90.536404)"
NY,Brooklyn,11201,"Brooklyn, NY 11201
(40.695512, -73.989513)"
GA,Atlanta,30341,"Atlanta, GA 30341
(33.888615, -84.290372)"
IL,Hampshire,60140,"Hampshire, IL 60140
(42.08272, -88.500935)"
NY,Bronx,10465,"Bronx, NY 10465
(40.825915, -73.820974)"
TN,Knoxville,37920,"Knoxville, TN 37920
(35.916485, -83.87761)"
MI,Whitmore Lake,48189,"Whitmore Lake, MI 48189
(42.416486, -83.783217)"
PA,Exton,19341,"Exton, PA 19341
(40.041844, -75.640309)"
NC,Albemarle,28001,"Albemarle, NC 28001
(35.345717, -80.202692)"
OH,Cleveland,44113,"Cleveland, OH 44113
(41.483304, -81.700054)"
WI,West Bend,53090,"West Bend, WI 53090
(43.451545, -88.179037)"
SC,Rock Hill,29730,"Rock Hill, SC 29730
(34.902043, -81.010065)"
IL,Oak Park,60302,"Oak Park, IL 60302
(41.894337, -87.789611)"
CT,Glastonbury,06033,"Glastonbury, CT 06033
(41.705643, -72.560537)"
NJ,Princeton Junction,08550,"Princeton Junction, NJ 08550
(40.285977, -74.613819)"
MO,Saint Louis,63129,"Saint Louis, MO 63129
(38.466164, -90.323042)"
NH,Kingston,03848,"Kingston, NH 03848
(42.916991, -71.064063)"
TX,Cedar Park,78613,"Cedar Park, TX 78613
(30.503628, -97.824803)"
FL,Pompano Beach,33065,"Pompano Beach, FL 33065
(26.272832, -80.258679)"
CA,Roseville,95747,"Roseville, CA 95747
(38.772036, -121.346356)"
MD,Upper Marlboro,20774,"Upper Marlboro, MD 20774
(38.882889, -76.793549)"
AZ,Tucson,85719,"Tucson, AZ 85719
(32.243578, -110.948923)"
MI,Livonia,48150,"Livonia, MI 48150
(42.367494, -83.371768)"
MS,Vicksburg,39183,"Vicksburg, MS 39183
(32.412069, -90.814466)"
FL,Gainesville,32608,"Gainesville, FL 32608
(29.599968, -82.407157)"
TX,Duncanville,75137,"Duncanville, TX 75137
(32.634746, -96.911657)"
CO,Aurora,80017,"Aurora, CO 80017
(39.694963, -104.787056)"
WA,Walla Walla,99362,"Walla Walla, WA 99362
(46.081666, -118.342366)"
MS,Marks,38646,"Marks, MS 38646
(34.273952, -90.299868)"
MI,Rockford,49341,"Rockford, MI 49341
(43.122633, -85.509848)"
AL,Roanoke,36274,"Roanoke, AL 36274
(33.17738, -85.365661)"
WA,Mount Vernon,98273,"Mount Vernon, WA 98273
(48.416422, -122.355669)"
VA,Salem,24153,"Salem, VA 24153
(37.293169, -80.088868)"
NH,Manchester,03102,"Manchester, NH 03102
(42.996471, -71.48734)"
