"inci_no","agency","inci_pri","time_received","monthbegin","inci_type","inci_type_description","zone","time_dispatched","time_en_route","time_at_scene","ym","ymdh","mmss","dispo_cd_desc","unit","year","month","responsetimeseconds","responsetimeminutes"
"8NO0000196","P","2","2018-07-05T17:00:19.000","2018-07-01T00:00:00.000","911","911 HANGUP","RSO",,,,"201807","2018070517","130","CANCELLED",,"2018","7",,
"8CO0094248","P","4","2018-10-27T01:55:08.000","2018-10-01T00:00:00.000","PC","PED CHECK","4","2018-10-27T01:55:08.000","2018-10-27T01:55:08.000","2018-10-27T01:55:08.000","201810","2018102701","5850","ADVISED","211","2018","10","0","0"
"8CO0052314","P","4","2018-06-16T17:29:44.000","2018-06-01T00:00:00.000","PROPCK","PROPERTY CHECK","3","2018-06-16T17:29:44.000","2018-06-16T17:29:44.000","2018-06-16T17:29:44.000","201806","2018061617","3412","NO REPORT TAKEN","231","2018","6","0","0"
"8CO0063162","P","4","2018-07-20T17:08:55.000","2018-07-01T00:00:00.000","PROPCK","PROPERTY CHECK","3","2018-07-20T17:08:55.000","2018-07-20T17:08:55.000","2018-07-20T17:08:55.000","201807","2018072017","2639","NO REPORT TAKEN","131","2018","7","0","0"
"9CO0008584","P","2","2019-01-30T02:54:08.000","2019-01-01T00:00:00.000","911","911 HANGUP","1",,,,"201901","2019013002","5426","CANCELLED",,"2019","1",,
"8CO0055271","P","2","2018-06-26T10:29:33.000","2018-06-01T00:00:00.000","AR","AUDIBLE RES ALRM","2","2018-06-26T10:30:04.000","2018-06-26T10:30:17.000","2018-06-26T10:37:35.000","201806","2018062610","4551","ALARM UNKNOWN MALF","122","2018","6","482","8"
"8CO0024116","P","3","2018-03-17T01:56:10.000","2018-03-01T00:00:00.000","SUSPV","SUSP VEHICLE","3","2018-03-17T02:06:31.000","2018-03-17T02:06:31.000","2018-03-17T02:06:31.000","201803","2018031702","1846","NO REPORT TAKEN","335","2018","3","621","10.3"
"8CO0106478","P","4","2018-12-07T15:51:56.000","2018-12-01T00:00:00.000","459RP","BURG RES PAST","4","2018-12-07T15:53:54.000","2018-12-07T15:54:00.000","2018-12-07T16:00:15.000","201812","2018120717","156","REPORT TAKEN","241","2018","12","499","8.3"
"8CO0091195","P","4","2018-10-17T16:15:42.000","2018-10-01T00:00:00.000","TS","TRAFFIC STOP","3","2018-10-17T16:15:42.000","2018-10-17T16:15:42.000","2018-10-17T16:15:42.000","201810","2018101716","2047","CITE ISSUED","M24","2018","10","0","0"
"8CO0031194","P","2","2018-04-09T09:53:23.000","2018-04-01T00:00:00.000","911","911 HANGUP","2",,,,"201804","2018040909","5331","CANCELLED",,"2018","4",,
"8CO0053224","P","3","2018-06-19T15:32:29.000","2018-06-01T00:00:00.000","AREA","AREA CHECK","4","2018-06-19T16:10:54.000","2018-06-19T16:11:04.000","2018-06-19T16:36:34.000","201806","2018061917","3459","REPORT TAKEN","241","2018","6","3845","64.1"
"8CO0065406","P","2","2018-07-27T19:41:25.000","2018-07-01T00:00:00.000","911","911 HANGUP","4",,,,"201807","2018072719","4155","CANCELLED",,"2018","7",,
"8CO0004704","P","4","2018-01-15T11:26:28.000","2018-01-01T00:00:00.000","TS","TRAFFIC STOP","4","2018-01-15T11:26:28.000","2018-01-15T11:26:28.000","2018-01-15T11:26:28.000","201801","2018011511","3246","ADVISED","111","2018","1","0","0"
"8CO0074040","P","4","2018-08-23T22:50:15.000","2018-08-01T00:00:00.000","VC","VEHICLE CHECK","4","2018-08-23T22:50:15.000","2018-08-23T22:50:15.000","2018-08-23T22:50:15.000","201808","2018082322","5141","NO REPORT TAKEN","R1","2018","8","0","0"
"8CO0053250","P","4","2018-06-19T17:51:04.000","2018-06-01T00:00:00.000","PATINF","PATROL INFO","4",,,,"201806","2018061917","5127","PATROL INFORMATION",,"2018","6",,
"8CO0100351","P","2","2018-11-15T23:02:06.000","2018-11-01T00:00:00.000","911","911 HANGUP","2",,,,"201811","2018111523","3044","CANCELLED",,"2018","11",,
"8CO0076700","P","2","2018-08-31T22:30:51.000","2018-08-01T00:00:00.000","911","911 HANGUP","3",,,,"201808","2018083122","3243","CANCELLED",,"2018","8",,
"8CO0111877","P","4","2018-12-26T08:19:49.000","2018-12-01T00:00:00.000","FU","FOLLOW UP","2","2018-12-26T08:19:52.000","2018-12-26T08:20:01.000","2018-12-26T08:26:05.000","201812","2018122608","3747","NO REPORT TAKEN","111","2018","12","376","6.3"
"8CO0021477","P","3","2018-03-08T16:55:35.000","2018-03-01T00:00:00.000","653M","ANNOYING CALLS","3","2018-03-08T17:00:49.000","2018-03-08T17:06:14.000","2018-03-08T17:24:10.000","201803","2018030818","17","REPORT TAKEN","131","2018","3","1715","28.6"
"8CO0097655","P","3","2018-11-06T21:50:13.000","2018-11-01T00:00:00.000","SUSPV","SUSP VEHICLE","3",,,,"201811","2018110622","1526","PATROL INFORMATION",,"2018","11",,
"8CO0106560","P","4","2018-12-07T19:42:08.000","2018-12-01T00:00:00.000","OVC","OC VEH CHK","1","2018-12-07T19:42:08.000","2018-12-07T19:42:08.000","2018-12-07T19:42:08.000","201812","2018120719","4813","ADVISED","315","2018","12","0","0"
"8CO0066632","P","4","2018-07-31T20:14:19.000","2018-07-01T00:00:00.000","FLAG","FLAG DOWN","1","2018-07-31T20:14:19.000","2018-07-31T20:14:19.000","2018-07-31T20:14:19.000","201807","2018073120","1526","NO REPORT TAKEN","312","2018","7","0","0"
"8CO0024957","P","2","2018-03-20T00:11:43.000","2018-03-01T00:00:00.000","415DV","DOMESTIC DISTURB","4","2018-03-20T00:12:32.000","2018-03-20T00:12:42.000","2018-03-20T00:18:36.000","201803","2018032000","5152","NO REPORT TAKEN","343","2018","3","413","6.9"
"9CO0002988","P","4","2019-01-11T20:17:50.000","2019-01-01T00:00:00.000","TS","TRAFFIC STOP","1","2019-01-11T20:17:50.000","2019-01-11T20:17:50.000","2019-01-11T20:17:50.000","201901","2019011120","2722","CITE ISSUED","M24","2019","1","0","0"
"8CO0110394","P","4","2018-12-20T23:10:32.000","2018-12-01T00:00:00.000","TS","TRAFFIC STOP","RSO","2018-12-20T23:10:32.000","2018-12-20T23:10:32.000","2018-12-20T23:10:32.000","201812","2018122023","1349","ADVISED","322","2018","12","0","0"
"8CO0062290","P","3","2018-07-17T19:50:09.000","2018-07-01T00:00:00.000","AREA","AREA CHECK","2","2018-07-17T20:27:03.000","2018-07-17T20:27:50.000","2018-07-17T20:36:58.000","201807","2018071721","2101","NO REPORT TAKEN","221","2018","7","2809","46.8"
"8CO0043039","P","3","2018-05-17T20:32:07.000","2018-05-01T00:00:00.000","SHOTH","SHOTS-HEARD ONLY","1",,,,"201805","2018051720","3256","DUPLICATE CALL",,"2018","5",,
