"fiscal_year","budget_unit","budget_unit_title","account_code","description","_1st_rev_subacct_title","_2nd_rev_subacct_title","approved_amount","revenues_to_date","balance_remaining"
"19","410000","GENERAL GOVERNMENT","34505","CONTR CAP-DEVELOPR EXACTN","T-INTERGOVERNMENTAL REV","T-DONATED CAP CONTR REV","0","147250","-147250"
"18","101010","PUBLIC INFORMATION","36493","MERCHANDISE SALE-NON-TAX","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"19","227000","RESTRICTED FUNDS- WATER","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","21844.99","-21844.99"
"19","510310","BAY RESTORATION/FLUSH FEE","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","27137","13691.6","13445.4"
"19","300000","BLUE HERON GOLF COURSE OP","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","22.32","-22.32"
"19","414500","LIBRARY","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","38548","-38548"
"18","104000","HUMAN RESOURCES","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","693.5","-693.5"
"18","104000","HUMAN RESOURCES","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","204000","SKI WW ADMINISTRATION","35702","SANITATION/WASTE-USER FEE","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","7218","-7218"
"18","104000","HUMAN RESOURCES","39206","FITNESS PROGRAM PROCEEDS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"18","104500","GENERAL SERVICES","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","104500","GENERAL SERVICES","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","708030","HOMELESS SOLUTIONS PROG","33205","ST COMMUNITY DEV OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","3274","704.45","2569.55"
"19","654050","SECT 5311-DRIVR-EASTON","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","24188","7267.84","16920.16"
"19","320090","AIRPORT CAP PROJ/CONSTR","32730","FED AIRPORT CAP GRANT","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","135644.34","-135644.34"
"18","104540","COURT HOUSE","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
