"file_number","file_name","location_acres","decision_date","planning_area","location_description","dld_reviewer","ded_reviewer","use_type_1","square_feet_1","use_type_2","square_feet_2","use_type_3","square_feet_3","coordinates"
"SDP-01-030","TROY HILL CORPORATE CENTER","21.12","2000-11-08T00:00:00.000","Elkridge","TROY HILL DR AT US RT 1","D. Jones","C. Edmondson","Industrial/Office","184004",,,,,"(39.1948, -76.7532)"
"SDP-13-013","Patuxent Park Industrial Area","13.6","2013-09-12T00:00:00.000","Southeast","TERMINUS OF PATUXENT RANGE RD","B. Barth","J. Witmer","Warehouse","248946","Office","13209",,,"(39.1437, -76.7884)"
"SDP-00-034","HIGH RIDGE PARK","95","2001-01-18T00:00:00.000","Southeast","TERMINUS OF SUPERIOR AVE & E OF I-95","Not Assigned","P. Thompson","Park","0",,,,,"(39.1133, -76.8666)"
"SDP-05-094","HIGH RIDGE SUBSTATION","2.11","2005-05-02T00:00:00.000","Southeast","E SIDE LEISHEAR RD N OF RT 216","B. Barth","Y. Qin","Electrical Substation","0",,,,,"(39.1415, -76.8723)"
"SDP-08-097","VILLAGE OF OAKLAND MILLS","2.62","2010-06-07T00:00:00.000","Columbia","S SIDE MD RT 175 NW OF THUNDER HILL RD","T. Maenhardt","P. Thompson","Retail Site","14820",,,,,"(39.2199, -76.8396)"
"SDP-12-059","MAPLE LAWN FARMS","7.6","2012-08-24T00:00:00.000","Southeast","E SIDE MAPLE LAWN BLVD","J. Manion-Farrar","C. Edmondson","Office","139421",,,,,"(39.1507, -76.903)"
"SDP-02-005","ST JOHN THE EVANGELIST BAPTIST CHURCH","41.151","2003-07-24T00:00:00.000","Ellicott City","SE QUADRANT OF US RT 40 & MARRIOTTSVILLE RD","J. Anders","P. Thompson","Religious Facility","29486",,,,,"(39.2921, -76.8961)"
"SDP-04-147","PATAPSCO VALLEY BUSINESS CENTER","19.056","2005-08-04T00:00:00.000","Elkridge","W SIDE OF COCA COLA DR 700' N OF PARK CIRCLE DR","M. Antol","J. Smith","Warehouse","205680","Office","51420",,,"(39.1853, -76.7322)"
"SDP-05-078","THE OAKS AT WATERS EDGE PHASE III","7.002","2005-12-23T00:00:00.000","Elkridge","NE SIDE OF PORT CAPITAL DR","M. Antol","J. Smith","Community Room/Bldg","2496",,,,,"(39.1772, -76.7787)"
"SDP-01-002","ATHOLTON SEVENTH DAY ADVENTIST","6.47","2001-01-26T00:00:00.000","Columbia","E SIDE MARTIN RD OPPOSITE QUARTERSTAFF RD","Not Assigned","Not Assigned","Church School","16090",,,,,"(39.1923, -76.869)"
"SDP-07-037","EMERSON CORPORATE COMMONS","10.107","2007-06-18T00:00:00.000","Southeast","E SIDE OF STEPHENS RD S OF WHISKEY BOTTOM RD","T. Maenhardt","C. Edmondson","Office","122396",,,,,"(39.1251, -76.8478)"
"SDP-03-009","ROUTE 175 COMMERCIAL","0.81","2002-10-30T00:00:00.000","Columbia","N SIDE OF DOBBIN RD AT SNOWDEN RIVER PKY","M. Antol","M. Kovach","Bank","4435",,,,,"(39.1978, -76.8096)"
"SDP-03-137","ROUTE 175 COMMERCIAL","2.84","2003-09-08T00:00:00.000","Columbia","W SIDE OF SNOWDEN RIVER PKY OPPOSITE APRIL BROOK CIR","K. Sheubrooks","M. Kovach","Office","38706",,,,,"(39.1999, -76.8085)"
"SDP-07-035","VILLAGE OF HARPERS CHOICE","4.72","2007-12-27T00:00:00.000","Columbia","E SIDE CEDAR LN OPPOSITE ROCK COAST RD","M. Antol","P. Thompson","Community Pool","0",,,,,"(39.2172, -76.8871)"
"SDP-17-062","YOUNG SCHOOL - ELLICOTT CITY","1.59","2017-10-31T00:00:00.000","Ellicott City","W SIDE BETHANY LN N OF BALTIMORE NATIONAL PIKE","B. Luber","J. Pancholi","Day Care","12404",,,,,"(39.2814, -76.8599)"
"SDP-02-003","C-W AND COMPANY","2.8","2002-03-11T00:00:00.000","Southeast","TERMINUS OF PUMP HOUSE RD","H. Bernadzikowski","Not Assigned","Warehouse","22986","Office","11240",,,"(39.1321, -76.7917)"
"SDP-00-110","OAKLAND EXECUTIVE PARK","2.1","2000-08-22T00:00:00.000","Columbia","W SIDE OF CENTRE PARK DR 600' N OF RT 108","Not Assigned","P. Thompson","Retail-Shopping Center","10500",,,,,"(39.2275, -76.8152)"
"SDP-08-096","VILLAGES AT TURF VALLEY","2.01","2013-03-28T00:00:00.000","Ellicott City","NW OF TURF VALLEY RD & S OF I-70","D. Boellner","P. Thompson","Storage/Maintenance","15500","Office","2500",,,"(39.3043, -76.8816)"
