"project_name","date_received","meeting_date","meeting_time","meeting_location_place","meeting_location_address","meeting_location_city","meeting_location_zip","proposed_units","proposed_acres","sign_code","sign_year","locationdescription","taxmap_parcel","zoning","coordinates"
"Romiti Property","2007-11-29T00:00:00.000","2008-01-14T00:00:00.000","1899-12-31T20:00:00","Rehoboth Ministries Church","15950 North Ave","Lisbon","21765","7","194","R44","8",,"[TaxMap 2 Parcel 61]","RC-DEO","(39.3642, -77.0918)"
"Hillside at Rocky Gorge III","2003-06-04T00:00:00.000","2003-06-19T00:00:00.000","1899-12-31T17:30:00","(Model Home)","9596 Norfolk Ave","Laurel","20723","2","0.78",,,,"[TaxMap 46 Parcel 326]",,"(39.1323, -76.8775)"
"Scott Shearer","2014-02-04T00:00:00.000","2014-03-06T00:00:00.000","6:30pm","St. Mark's Episcopal Church","12700 Hall Shop Road","Highland","20777",,,"C17","14","HIGHLAND RD","[TaxMap 34 Parcel 170]","RR-DEO","(39.194, -76.9725)"
"Garden Presbyterian Church","2017-06-22T00:00:00.000","2017-08-09T00:00:00.000","6:00 p.m.","Garden Presbyterian Church","8665 Old Annapolis Road","Columbia","21045",,,"C02","18","OLD ANNAPOLIS RD","[TaxMap 30 Parcel 110]","R-20","(39.2228, -76.8112)"
"Baney Property","2007-07-09T00:00:00.000","2007-08-02T00:00:00.000","1899-12-31T18:00:00","Elkridge Library","6540 Washington Blvd.","Elkridge","21075","2","1.39","R01","8","N SIDE TALBOTS LANDING S OF TALBOTS WOODS CT","[TaxMap 31 Parcel 705]","R-20","(39.2271, -76.7703)"
"HIckory Ridge Village Center","2016-08-19T00:00:00.000","2016-09-27T00:00:00.000","1899-12-31T19:00:00","Atholton High School","6520 Freetown Road","Columbia","21044","230","14.163","R12","17","S SIDE FREETOWN RD W OF CEDAR LN","[TaxMap 35 Parcel 423]","NT","(39.1951, -76.883)"
"Zoning Change (R-20 to B-1) ZONING BOARD","2006-03-22T00:00:00.000","2006-04-07T00:00:00.000","1899-12-31T18:00:00","Kiwanis-Wallis Building","3300 Norbet's Way","Ellicott City","21042",,,,,"SOUTH OF RT. 144 ABOUT 800 W. OF COVENTRY CT.","[TaxMap 23 Parcel 99]","R-20","(39.2816, -76.8757)"
"Newman Property","2003-07-07T00:00:00.000","2003-07-23T00:00:00.000","1899-12-31T17:00:00","(On Site)","6029 Jerry's Dr","Columbia","21044","3","1.521",,,"EAST SIDE OF JERRY'S DR","[TaxMap 35 Parcel 179]","R-20","(39.2048, -76.8764)"
"Welsh Property","2005-09-12T00:00:00.000","2005-09-29T00:00:00.000","1899-12-31T18:00:00","Our Lady Of Perpetual Help School, 2nd Fl Classrm","4801 Ilchester Rd","Ellicott City","21043","70","42.12",,,"W SIDE ILCHESTER RD N OF BEECHWOOD RD","[TaxMap 31 Parcel 122],[TaxMap 31 Parcel 856]","R-20","(39.242, -76.7699)"
"Animal Medical Hospital @ Glenwood, Inc -COND USE","2005-12-15T00:00:00.000","2006-01-05T00:00:00.000","1899-12-31T18:00:00","Glenwood Middle School","2680 Route 97","Glenwood","21738",,,,,"SOUTHEAST CORNER OF MCKENDREE RD AND RT 97","[TaxMap 14 Parcel 217]","RR-DEO","(39.3016, -77.0194)"
