File_Number,File_Name,Location_Acres,Decision_Date,Allocation_Area,Planning_Area,Location_Description,Use_Type_1,Number_Of_Houses_1,Use_Type_2,Number_Of_Houses_2,Use_Type_3,Number_Of_Houses_3,Coordinates,Zip Codes
SDP-16-019,ESTATES AT PATAPSCO PARK,122.795,01/28/2016,Established Communities,Ellicott City,TERMINUS OF RT 29 AT RT 99,Single Family Detached,4,,,,,"(39.3047, -76.8231)",24517
SDP-16-063,SAMUEL'S GRANT,34.021,10/26/2016,Established Communities,Elkridge,TERMINUS OF CALVERT DR,Single Family Detached,24,,,,,"(39.2061, -76.7571)",25273
SDP-17-009,ESTATES AT PATAPSCO PARK,25.15,02/24/2017,Established Communities,Ellicott City,NORTH SIDE OF RT 99 AT VALLEY VIEW WAY,Single Family Detached,136,,,,,"(39.307, -76.8183)",24521
SDP-17-014,ENCLAVE AT RIVER HILL,24.46,10/26/2017,Established Communities,Columbia,W SIDE GUILFORD RD AT CLARKSVILLE PIKE,Single Family Detached,48,,,,,"(39.2007, -76.9417)",3487
SDP-16-052,OXFORD SQUARE - RIVER OVERLOOK,21.733,10/10/2017,ELK - Growth & Revitalization,Elkridge,BANBURY DR AT CROWLEY ST,Single Family Attached,107,SFA-MIHU,19,,,"(39.1862, -76.7388)",25273
SDP-14-090,THE GATHERINGS AT ELLICOTT'S RETREAT - PH. 2,17.13,09/29/2015,Established Communities,Ellicott City,TERMINUS OF CARL'S COURT,APT-Age Restricted,0,,,,,"(39.2846, -76.8215)",24521
SDP-14-090,THE GATHERINGS AT ELLICOTT'S RETREAT,17.13,09/29/2015,Established Communities,Ellicott City,TERMINUS OF CARL'S COURT,APT-Age Restricted,162,,,,,"(39.2846, -76.8215)",24521
SDP-14-090,THE GATHERINGS AT ELLICOTT'S RETREAT - PH. 1,17.13,09/29/2015,Established Communities,Ellicott City,TERMINUS OF CARL'S COURT,APT-Age Restricted,0,,,,,"(39.2846, -76.8215)",24521
SDP-15-017,MORRIS PLACE,14.44,10/07/2015,ELK - Growth & Revitalization,Elkridge,WEST SIDE OF US RT 1 SOUTH SIDE OF CEMETERY LN,Single Family Attached,45,SFA-MIHU,8,,,"(39.1814, -76.7725)",25273
SDP-17-029,PINE ACRES,12.02,05/31/2017,Established Communities,Elkridge,MONTGOMERY RD AT PARKVIEW CT,Single Family Detached,21,,,,,"(39.2139, -76.7645)",25273
SDP-17-022,MAPLE LAWN SOUTH,11.49,06/15/2017,SE - Growth & Revitalization,Southeast,S SIDE SCAGGSVILLE RD E OF MURPHY RD,Single Family Detached,64,,,,,"(39.1491, -76.9175)",15824
SDP-16-054,WEST END VILLAGE,10.49,10/03/2016,EC - Growth & Revitalization,Ellicott City,W SIDE OF LAGO RD OPPOSITE FAIRMONT AVE,Single Family Detached,36,,,,,"(39.3016, -76.8943)",24517
SDP-17-057,FAIRWAYS AT TURF VALLEY - PHASE 2,10.0797,10/30/2017,EC - Growth & Revitalization,Ellicott City,TERMINUS OF RESORT RD,Single Family Attached,33,,,,,"(39.2973, -76.8694)",24517
SDP-16-050,ESTATES AT PATAPSCO PARK,9.75,08/26/2016,Established Communities,Ellicott City,VALLEY VIEW WAY,Single Family Detached,55,,,,,"(39.3054, -76.8214)",24521
SDP-16-057,FOX WOOD MANOR,9.387,10/21/2016,Established Communities,Southeast,TERMINUS OF RIVER HILL RD,Single Family Detached,19,Single Family Attached,16,,,"(39.1166, -76.8686)",17164
SDP-15-044,THE VINE - BUCH APARTMENTS,8.8942,08/10/2016,SE - Growth & Revitalization,Southeast,JOHNS HOPKINS RD,APT-MIHU,43,APT,240,,,"(39.1485, -76.8991)",17164
SDP-15-029,MORRIS PLACE,8.424,01/19/2016,ELK - Growth & Revitalization,Elkridge,WEST SIDE OF US RT 1 SOUTH SIDE OF CEMETERY LN,Single Family Attached,29,SFA-MIHU,5,,,"(39.1809, -76.7719)",25273
SDP-15-066,CENTENNIAL LAKE OVERLOOK,8.019,09/11/2015,Established Communities,Ellicott City,WELLFORD DR ,Single Family Detached,47,,,,,"(39.2467, -76.8522)",24517
SDP-14-072,OXFORD SQUARE - PARCEL Y,6.96,08/09/2016,ELK - Growth & Revitalization,Elkridge,TERMINUS OF SAINT MARGARETS BLVD,Single Family Attached,132,SFA-MIHU,24,,,"(39.1849, -76.7391)",25273
