"data_as_of","start_date","end_date","group","year","month","state","condition_group","condition","icd10_codes","age_group","covid_19_deaths","number_of_mentions","flag"
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","0-24","1409","1471",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","25-34","5624","5834",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","35-44","14668","15271",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","45-54","36500","37912",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","55-64","80012","82900",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","65-74","122799","126560",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","75-84","128833","131790",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","85+","109269","110793",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","Not stated","11","11",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages","499125","512542",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","0-24","176","180",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","25-34","431","437",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","35-44","1028","1051",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","45-54","3010","3110",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","55-64","11444","12017",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","65-74","24460","25680",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","75-84","30874","32278",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","85+","23572","24328",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","Not stated","1","1",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages","94996","99082",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","0-24","463","463",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","25-34","1784","1784",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","35-44","4653","4653",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","45-54","11328","11328",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","55-64","22474","22474",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","65-74","29325","29325",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","75-84","21916","21916",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","85+","11778","11778",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","Not stated","1","1",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages","103722","103722",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","0-24","961","1006",
"2022-09-04T00:00:00.000","2020-01-01T00:00:00.000","2022-09-03T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","25-34","3906","3973",
