"year","age_group","percent"
"2015","20-24 years","0.3500653"
"1976","20-24 years","0.311"
"2014","20-24 years","0.361250444"
"2013","20-24 years","0.368"
"2012","20-24 years","0.369"
"2011","20-24 years","0.369"
"2010","20-24 years","0.368"
"2009","20-24 years","0.369"
"2008","20-24 years","0.371"
"2007","20-24 years","0.376"
"2006","20-24 years","0.381"
"2005","20-24 years","0.383"
"2004","20-24 years","0.385"
"2003","20-24 years","0.388"
"2002","20-24 years","0.386"
"2001","20-24 years","0.382"
"2000","20-24 years","0.374"
"1999","20-24 years","0.364"
"1998","20-24 years","0.356"
"1997","20-24 years","0.349"
"1996","20-24 years","0.342"
"1995","20-24 years","0.345"
"1994","20-24 years","0.348"
"1993","20-24 years","0.354"
"1992","20-24 years","0.356"
"1991","20-24 years","0.354"
"1990","20-24 years","0.347"
"1989","20-24 years","0.346"
"1988","20-24 years","0.349"
"1987","20-24 years","0.355"
"1986","20-24 years","0.36"
"1985","20-24 years","0.363"
"1984","20-24 years","0.362"
"1983","20-24 years","0.36"
"1982","20-24 years","0.36"
"1981","20-24 years","0.36"
"1980","20-24 years","0.356"
"1979","20-24 years","0.351"
"1978","20-24 years","0.343"
"1977","20-24 years","0.327"
"1975","20-24 years","0.299"
"1974","20-24 years","0.293"
"1973","20-24 years","0.292"
"1972","20-24 years","0.297"
"1971","20-24 years","0.312"
"1970","20-24 years","0.318"
"2015","25-29 years","0.2718274"
"2014","25-29 years","0.261573835"
"2013","25-29 years","0.251822044"
"2012","25-29 years","0.244670323"
"2011","25-29 years","0.240925802"
"2010","25-29 years","0.235611774"
"2009","25-29 years","0.232960846"
"2008","25-29 years","0.230130212"
"2007","25-29 years","0.227098733"
"2006","25-29 years","0.222958002"
"2005","25-29 years","0.217297061"
"2004","25-29 years","0.209208476"
"2003","25-29 years","0.202829106"
"2002","25-29 years","0.196426558"
"2001","25-29 years","0.190996621"
"2000","25-29 years","0.189371832"
"1999","25-29 years","0.188660054"
"1998","25-29 years","0.188069114"
"1997","25-29 years","0.186697777"
"1996","25-29 years","0.186979194"
"1995","25-29 years","0.182311304"
"1994","25-29 years","0.184272235"
"1993","25-29 years","0.188502885"
"1992","25-29 years","0.1906046"
"1991","25-29 years","0.19327648"
"1990","25-29 years","0.197352117"
"1989","25-29 years","0.196932101"
"1988","25-29 years","0.195329947"
"1987","25-29 years","0.192127012"
"1986","25-29 years","0.188578642"
"1985","25-29 years","0.183565289"
"1984","25-29 years","0.17778297"
"1983","25-29 years","0.171459819"
"1982","25-29 years","0.166316428"
"1981","25-29 years","0.159005542"
"1980","25-29 years","0.149580847"
"1979","25-29 years","0.134827702"
"1978","25-29 years","0.128700129"
"1977","25-29 years","0.121000582"
"1976","25-29 years","0.11835078"
"1975","25-29 years","0.112078589"
"1974","25-29 years","0.107390576"
"1973","25-29 years","0.105818807"
"1972","25-29 years","0.10218254"
