"survey_years","sex","age_group","measure","percent","standard_error"
"1999-2000","All","20 and over","Obesity","30.5","1.5"
"2001-2002","All","20 and over","Obesity","30.5","1.1"
"2003-2004","All","20 and over","Obesity","32.2","1.2"
"2005-2006","All","20 and over","Obesity","34.3","1.4"
"2007-2008","All","20 and over","Obesity","33.7","1.1"
"2009-2010","All","20 and over","Obesity","35.7","0.9"
"2011-2012","All","20 and over","Obesity","34.9","1.4"
"2013-2014","All","20 and over","Obesity","37.7","0.9"
"2015-2016","All","20 and over","Obesity","39.6","1.6"
"2017-2018","All","20 and over","Obesity","42.4","1.8"
"1999-2000","Male","20 and over","Obesity","27.5","1.5"
"2001-2002","Male","20 and over","Obesity","27.7","1.0"
"2003-2004","Male","20 and over","Obesity","31.1","1.3"
"2005-2006","Male","20 and over","Obesity","33.3","2.0"
"2007-2008","Male","20 and over","Obesity","32.2","1.4"
"2009-2010","Male","20 and over","Obesity","35.5","1.7"
"2011-2012","Male","20 and over","Obesity","33.5","1.4"
"2013-2014","Male","20 and over","Obesity","35.0","1.1"
"2015-2016","Male","20 and over","Obesity","37.9","2.3"
"2017-2018","Male","20 and over","Obesity","43.0","2.7"
"1999-2000","Female","20 and over","Obesity","33.4","1.7"
"2001-2002","Female","20 and over","Obesity","33.2","1.5"
"2003-2004","Female","20 and over","Obesity","33.2","1.7"
"2005-2006","Female","20 and over","Obesity","35.3","1.4"
"2007-2008","Female","20 and over","Obesity","35.4","1.1"
"2009-2010","Female","20 and over","Obesity","35.8","0.9"
"2011-2012","Female","20 and over","Obesity","36.1","1.7"
"2013-2014","Female","20 and over","Obesity","40.4","1.3"
"2015-2016","Female","20 and over","Obesity","41.1","1.6"
"2017-2018","Female","20 and over","Obesity","41.9","2.0"
"1999-2000","All","20-39","Obesity","26.0","1.3"
"1999-2000","All","40-59","Obesity","33.5","3.0"
"1999-2000","All","60 and over","Obesity","33.5","1.7"
"2001-2002","All","20-39","Obesity","26.1","1.4"
"2001-2002","All","40-59","Obesity","33.9","1.5"
"2001-2002","All","60 and over","Obesity","32.8","1.6"
"2003-2004","All","20-39","Obesity","28.5","1.5"
"2003-2004","All","40-59","Obesity","36.8","1.8"
"2003-2004","All","60 and over","Obesity","31.0","1.3"
"2005-2006","All","20-39","Obesity","29.1","2.0"
"2005-2006","All","40-59","Obesity","40.4","2.0"
"2005-2006","All","60 and over","Obesity","33.4","1.1"
"2007-2008","All","20-39","Obesity","30.7","2.0"
"2007-2008","All","40-59","Obesity","36.2","1.7"
"2007-2008","All","60 and over","Obesity","35.1","1.0"
"2009-2010","All","20-39","Obesity","32.6","1.7"
"2009-2010","All","40-59","Obesity","36.6","1.0"
"2009-2010","All","60 and over","Obesity","39.7","1.5"
"2011-2012","All","20-39","Obesity","30.3","1.9"
"2011-2012","All","40-59","Obesity","39.5","1.6"
"2011-2012","All","60 and over","Obesity","35.4","2.0"
"2013-2014","All","20-39","Obesity","34.3","1.5"
"2013-2014","All","40-59","Obesity","41.0","2.1"
"2013-2014","All","60 and over","Obesity","38.5","1.6"
"2015-2016","All","20-39","Obesity","35.7","1.9"
"2015-2016","All","40-59","Obesity","42.8","2.6"
"2015-2016","All","60 and over","Obesity","41.0","1.9"
"2017-2018","All","20-39","Obesity","40.0","2.6"
"2017-2018","All","40-59","Obesity","44.8","1.9"
"2017-2018","All","60 and over","Obesity","42.8","2.5"
"1999-2000","Male","20-39","Obesity","23.7","1.6"
"1999-2000","Male","40-59","Obesity","28.8","2.9"
"1999-2000","Male","60 and over","Obesity","31.7","2.2"
"2001-2002","Male","20-39","Obesity","22.3","1.5"
"2001-2002","Male","40-59","Obesity","32.2","1.7"
"2001-2002","Male","60 and over","Obesity","29.9","2.0"
