"data_as_of","start_date","end_date","group","year","month","state","sex","age_group","covid_19_deaths","total_deaths","pneumonia_deaths","pneumonia_and_covid_19_deaths","influenza_deaths","pneumonia_influenza_or_covid","footnote"
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","All Ages","1038799","8879594","947849","530879","12267","1466240",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","Under 1 year","342","50839","669","49","37","997",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","0-17 years","1241","90515","1875","315","251","3039",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","1-4 years","177","9704","390","41","81","603",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","5-14 years","390","15248","529","116","105","902",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","15-24 years","2784","95202","2523","1202","116","4213",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","18-29 years","6522","167368","5770","3047","197","9423",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","25-34 years","11576","200888","9739","5650","286","15922",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","30-39 years","18739","249126","15365","9433","396","25030",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","35-44 years","28512","297505","23090","14771","469","37243",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","40-49 years","44082","370326","35353","23437","622","56523",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","45-54 years","68157","521240","56074","37099","929","87906",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","50-64 years","192200","1493895","171900","106410","2660","259899",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","55-64 years","150846","1180604","137249","83714","2103","206128",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","65-74 years","237039","1815256","224844","131672","2632","332393",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","75-84 years","268509","2161989","254675","140224","2779","385353",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","All Sexes","85 years and over","270467","2531119","238067","116341","2730","394580",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","All Ages","573995","4676851","529905","304909","6199","804133",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","Under 1 year","191","28093","391","33","20","568",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","0-17 years","659","52924","1041","180","133","1647",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","1-4 years","90","5494","194","23","48","308",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","5-14 years","196","8956","293","66","50","469",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","15-24 years","1649","69798","1506","697","54","2506",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","18-29 years","3984","121994","3482","1819","101","5736",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","25-34 years","7101","141598","5906","3466","142","9665",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","30-39 years","11599","169063","9378","5876","202","15279",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","35-44 years","17691","194846","13997","9155","256","22749",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","40-49 years","27682","235828","21463","14663","344","34759",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"United States","Male","45-54 years","43582","327317","34460","23617","540","54861",
