"author","title","year_published","country","area_s","age_range","study_years","case_identification_method","case_criterion","sample_size","number_of_cases","asd_prevalence_estimate_per","confidence_interval_ci","male_female_sex_ratio","non_hispanic_white_hispanic","white_black_prevalence_ratio","diagnosis_age_range_months","diagnosis_mean_age_months","diagnosis_median_age_months","iq_score_70","adaptive_score_70","non_verbal_or_minimally_verbal","percentage_of_individual","autism_types_included","link_to_publication","cdc_calculated_values"
"Lotter","Epidemiology of Autistic Conditions in Young Children","1966","England","County of Middlesex","8 to 10","1964","survey (mail); health records","Kanner","78000","35","0.45","0.32 - 0.62","2.6",,,,,,"84",,"59",,"autistic conditions","https://link.springer.com/article/10.1007/BF00584048","IQ Score <70 (%); CI"
"Treffert","Epidemiology of infantile Autism","1970","USA","Wisconsin","2 to 12","1962-1967","health records","Kanner","899750","69","0.077","0.06 - 0.10","3.1",,,,,,,,,,"classic infantile autism","https://www.ncbi.nlm.nih.gov/pubmed/5436867","CI"
"Brask","A Prevalence investigation of Childhood Psychoses","1972","Denmark","Åarhus County","2 to 14","1962","health records; service provider records","clinical interpretation","46500","20","0.43","0.28 - 0.66","1.7",,,,,,,,,,"autistic syndrome",,"CI"
"Wing, et al.","The prevalence of early childhood autism: comparison of administrative and epidemiological studies","1976","England","Camberwall","5 to 14","1974","registry; survey (unspecified)","clinical interpretation","25000","12","4.48","0.27 - 0.84",,,,,,,,,,,"early childhood autism","https://pubmed.ncbi.nlm.nih.gov/935299/","CI"
"Wing, et al.","Severe impairments of social interaction and associated abnormalities in children: Epidemiology and classification","1979","England","Camberwell","0 to 14","1970","registry; service provider records","Kanner; clinical interpretation","35000","17","0.49","0.30 - 0.78",,,,,,,"70",,"59","0 (Down syndrome)","autism","https://www.ncbi.nlm.nih.gov/pubmed/155684","IQ Score <70 (%); CI"
"Hoshino, et al.","The epidemiological study of autism in Fukushima-ken","1982","Japan","Fukushima-ken","0 to 17","1977-1979","survey (mail)","Kanner","609848","320","0.525","0.47 - 0.59","9.9",,,,,,,,,,"early infantile autism, autistic mental retardation","https://www.ncbi.nlm.nih.gov/pubmed/7129258","prevalence estimate; CI"
"Bohman, et al.","Childhood psychosis in a northern Swedish county: Some preliminary findings from an epidemiological survey","1983","Sweden","Västerbotten County","0 to 20","1979","survey (mail)","Rutter; clinical interpretation","69000","39","0.56","0.41 - 0.77","1.6",,,,,,,,,,"early infantile autism",,"CI"
"McCarthy, et al.","Prevalence of childhood autism in Ireland.","1984","Ireland","East","8 to 10","1979","survey (mail)","Kanner","65000","28","0.43","0.30 - 0.62","1.3",,,,,,,,"54",,"childhood autism","https://www.ncbi.nlm.nih.gov/pubmed/6610668","CI"
"Gillberg","Infantile autism and other child psychoses in a Swedish urban region","1984","Sweden","Gothenburg","4 to 18","1980","survey (unspecified)","clinical interpretation","128584","26","0.2","0.16 - 0.32","3.3",,,,,,"77",,,"19 (epilepsy)","infantile autism","https://www.ncbi.nlm.nih.gov/pubmed/6607262","CI; IQ Score <70 (%)"
"Steinhausen, et al.","A community survey of infantile autism","1986","Germany","West Berlin","0 to 14","1978-1982","health records","Rutter","279616","52","0.19","0.14 - 0.24","2.3",,,,,,"44",,,,"infantile autism","https://www.ncbi.nlm.nih.gov/pubmed/3486202","CI"
"Steffenberg, et al.","Autism and autism-like conditions in Swedish rural and urban areas: a population study","1986","Sweden","Gothenburg; Bohuslän","0 to 10","1984","health records; registry","DSM-III","78413","35","0.66","0.32 - 0.62","2.9",,,,,,"88",,,"23 (epilepsy); 3 (tuberous sclerosis); 6 (cerebral palsy)","infantile autism, autistic-like conditions","https://www.ncbi.nlm.nih.gov/pubmed/3779317","IQ Score <70 (%); CI; percent co-occurring conditions"
"Matsuishi, et al.","High prevalence of infantile autism in Kurume City, Japan","1987","Japan","Kurume","4 to 12","1983","health records; education records","DSM-III","32834","51","1.55","1.18 - 2.04","4.7",,,,,,,,,,"infantile autism","https://www.ncbi.nlm.nih.gov/pubmed/3498744","CI"
"Burd, et al.","A Prevalence Study of Pervasive Developmental Disorders in North Dakota","1987","USA","North Dakota","2 to 18","1985","health records; education records","DSM-III","180986","59","0.33","0.25 - 0.42","2.7",,,,,,,,,,"infantile autism, childhood onset PDD, atypial PDD, all PDD","https://www.ncbi.nlm.nih.gov/pubmed/3499432","CI"
"Bryson, et al.","First report of a Canadian epidemiological study of autistic syndromes","1988","Canada","Nova Scotia","6 to 14","1985","survey (unspecified)","clinical interpretation; autism test (ABC); other (new diagnostic criteria, Denckla 1986); other (psychometric data/Rutter)","20800","21","1.01","0.66 - 1.54","2.5",,"19.2",,,,"76",,"19",,"autism","https://www.ncbi.nlm.nih.gov/pubmed/3265136","CI; IQ Score <70 (%); percent non-verbal; White:Black prevalence ratio"
"Tanoue, et al.","Epidemiology of infantile autism in southern Ibaraki, japan: differences in prevalence in birth cohorts","1988","Japan","Southern Ibaraki","7","1977-1985","health records; service provider records; education records","DSM-III","95394","132","1.38","1.17 - 1.64","4.1",,,,,,,,,,"infantile autism","https://www.ncbi.nlm.nih.gov/pubmed/3410807","CI"
"Ciadella, et al.","An epidemiological study of infantile autism in a French department (Rhône): A research note","1989","France","Rhône","3 to 9","1986","survey (unspecified)","other (study specific operational criteria for survey completed by service providers)","135180","61","0.45","0.35 - 0.58","2.6",,,,,,,,,,"simple autism, autism with major neurological abnormalities","https://www.ncbi.nlm.nih.gov/pubmed/2784446","CI"
"Sugiyama, et al.","The prevalence of autism in Nagoya, Japan: A total population study","1989","Japan","Nagoya","1.5 to 5 .5","1979-1984","health records","DSM-III","12263","16","1.3","0.80 - 2.12",,,,,,,"38",,,,"autism","https://www.ncbi.nlm.nih.gov/pubmed/2708306","CI"
"Ritvo, et al.","The UCLA-University of Utah epidemiologic survey of autism: prevalence","1989","USA","Utah","8 to 12","1984-1988","survey (mail); health records; education records; service provider records; other (media campaign)","DSM-III","184822","66","0.357","0.28 - 0.45","3.7",,,,,,"66",,,"1.2 (down syndrome); 0.8 (fragile X); 0.8 (Tourette syndreom); 1.7 (Rett syndrome)","autism syndrome","https://www.ncbi.nlm.nih.gov/pubmed/2783539","IQ Score <70 (%); percent co-occurring conditions; prevalence estimate; CI"
"Gillberg, et al.","Is autism more common now than ten years ago?","1991","Sweden","Göteborg; Bohuslän","4 to 13","1988","registry; health records","DSM-III-R","78106","74","0.95","0.75 - 1.20","2.8",,,,,,"82",,,"30 (epilepsy); 6 (CP); 3 (tuberous sclerosis)","autistic disorder, autistic-like conditions","https://www.ncbi.nlm.nih.gov/pubmed/1828000","CI; IQ Score <70 (%); percent co-occuring conditions"
"Wignyosumarto, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia","1992","Indonesia","Yogyakart","4 to 7","1991","other (reserchers conducted initial screening using Bryson Screening Test)","autism test (CARS); clinical interpretation","5120","6","1.2","0.54 - 2.55","2",,,,,,,,"50",,"autism","https://www.ncbi.nlm.nih.gov/pubmed/1495268","% non-verbal"
"Fombonne, et al.","Prevalence of infantile autism in four French regions","1992","France","Aquitaine; Ile-de-France; Lorraine; Picardie","9 to 13","1985","other (government administrative data)","other (French Classification of Infantile autism)","274816","154","0.49","0.36 - 0.61","2.1",,,,,,"87",,,"22 (epilepsy); 2.6 (cerebral palsy); 1.3 (down syndrome); 1.3 (tuberous sclerosis); 0.6 (fragile X)","infantile autism","https://www.ncbi.nlm.nih.gov/pubmed/1411750","IQ Score <70 (%); percent co-occurring conditions (fragile X only)"
"Honda, et al.","Cumulative incidence and prevalence of childhood autism in children in Japan","1996","Japan","Yokohama","5","1994","health records","ICD-10; clinical interpretation","8537","18","2.11","1.33 - 3.33","2.6",,,,,,"50",,,,"childhood autism","https://www.ncbi.nlm.nih.gov/pubmed/8871801","IQ Score <70 (%)"
"Fombonne, et al.","Autism and associated medical disorders in a French epidemiological survey","1997","France","Haute-Garonne; Isère; Saône-et-Loire","6 to 16","1992-1993","service provider records","ICD-10","325347","174","0.54","0.46 - 0.61","1.8",,,,,,"88",,,"26.4 (epilepsy); 1.7 (down syndrome); 1.7 (fragile x); 2.9 (cerebral palsy); 1.1 (tuberous sclerosis)","infantile autism","https://www.ncbi.nlm.nih.gov/pubmed/9394941","IQ Score <70 (%)"
"Arvidsson, et al.","Autism in 3-6 year-old children in a suburb of Goteborg, Sweden","1997","Sweden","Mölnlycke","3 to 6","1994","health records","ICD-10; autism test (ADI-R); clinician interpretation","1941","9","4.6","2.44 - 8.79","3.5",,,,,,"78",,,"22.2 (epilepsy); 11.1 (down syndrome)","childhood autism, early infantile autism, autism-like conditions","https://jourls.sagepub.com/doi/pdf/10.1177/1362361397012004","IQ Score <70 (%); percent co-occuring conditions"
"Webb, et al.","The changing prevalence of autistic disorder in a Welsh health district","1997","Wales","South Glamorgan","3 to 15","1992","health records; education records; survey (mail)","DSM-III-R","73300","53","0.72","0.54 - 0.95","6.6",,,,,,,,,,"autistic disorder","https://www.ncbi.nlm.nih.gov/pubmed/9112962","none"
"Sponheim, et al.","Autism and related disorders: Epidemiological findings in a Norwegian study using ICD-10 diagnostic criteria","1998","Norway","Akershus County","3 to 14","1992","health records","ICD-10","65688","34","0.52","0.32 - 0.64","2",,,,,,"64",,,"23 (epilepsy); 3 (tuberous sclerosis); 6 (Down syndrome); 0 (fragile X); 3 (Encephalopathy)","childhood autism, atypical autism, disintegrative disorder, Asperger syndrome","https://www.ncbi.nlm.nih.gov/pubmed/9656133","percent co-occurring conditions"
