"jurisdiction","week_ending_date","state_abbreviation","year","week","age_group","number_of_deaths","time_period","type","suppress","note"
"Alabama","2015-01-10T00:00:00.000","AL","2015","1","25-44 years","67","2015-2019","Predicted (weighted)",,
"Alabama","2015-01-17T00:00:00.000","AL","2015","2","25-44 years","49","2015-2019","Predicted (weighted)",,
"Alabama","2015-01-24T00:00:00.000","AL","2015","3","25-44 years","55","2015-2019","Predicted (weighted)",,
"Alabama","2015-01-31T00:00:00.000","AL","2015","4","25-44 years","59","2015-2019","Predicted (weighted)",,
"Alabama","2015-02-07T00:00:00.000","AL","2015","5","25-44 years","47","2015-2019","Predicted (weighted)",,
"Alabama","2015-02-14T00:00:00.000","AL","2015","6","25-44 years","59","2015-2019","Predicted (weighted)",,
"Alabama","2015-02-21T00:00:00.000","AL","2015","7","25-44 years","41","2015-2019","Predicted (weighted)",,
"Alabama","2015-02-28T00:00:00.000","AL","2015","8","25-44 years","47","2015-2019","Predicted (weighted)",,
"Alabama","2015-03-07T00:00:00.000","AL","2015","9","25-44 years","60","2015-2019","Predicted (weighted)",,
"Alabama","2015-03-14T00:00:00.000","AL","2015","10","25-44 years","57","2015-2019","Predicted (weighted)",,
"Alabama","2015-03-21T00:00:00.000","AL","2015","11","25-44 years","54","2015-2019","Predicted (weighted)",,
"Alabama","2015-03-28T00:00:00.000","AL","2015","12","25-44 years","50","2015-2019","Predicted (weighted)",,
"Alabama","2015-04-04T00:00:00.000","AL","2015","13","25-44 years","58","2015-2019","Predicted (weighted)",,
"Alabama","2015-04-11T00:00:00.000","AL","2015","14","25-44 years","42","2015-2019","Predicted (weighted)",,
"Alabama","2015-04-18T00:00:00.000","AL","2015","15","25-44 years","47","2015-2019","Predicted (weighted)",,
"Alabama","2015-04-25T00:00:00.000","AL","2015","16","25-44 years","52","2015-2019","Predicted (weighted)",,
"Alabama","2015-05-02T00:00:00.000","AL","2015","17","25-44 years","55","2015-2019","Predicted (weighted)",,
"Alabama","2015-05-09T00:00:00.000","AL","2015","18","25-44 years","53","2015-2019","Predicted (weighted)",,
"Alabama","2015-05-16T00:00:00.000","AL","2015","19","25-44 years","57","2015-2019","Predicted (weighted)",,
"Alabama","2015-05-23T00:00:00.000","AL","2015","20","25-44 years","48","2015-2019","Predicted (weighted)",,
"Alabama","2015-05-30T00:00:00.000","AL","2015","21","25-44 years","44","2015-2019","Predicted (weighted)",,
"Alabama","2015-06-06T00:00:00.000","AL","2015","22","25-44 years","39","2015-2019","Predicted (weighted)",,
"Alabama","2015-06-13T00:00:00.000","AL","2015","23","25-44 years","48","2015-2019","Predicted (weighted)",,
"Alabama","2015-06-20T00:00:00.000","AL","2015","24","25-44 years","58","2015-2019","Predicted (weighted)",,
"Alabama","2015-06-27T00:00:00.000","AL","2015","25","25-44 years","63","2015-2019","Predicted (weighted)",,
"Alabama","2015-07-04T00:00:00.000","AL","2015","26","25-44 years","65","2015-2019","Predicted (weighted)",,
"Alabama","2015-07-11T00:00:00.000","AL","2015","27","25-44 years","57","2015-2019","Predicted (weighted)",,
"Alabama","2015-07-18T00:00:00.000","AL","2015","28","25-44 years","44","2015-2019","Predicted (weighted)",,
"Alabama","2015-07-25T00:00:00.000","AL","2015","29","25-44 years","56","2015-2019","Predicted (weighted)",,
"Alabama","2015-08-01T00:00:00.000","AL","2015","30","25-44 years","53","2015-2019","Predicted (weighted)",,
"Alabama","2015-08-08T00:00:00.000","AL","2015","31","25-44 years","44","2015-2019","Predicted (weighted)",,
"Alabama","2015-08-15T00:00:00.000","AL","2015","32","25-44 years","51","2015-2019","Predicted (weighted)",,
"Alabama","2015-08-22T00:00:00.000","AL","2015","33","25-44 years","51","2015-2019","Predicted (weighted)",,
"Alabama","2015-08-29T00:00:00.000","AL","2015","34","25-44 years","48","2015-2019","Predicted (weighted)",,
"Alabama","2015-09-05T00:00:00.000","AL","2015","35","25-44 years","51","2015-2019","Predicted (weighted)",,
"Alabama","2015-09-12T00:00:00.000","AL","2015","36","25-44 years","56","2015-2019","Predicted (weighted)",,
"Alabama","2015-09-19T00:00:00.000","AL","2015","37","25-44 years","55","2015-2019","Predicted (weighted)",,
"Alabama","2015-09-26T00:00:00.000","AL","2015","38","25-44 years","58","2015-2019","Predicted (weighted)",,
"Alabama","2015-10-03T00:00:00.000","AL","2015","39","25-44 years","52","2015-2019","Predicted (weighted)",,
"Alabama","2015-10-10T00:00:00.000","AL","2015","40","25-44 years","50","2015-2019","Predicted (weighted)",,
"Alabama","2015-10-17T00:00:00.000","AL","2015","41","25-44 years","50","2015-2019","Predicted (weighted)",,
"Alabama","2015-10-24T00:00:00.000","AL","2015","42","25-44 years","49","2015-2019","Predicted (weighted)",,
"Alabama","2015-10-31T00:00:00.000","AL","2015","43","25-44 years","44","2015-2019","Predicted (weighted)",,
"Alabama","2015-11-07T00:00:00.000","AL","2015","44","25-44 years","50","2015-2019","Predicted (weighted)",,
"Alabama","2015-11-14T00:00:00.000","AL","2015","45","25-44 years","46","2015-2019","Predicted (weighted)",,
"Alabama","2015-11-21T00:00:00.000","AL","2015","46","25-44 years","51","2015-2019","Predicted (weighted)",,
"Alabama","2015-11-28T00:00:00.000","AL","2015","47","25-44 years","49","2015-2019","Predicted (weighted)",,
"Alabama","2015-12-05T00:00:00.000","AL","2015","48","25-44 years","49","2015-2019","Predicted (weighted)",,
"Alabama","2015-12-12T00:00:00.000","AL","2015","49","25-44 years","50","2015-2019","Predicted (weighted)",,
"Alabama","2015-12-19T00:00:00.000","AL","2015","50","25-44 years","45","2015-2019","Predicted (weighted)",,
"Alabama","2015-12-26T00:00:00.000","AL","2015","51","25-44 years","66","2015-2019","Predicted (weighted)",,
"Alabama","2016-01-02T00:00:00.000","AL","2015","52","25-44 years","46","2015-2019","Predicted (weighted)",,
"Alabama","2016-01-09T00:00:00.000","AL","2016","1","25-44 years","59","2015-2019","Predicted (weighted)",,
"Alabama","2016-01-16T00:00:00.000","AL","2016","2","25-44 years","58","2015-2019","Predicted (weighted)",,
"Alabama","2016-01-23T00:00:00.000","AL","2016","3","25-44 years","52","2015-2019","Predicted (weighted)",,
"Alabama","2016-01-30T00:00:00.000","AL","2016","4","25-44 years","50","2015-2019","Predicted (weighted)",,
"Alabama","2016-02-06T00:00:00.000","AL","2016","5","25-44 years","62","2015-2019","Predicted (weighted)",,
"Alabama","2016-02-13T00:00:00.000","AL","2016","6","25-44 years","72","2015-2019","Predicted (weighted)",,
"Alabama","2016-02-20T00:00:00.000","AL","2016","7","25-44 years","45","2015-2019","Predicted (weighted)",,
"Alabama","2016-02-27T00:00:00.000","AL","2016","8","25-44 years","51","2015-2019","Predicted (weighted)",,
"Alabama","2016-03-05T00:00:00.000","AL","2016","9","25-44 years","58","2015-2019","Predicted (weighted)",,
"Alabama","2016-03-12T00:00:00.000","AL","2016","10","25-44 years","63","2015-2019","Predicted (weighted)",,
"Alabama","2016-03-19T00:00:00.000","AL","2016","11","25-44 years","64","2015-2019","Predicted (weighted)",,
"Alabama","2016-03-26T00:00:00.000","AL","2016","12","25-44 years","52","2015-2019","Predicted (weighted)",,
"Alabama","2016-04-02T00:00:00.000","AL","2016","13","25-44 years","34","2015-2019","Predicted (weighted)",,
"Alabama","2016-04-09T00:00:00.000","AL","2016","14","25-44 years","54","2015-2019","Predicted (weighted)",,
"Alabama","2016-04-16T00:00:00.000","AL","2016","15","25-44 years","45","2015-2019","Predicted (weighted)",,
"Alabama","2016-04-23T00:00:00.000","AL","2016","16","25-44 years","61","2015-2019","Predicted (weighted)",,
"Alabama","2016-04-30T00:00:00.000","AL","2016","17","25-44 years","47","2015-2019","Predicted (weighted)",,
"Alabama","2016-05-07T00:00:00.000","AL","2016","18","25-44 years","44","2015-2019","Predicted (weighted)",,
"Alabama","2016-05-14T00:00:00.000","AL","2016","19","25-44 years","52","2015-2019","Predicted (weighted)",,
"Alabama","2016-05-21T00:00:00.000","AL","2016","20","25-44 years","54","2015-2019","Predicted (weighted)",,
"Alabama","2016-05-28T00:00:00.000","AL","2016","21","25-44 years","51","2015-2019","Predicted (weighted)",,
"Alabama","2016-06-04T00:00:00.000","AL","2016","22","25-44 years","55","2015-2019","Predicted (weighted)",,
"Alabama","2016-06-11T00:00:00.000","AL","2016","23","25-44 years","55","2015-2019","Predicted (weighted)",,
"Alabama","2016-06-18T00:00:00.000","AL","2016","24","25-44 years","69","2015-2019","Predicted (weighted)",,
