"data_as_of","start_week","end_week","group","year","month","hhs_region","state","place_of_death","age_group","covid_19_deaths","total_deaths","pneumonia","pneumonia_and_covid","influenza_deaths","pneumonia_influenza_or_covid","footnote"
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Total - All Places of Death","All Ages","1038794","8879133","947847","530878","12267","1466234",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Total - All Places of Death","0-17 years","1241","90514","1875","315","251","3039",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Total - All Places of Death","18-29 years","6522","167346","5770","3047","197","9423",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Total - All Places of Death","30-39 years","18739","249081","15365","9433","396","25030",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Total - All Places of Death","40-49 years","44081","370273","35353","23437","622","56522",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Total - All Places of Death","50-64 years","192199","1493735","171900","106410","2660","259898",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Total - All Places of Death","65-74 years","237037","1815145","224842","131671","2632","332390",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Total - All Places of Death","75-84 years","268508","2161935","254675","140224","2779","385352",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Total - All Places of Death","85 years and over","270467","2531104","238067","116341","2730","394580",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Healthcare setting, inpatient","All Ages","696995","2805124","717865","436508","7794","985452",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Healthcare setting, inpatient","0-17 years","712","50249","1028","206","140","1668",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Healthcare setting, inpatient","18-29 years","4539","33322","4391","2606","134","6449",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Healthcare setting, inpatient","30-39 years","13685","67220","12414","8262","273","18089",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Healthcare setting, inpatient","40-49 years","33748","129202","29696","20946","399","42870",
"2022-08-24T00:00:00.000","2020-01-01T00:00:00.000","2022-08-20T00:00:00.000","By Total",,,"0","United States","Healthcare setting, inpatient","50-64 years","152765","575655","146489","96304","1767","204565",
