"indicator","panel","panel_num","unit","unit_num","stub_name","stub_name_num","stub_label","stub_label_num","year","year_num","age","age_num","estimate","se","flag"
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2000","1","All ages","0.1","1014848",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2001","2","All ages","0.1","1142420",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2002","3","All ages","0.1","1157798",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2003","4","All ages","0.1","1114504",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2004","5","All ages","0.1","1106067",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2005","6","All ages","0.1","1169333",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2006","7","All ages","0.1","1123354",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2007","8","All ages","0.1","1200017",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2008","9","All ages","0.1","1189619",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2009","10","All ages","0.1","1270001",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2010","11","All ages","0.1","1239387",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2011","12","All ages","0.1","1249047",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2012","13","All ages","0.1",,,"..."
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2013","14","All ages","0.1",,,"..."
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2014","15","All ages","0.1",,,"..."
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Total","0","All persons","0.1","2015","16","All ages","0.1",,,"..."
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2000","1","Under 18 years","1.1","212165",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2001","2","Under 18 years","1.1","220921",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2002","3","Under 18 years","1.1","238571",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2003","4","Under 18 years","1.1","223724",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2004","5","Under 18 years","1.1","220605",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2005","6","Under 18 years","1.1","238389",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2006","7","Under 18 years","1.1","231535",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2007","8","Under 18 years","1.1","240813",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2008","9","Under 18 years","1.1","225531",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2009","10","Under 18 years","1.1","239590",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2010","11","Under 18 years","1.1","246228",,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments","All places","1","Number of visits in thousands","1","Age","1","Under 18 years","1.1","2011","12","Under 18 years","1.1","263387",,
