"indicator","panel","panel_num","unit","unit_num","stub_name","stub_name_num","stub_label","stub_label_num","year","year_num","age","age_num","estimate","se","flag"
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Total","1","20 years and over","1.1","1988-1994","1","20 years and over","1","41.6","0.8",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Total","1","20 years and over","1.1","1999-2002","2","20 years and over","1","33","0.8",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Total","1","20 years and over","1.1","2001-2004","3","20 years and over","1","32.3","0.7",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Total","1","20 years and over","1.1","2003-2006","4","20 years and over","1","31.6","0.8",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Total","1","20 years and over","1.1","2005-2008","5","20 years and over","1","30.8","0.7",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Total","1","20 years and over","1.1","2007-2010","6","20 years and over","1","29.8","0.7",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Total","1","20 years and over","1.1","2009-2012","7","20 years and over","1","29.6","0.9",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Total","1","20 years and over","1.1","2011-2014","8","20 years and over","1","28.9","0.8",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Total","1","20 years and over","1.1","2013-2016","9","20 years and over","1","27.7","0.9",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Total","1","20 years and over","1.1","2015-2018","10","20 years and over","1","26","1","."
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Sex","2","Male","2.1","1988-1994","1","20 years and over","1","37.9","1",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Sex","2","Male","2.1","1999-2002","2","20 years and over","1","30.2","0.9",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Sex","2","Male","2.1","2001-2004","3","20 years and over","1","28.3","0.9",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Sex","2","Male","2.1","2003-2006","4","20 years and over","1","26.6","1",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Sex","2","Male","2.1","2005-2008","5","20 years and over","1","26.1","0.8",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Sex","2","Male","2.1","2007-2010","6","20 years and over","1","25.7","1",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Sex","2","Male","2.1","2009-2012","7","20 years and over","1","26.2","1.2",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Sex","2","Male","2.1","2011-2014","8","20 years and over","1","26","0.9",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Sex","2","Male","2.1","2013-2016","9","20 years and over","1","24.2","0.9",
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Sex","2","Male","2.1","2015-2018","10","20 years and over","1","22.5","1.1","."
"Normal weight, overweight, and obesity among adults aged 20 and over","Normal weight (BMI from 18.5 to 24.9)","1","Percent of population, age-adjusted","1","Sex","2","Female","2.2","1988-1994","1","20 years and over","1","45","1",
