"age_group","month","vaccine_status","rate","rate_ratio"
"5-11 yr","December 2021","Unvaccinated","3.9","1.2"
"5-11 yr","January 2022","Unvaccinated","11","2.6"
"5-11 yr","February 2022","Unvaccinated","5","2.5"
"5-11 yr","March 2022","Unvaccinated","1.8","1.7"
"5-11 yr","April 2022","Unvaccinated","1.7","1.8"
"5-11 yr","May 2022","Unvaccinated","3.3","1.4"
"5-11 yr","December 2021","Primary series","3.3",
"5-11 yr","January 2022","Primary series","4.2",
"5-11 yr","February 2022","Primary series","2",
"5-11 yr","March 2022","Primary series","1",
"5-11 yr","April 2022","Primary series","0.9",
"5-11 yr","May 2022","Primary series","2.5",
"12-17 yr","June 2021","Unvaccinated","0.8","3.8"
"12-17 yr","July 2021","Unvaccinated","3.6","11.3"
"12-17 yr","August 2021","Unvaccinated","13.6","18.3"
"12-17 yr","September 2021","Unvaccinated","14.8","12.7"
"12-17 yr","October 2021","Unvaccinated","13.1","18"
"12-17 yr","November 2021","Unvaccinated","11","9.3"
"12-17 yr","December 2021","Unvaccinated","23.5","6.3"
"12-17 yr","January 2022","Unvaccinated","32","1.7"
"12-17 yr","February 2022","Unvaccinated","8.9","1.6"
"12-17 yr","March 2022","Unvaccinated","4.1","2.6"
"12-17 yr","April 2022","Unvaccinated","2.2","1.4"
"12-17 yr","May 2022","Unvaccinated","7.7","2.1"
"12-17 yr","June 2021","Primary series","0.2",
"12-17 yr","July 2021","Primary series","0.3",
"12-17 yr","August 2021","Primary series","0.7",
"12-17 yr","September 2021","Primary series","1.2",
"12-17 yr","October 2021","Primary series","0.7",
"12-17 yr","November 2021","Primary series","1.2",
"12-17 yr","December 2021","Primary series","3.7",
"12-17 yr","January 2022","Primary series","18.6",
"12-17 yr","February 2022","Primary series & 1 or more booster","5.5",
"12-17 yr","March 2022","Primary series & 1 or more booster","1.6",
"12-17 yr","April 2022","Primary series & 1 or more booster","1.6",
"12-17 yr","May 2022","Primary series & 1 or more booster","3.6",
"18-49 yr","January 2021","Unvaccinated","37","17.7"
"18-49 yr","February 2021","Unvaccinated","20.4","15.6"
"18-49 yr","March 2021","Unvaccinated","23.3","17.1"
"18-49 yr","April 2021","Unvaccinated","42.8","27.5"
"18-49 yr","May 2021","Unvaccinated","36.6","19"
"18-49 yr","June 2021","Unvaccinated","17.4","13.8"
"18-49 yr","July 2021","Unvaccinated","36.4","20.6"
"18-49 yr","August 2021","Unvaccinated","101.7","21.3"
"18-49 yr","September 2021","Unvaccinated","93.5","23.7"
"18-49 yr","October 2021","Unvaccinated","72.2","15.7"
"18-49 yr","November 2021","Unvaccinated","83.4","16.3"
"18-49 yr","December 2021","Unvaccinated","135","23.5"
"18-49 yr","January 2022","Unvaccinated","190.8","7.9"
