"name","description","url","vendor","alt_names_keywords","subjects","new","trial","popular"
"ABI/INFORM Complete","(1971 - Present) Provides over 1,800 journals, with more than 1,200 available in full-text. It covers a variety of business-related subject areas including financial, pharmaceuticals, manufacturing and more.","https://search.proquest.com/abicomplete?accountid=26724","ProQuest",,"Business and Economics","No","No","No"
"Academic Search Complete","Multi-disciplinary full-text database from EbscoHost, with more than 8,500 full-text periodicals, including 7,300 peer-reviewed journals. Offers full-text coverage in the biological and physical sciences, technology and social sciences","http://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s8895761&profile=ehost&defaultdb=a9h&groupid=main","EBSCOhost",,"Multidisciplinary","No","No","No"
"Access Emergency Medicine","(2005 - Present) Access Emergency Medicine is a complete online service that allows users to quickly search the diagnosis and treatment of a broad range of emergency cases with videos.","https://accessemergencymedicine.mhmedical.com/","McGraw-Hill",,"E-Books","No","No","No"
"Access Medicine","A comprehensive search platform providing access to more than 60 medical titles including  Harrison's Principles of Internal Practice, thousands of photos and illustrations, an integrated drug database, diagnostic tools, and more.","https://accessmedicine.mhmedical.com/","McGraw-Hill",,"E-Books","No","No","No"
"African Index Medicus (AIM)","(1975 - Present) Citations & abstracts for monographs, journal articles, technical and statistical reports related to Africa.","https://www.globalindexmedicus.net/biblioteca/aim/","WHO",,"Technical Reports, Gray Literature, Area Studies","No","No","No"
"AGRICOLA (USDA)","(1862 - Present) Entity of the National Agricultural Library; provides worldwide coverage of the literature of agriculture and life sciences.","http://agricola.nal.usda.gov/","USDA",,"Environmental Science, Agriculture","No","No","No"
"AGRIS","(1975 - Present) International Information System for the Agricultural Sciences & Technology database. References in agricultural sciences and technology.","http://agris.fao.org/","FAO-UN",,"Environmental Science, Agriculture","No","No","No"
"American Society of Civil Engineers(ASCE)","CEDB is a free bibliographic database offering over 200,000 records of all publications by American Society of Civil Engineers.","http://cedb.asce.org/","American Society of Civil Engineers(ASCE)",,"Environmental Science, Occupational Health and Mining","No","No","No"
"Annual Reviews","(1932 - Present) Annual Reviews offers comprehensive, timely collections of critical reviews written by leading scientists. Annual Reviews volumes are published each year for 41 focused disciplines in  Biomedical, Life, Physical, and Social Sciences.","http://www.annualreviews.org/","Annual Reviews",,"Full-Text Journals","No","No","No"
"ASABE Technical Library","(1998 - Present) Technical documents published by the American Society of Agricultural and Biological Engineers","http://elibrary.asabe.org/","ASABE",,"Technical Reports","No","No","No"
"ASTM Compass","Access includes the ASTM Book of Standards, selected ASTM published journals and special publications. A user name and login with a CDC affiliated email address is required to download documents.","http://compass.astm.org","ASTM",,"Technical Reports","No","No","No"
"Bacteriology Abstracts (Microbiology B)","(1982 - Present) Database provides access to far-reaching clinical findings with topics ranging from bacterial immunology and vaccinations to diseases of man and animals as well as all aspects of pure bacteriology, biochemistry, and genetics.","https://search.proquest.com/microbiologyb/advanced?accountid=26724","ProQuest",,"General Health Sciences","No","No","No"
"BioOne","(2000 - Present) An indexed and fully-searchable collection of abstracts that link to the full text articles available from over 66 journals in the biological, ecological, and environmental sciences.","http://www.bioone.org/","BioOne",,"General Health Sciences, Environmental Science","No","No","No"
"Skillsoft Books & Videos (Books 24X7)","A collection of digital business and technology books. Scroll to the bottom of the HHS Learning Portal and click the link under ""Skillsoft Books & Video"". Access is through PIV authentication (available to FTEs only)","http://intranet.cdc.gov/hro/career-development-training/training-courses/learning-portal.html","HHS Portal",,"E-Books, Continuing Education","No","No","No"
"Business Source Complete","Covers all facets of business and economics including marketing, management, accounting, banking and finance. Content includes more than 2,230 full-text journals and magazines.","http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bth","EBSCOhost",,"Business and Economics","No","No","No"
"CAB Abstracts","Coverage of the applied life sciences includes agriculture, environment, veterinary sciences, applied economics, food science and nutrition.","http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=main&D=caba","Ovid",,"General Health Sciences, Environmental Science","No","No","No"
"CDC Stacks","Free, digital archive of scientific research and literature produced by CDC.","http://stacks.cdc.gov/","CDC",,"Full-Text Journals, Public Health Data Sets","No","No","No"
"Chemical Carcinogenesis (CCRIS)","This database has been archived and is no longer being updated. Archived content is available in Pub Chem. For help, please see this page <a href=""https://www.nlm.nih.gov/toxnet/index.html"">https://www.nlm.nih.gov/toxnet/index.html</a>","https://www.ncbi.nlm.nih.gov/pcsubstance?term=%22Chemical%20Carcinogenesis%20Research%20Information%20System%20(CCRIS)%22%5BSourceName%5D%20AND%20hasnohold%5Bfilt%5D","TOXNET",,"Chemicals and Toxicology","No","No","No"
"ChemIDplus","Access to the structure and nomenclature authority files used for the identification of chemical substances cited in National Library of Medicine (NLM) databases. ChemIDplus also has structure searching and direct links to resources at NLM, federal agencies, U.S. states, and scientific sites.","https://chem.nlm.nih.gov/chemidplus/","TOXNET",,"Chemicals and Toxicology","No","No","No"
"ClinicalTrials.gov","Up-to-date information for locating federally and privately supported clinical trials for a wide range of diseases and conditions","http://clinicaltrials.gov/","NLM-NIH",,"Clinical Tools","No","No","No"
"Cochrane Library","(1800 - Present) Provides systematic reviews, clinical trials, economic evaluations and other evidence-based health information.","https://www.cochranelibrary.com/","Cochrane Reviews",,"Systematic Reviews, Clinical Tools","No","No","No"
"Data Hub | CDC","Data Hub, a CDC-wide enterprise, coordinates acquisition and facilitates use of health-related data, including government and commercial claims, ambulatory electronic medical records, hospital surveys and discharges, and emergency medical services data.","http://intranet.cdc.gov/DataHub/","CDC",,"Data Sets","No","No","No"
"Developmental and Reproductive Toxicology Database (DART)","This database has migrated to the new PubMed. For more information see <a href=""https://www.nlm.nih.gov/toxnet/index.html"">https://www.nlm.nih.gov/toxnet/index.html</a>","https://pubmed.ncbi.nlm.nih.gov/?term=dart+%5Bsubset%5D+AND+","TOXNET",,"Chemicals and Toxicology","No","No","No"
"Dietary Supplement Label Database (DSLD)","Full label derived information from dietary supplement products marketed in the U.S. with a Web-based user interface that provides ready access to label information.","https://ods.od.nih.gov/Research/Dietary_Supplement_Label_Database.aspx","NLM-NIH",,"Chemicals and Toxicology","No","No","No"
"DRUGDEX System  (Micromedex)","Access DrugDex and PoisIndex in Micromedex by clicking on Tox & Drug Product Lookup.  You can then search in the text box for drug products by name, code, product ID, or active substance.","http://www.micromedexsolutions.com/micromedex2/librarian/","IBM Watson Health information",,"Chemicals and Toxicology","No","No","No"
"Drugs and Lactation Database (LactMed)","Peer-reviewed and referenced database of drugs to which breastfeeding mothers may be exposed. Please note this is no longer hosted by NLM ToxNet. Content is available through NCBI Bookshelf.","https://www.ncbi.nlm.nih.gov/books/NBK501922/","TOXNET",,"Chemicals and Toxicology","No","No","No"
"DTIC Online","(Current) Resource for Department of Defense and government-funded scientific, technical, engineering, and business related information. Some portions of site require a PIV card and require registration by email.","https://discover.dtic.mil/products-services/","DTIC",,"Technical Reports","No","No","No"
"EBSCOhost databases","Cross-discipline full-text searching in medicine, nursing, communications, economics and more.","https://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s8895761&groupid=main&profile=ehost&defaultdb=a9h,awn,bth,cin20,ufh,nlebk,ecn,ega,8gh,lls,nts,bwh","EBSCOhost",,"Multidisciplinary","No","No","No"
"Ecology Abstracts","Now part of Environmental Sciences Index. It covers interactions of all organisms-microbes, plants, and animals-to their environment and to each other.","https://search.proquest.com/ecology/advanced?accountid=26724","ProQuest",,"General Health Sciences, Environmental Science, Occupational Health and Mining","No","No","No"
"Educational Journals","Access to over 900 top educational publications, including more than 600 of the titles in full text. The coverage spans the literature on primary, secondary and higher education as well as special education, home schooling and and adult education.","https://search.proquest.com/education?accountid=26724","ProQuest",,"Education","No","No","No"
"Emergency Response Safety and Health (ERSH-DB)","Ocupational safety and health database developed by NIOSH for the emergency response community. It contains accurate and concise information on high-priority chemical, biological and radiological agents that could be encountered during a terrorist event.","http://www.cdc.gov/niosh/ershdb/","NIOSH",,"Environmental Science, Occupational Health and Mining","No","No","No"
"Agricultural & Environmental Science Collection","This database encompasses aspects of the impact of people and technology on the environment and the effectiveness of remedial policies and technologies, featuring more than 950 journals published in the U.S. and abroad.","https://search.proquest.com/agricenvironm?accountid=26724","ProQuest",,"Environmental Science, Agriculture","No","No","No"
"Environmental Impact Statements: Full Text","(1985 - Present) Detailed abstracts and indexing of the hundreds of environmental impact statements issued each year by the federal government, in addition to offering the statements themselves in full text.","https://search.proquest.com/eisdigests/advanced?accountid=2672","ProQuest",,"Environmental Science, Occupational Health and Mining","No","No","No"
"Environmental Science Collection","Contains environmental science related full-text articles, environmental impact statements, and bibliographic records from Environmental Sciences and Pollution Management (ESPM).","https://search.proquest.com/environmentalscience?accountid=26724","ProQuest",,"Environmental Science, Occupational Health and Mining, Technical Reports","No","No","No"
"ERIC (Dept of Ed)","(1966 - Present) Comprehensive information on education-related topics","https://eric.ed.gov/","Dept of Education",,"Education","No","No","No"
"ERIC via ProQuest","(1966 - Present) Comprehensive information on education-related topics. Searchable through ProQuest Central CDC subscription.","https://search.proquest.com/eric/socialsciences/","ProQuest",,"Education","No","No","No"
"European Health for All (HFA-DB)","(1970 - Present) Basic demographic and health-related statistics","https://www.euro.who.int/en/data-and-evidence/databases/european-health-for-all-family-of-databases-hfa-db","WHO",,"General Health Sciences","No","No","No"
"Fire on the Web","(1993 - Present) Publications, software and data from the NIST Building and Fire Research Lab.","https://www.nist.gov/el/fire-research-division-73300/fire-web","NIST",,"Environmental Science, Occupational Health and Mining","No","No","No"
"Gale Directory Library","Gale Directory Library is a resource for authoritative directories on companies, publishers, associations and more.","http://infotrac.galegroup.com/itweb/atla93469?db=GDL","Gale Cengage",,"Directories","No","No","No"
"Genetic Toxicology Data Bank (GENE-TOX)","This database has been archived and is no longer being updated. Archived content is available in Pub Chem. For help, please see this page <a href=""https://www.nlm.nih.gov/toxnet/index.html"">https://www.nlm.nih.gov/toxnet/index.html</a>","https://www.ncbi.nlm.nih.gov/pcsubstance?term=%22Genetic%20Toxicology%20Data%20Bank%20(GENE-TOX)%22%5BSourceName%5D%20AND%20hasnohold%5Bfilt%5D","TOXNET",,"Chemicals and Toxicology, Genetics","No","No","No"
"Google Scholar","(Current) Provides a simple way to broadly search for scholarly literature through Google search engine","http://scholar.google.com/","Google",,"General Health Sciences","No","No","No"
"GPO's Federal Digital System (FDsys)","GPO's Federal Digital System (FDsys) provides free online access to official publications from all three branches of the Federal Government.","http://www.gpo.gov/fdsys/","GPO",,"Business and Economics, Public Health Law, Health Administration","No","No","No"
"GreenFILE","Covers all aspects of human impact to the environment. Scholarly, government and general-interest titles includes content on global warming, green building, pollution, sustainable agriculture, renewable energy, recycling, and more.","http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=8gh","EBSCOhost",,"Environmental Science, Occupational Health and Mining","No","No","No"
"Health and Safety Science Abstracts","(1981 - Present). Published in association with the University of Southern California's Institute of Safety and Systems Management and provides a comprehensive, timely survey of recent work relating to public health, safety and industrial hygiene.","https://search.proquest.com/healthsafetyabstracts/advanced?accountid=26724","ProQuest",,"General Health Sciences, Environmental Science, Chemicals and Toxicology, Agriculture","No","No","No"
"HuGE Navigator","(2001 - Present) Database of published, population-based epidemiologic studies of human genes.","https://phgkb.cdc.gov/PHGKB/hNHome.action","CDC HuGENet",,"Genetics","No","No","No"
"Human Genome Map","(1999 - Present) An index that includes the locations of more than 30,000 genes.","http://www.ncbi.nlm.nih.gov/genemap99","NLM-NIH",,"Genetics","No","No","No"
"IEEE Xplore Digital Archives","Archival access to over 4,500 conference proceedings dating from 1951-1999 and 241 journals from 1884-1999.","http://ieeexplore.ieee.org/","IEEE",,"Environmental Science, Occupational Health and Mining, Conference Proceedings","No","No","No"
