"data_as_of","jurisdiction_of_occurrence","year","sex","race_and_hispanic_origin","age_group","covid_u071_multiple_cause","septicemia","malignant_neoplasms","diabetes_mellitus","alzheimer_disease","influenza_and_pneumonia","chronic_lower_respiratory","other_diseases_of_respiratory","nephritis_nephrotic_syndrom","symptoms_signs_and_abnormal","circulatory_diseases","hypertensive_diseases","cerebrovascular_diseases","flag_covid","flag_sept","flag_neopl","flag_diab","flag_alz","flag_inflpn","flag_clrd","flag_otherresp","flag_nephr","flag_otherunk","flag_circ","flag_hypt","flag_stroke"
"2021-04-11T00:00:00.000","United States","2020","Female (F)","Hispanic","0-17 years","30",,,,"0",,,"11",,,"12",,,,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",,"Suppressed (counts 1-9)","Suppressed (counts 1-9)"
"2021-04-11T00:00:00.000","United States","2020","Male (M)","Hispanic","0-17 years","42",,,,"0",,,"12",,"10","12","0",,,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",,"Suppressed (counts 1-9)",,,,"Suppressed (counts 1-9)"
"2021-04-11T00:00:00.000","United States","2020","Female (F)","Non-Hispanic American Indian or Alaska Native","0-17 years","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,
"2021-04-11T00:00:00.000","United States","2020","Male (M)","Non-Hispanic American Indian or Alaska Native","0-17 years",,,"0","0","0","0","0","0","0",,,"0","0","Suppressed (counts 1-9)","Suppressed (counts 1-9)",,,,,,,,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",,
"2021-04-11T00:00:00.000","United States","2020","Female (F)","Non-Hispanic Asian","0-17 years",,"0",,"0","0","0","0",,"0",,"0","0","0","Suppressed (counts 1-9)",,"Suppressed (counts 1-9)",,,,,"Suppressed (counts 1-9)",,"Suppressed (counts 1-9)",,,
"2021-04-11T00:00:00.000","United States","2020","Male (M)","Non-Hispanic Asian","0-17 years",,"0",,"0","0",,"0",,"0",,,"0","0","Suppressed (counts 1-9)",,"Suppressed (counts 1-9)",,,"Suppressed (counts 1-9)",,"Suppressed (counts 1-9)",,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",,
"2021-04-11T00:00:00.000","United States","2020","Female (F)","Non-Hispanic Black","0-17 years","19",,"0",,"0",,,,,,,"0",,,"Suppressed (counts 1-9)",,"Suppressed (counts 1-9)",,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",,"Suppressed (counts 1-9)"
"2021-04-11T00:00:00.000","United States","2020","Male (M)","Non-Hispanic Black","0-17 years","31",,,,"0",,,,"0",,,"0",,,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",,"Suppressed (counts 1-9)"
"2021-04-11T00:00:00.000","United States","2020","Female (F)","Non-Hispanic More than one race","0-17 years",,"0","0","0","0","0","0","0","0","0","0","0","0","Suppressed (counts 1-9)",,,,,,,,,,,,
"2021-04-11T00:00:00.000","United States","2020","Male (M)","Non-Hispanic More than one race","0-17 years",,"0","0","0","0",,"0","0","0","0","0","0","0","Suppressed (counts 1-9)",,,,,"Suppressed (counts 1-9)",,,,,,,
