"data_as_of","start_week","end_week","mmwryear","mmwrweek","week_ending_date","group","indicator","jurisdiction","age_group","covid_19_deaths","total_deaths","pneumonia_deaths","influenza_deaths","pneumonia_or_influenza","pneumonia_influenza_or_covid","footnote"
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","United States","All Ages","0","60034","4102","432","4534","4534",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","United States","0-17 years","0","667","19","22","41","41",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","United States","18-64 years","0","14708","767","183","950","950",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","United States","65 years and over","0","44659","3316","227","3543","3543",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Alabama","All Ages","0","1098","67",,"72","72","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Alabama","0-17 years","0","16","0","0","0","0",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Alabama","18-64 years","0","297","13",,"14","14","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Alabama","65 years and over","0","785","54",,"58","58","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Alaska","All Ages","0","91",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Alaska","0-17 years","0",,"0",,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Alaska","18-64 years","0","40",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Alaska","65 years and over","0","49",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Arizona","All Ages","0","1278","83",,"87","87","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Arizona","0-17 years","0","13","0","0","0","0",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Arizona","18-64 years","0","290","12",,"13","13","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Arizona","65 years and over","0","975","71",,"74","74","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Arkansas","All Ages","0","697","57",,"63","63","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Arkansas","0-17 years","0",,"0","0","0","0","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Arkansas","18-64 years","0","189","12",,"15","15","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Arkansas","65 years and over","0","502","45",,"48","48","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","California","All Ages","0","5866","465","43","508","508",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","California","0-17 years","0","60",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","California","18-64 years","0","1405","81","18","99","99",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","California","65 years and over","0","4401","382","24","406","406",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Colorado","All Ages","0","839","47",,"52","52","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Colorado","0-17 years","0",,"0","0","0","0","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Colorado","18-64 years","0","215","12",,"16","16","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Colorado","65 years and over","0","618","35",,"36","36","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Connecticut","All Ages","0","638","34",,"35","35","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Connecticut","0-17 years","0",,"0","0","0","0","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Connecticut","18-64 years","0","157",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Connecticut","65 years and over","0","478","27","0","27","27",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Delaware","All Ages","0","207","11","0","11","11",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Delaware","0-17 years","0",,"0","0","0","0","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
