"indicator","panel","panel_num","unit","unit_num","stub_name","stub_name_num","stub_label_num","stub_label","year","year_num","age","age_num","estimate","se","flag"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Total","0","0","2-19 years","1988-1994","1","2-19 years","0","10","0.5",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Total","0","0","2-19 years","1999-2002","2","2-19 years","0","14.8","0.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Total","0","0","2-19 years","2001-2004","3","2-19 years","0","16.3","0.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Total","0","0","2-19 years","2003-2006","4","2-19 years","0","16.3","0.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Total","0","0","2-19 years","2005-2008","5","2-19 years","0","16.2","0.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Total","0","0","2-19 years","2007-2010","6","2-19 years","0","16.8","0.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Total","0","0","2-19 years","2009-2012","7","2-19 years","0","16.9","0.6",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Total","0","0","2-19 years","2011-2014","8","2-19 years","0","17","0.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Total","0","0","2-19 years","2013-2016","9","2-19 years","0","17.8","0.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Total","0","0","2-19 years","2015-2018","10","2-19 years","0","18.9","0.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.1","Male","1988-1994","1","2-19 years","0","10.2","0.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.1","Male","1999-2002","2","2-19 years","0","15.5","0.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.1","Male","2001-2004","3","2-19 years","0","17.3","0.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.1","Male","2003-2006","4","2-19 years","0","17","1.1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.1","Male","2005-2008","5","2-19 years","0","16.8","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.1","Male","2007-2010","6","2-19 years","0","18.2","0.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.1","Male","2009-2012","7","2-19 years","0","17.6","0.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.1","Male","2011-2014","8","2-19 years","0","16.9","0.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.1","Male","2013-2016","9","2-19 years","0","18.1","1.1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.1","Male","2015-2018","10","2-19 years","0","19.8","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.2","Female","1988-1994","1","2-19 years","0","9.8","0.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.2","Female","1999-2002","2","2-19 years","0","14.1","0.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.2","Female","2001-2004","3","2-19 years","0","15.2","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.2","Female","2003-2006","4","2-19 years","0","15.5","1.1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.2","Female","2005-2008","5","2-19 years","0","15.5","1.1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.2","Female","2007-2010","6","2-19 years","0","15.4","0.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.2","Female","2009-2012","7","2-19 years","0","16.1","0.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.2","Female","2011-2014","8","2-19 years","0","17.1","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.2","Female","2013-2016","9","2-19 years","0","17.5","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex","1","1.2","Female","2015-2018","10","2-19 years","0","17.9","0.9",
