"provider_name","city","state","zip","payment","rural_location"
"ADVANCED PAIN CENTERS OF ALASKA, INC","ANCHORAGE","AK","995073449","$   1,364.65","YES"
"ALASKA DENTAL ARTS LLC","WASILLA","AK","996547024","$   16,457.35","YES"
"ALASKA EYE CARE CENTERS, APC","ANCHORAGE","AK","995013236","$   17,380.27","YES"
"ALASKA NEURODIAGNOSTIC AND REHABILITATION MEDICINE INC","ANCHORAGE","AK","995084627","$   500.00","NO"
"ALASKA SPECIALTY HOSPITAL, LLC","ANCHORAGE","AK","995037218","$   279,047.10","YES"
"ALASKA WEIGHT MANAGEMENT AND DIABETES COUNSELING","PALMER","AK","996458278","$   500.00","YES"
"ALEUTIAN PRIBILOF ISLANDS ASSOCIATION INC","ANCHORAGE","AK","995181408","$   9,375.48","YES"
"ALLEN DENTAL GROUP LLC","EAGLE RIVER","AK","995777043","$   2,257.68","NO"
"ALTAIR INTEGRATIVE WELLNESS","WASILLA","AK","996547271","$   772.07","YES"
"ANCHOR ERUPTION ENTERPRISES LLC","ANCHORAGE","AK","995085444","$   1,639.60","YES"
"ANCHORAGE COMMUNITY MENTAL HEALTH SERVICES INC","ANCHORAGE","AK","995085321","$   23,221.86","YES"
"ANCHORAGE MANOR 1","ANCHORAGE","AK","995022102","$   500.00","NO"
"ANCORA HOME HEALTH & HOSPICE, LLC","WASILLA","AK","996547499","$   215,139.20","YES"
"ARCTIC ANESTHESIA LLC","ANCHORAGE","AK","995171132","$   500.00","YES"
"ARCTIC CHIROPRACTIC AND PHYSICAL MEDICINE KETCHIKAN","JUNEAU","AK","998018050","$   1,659.23","YES"
"ARCTIC CHIROPRACTIC AND PHYSICAL MEDICINE KODIAK","PALMER","AK","996456972","$   2,174.69","YES"
"ARCTIC CHIROPRACTIC BETHEL, LLC","PALMER","AK","996456967","$   500.00","YES"
"ARCTIC CHIROPRACTIC DELTA","DELTA JUNCTION","AK","997370096","$   636.59","YES"
"ARCTIC CHIROPRACTIC EAST ANCHORAGE","ANCHORAGE","AK","995043572","$   500.00","YES"
"ARCTIC CHIROPRACTIC EAST MAT-SU LLC","PALMER","AK","996456972","$   5,512.31","YES"
"ARCTIC CHIROPRACTIC FAIRBANKS LLC","FAIRBANKS","AK","997013126","$   553.18","YES"
"ARCTIC CHIROPRACTIC HUFFMAN","ANCHORAGE","AK","995153534","$   500.00","YES"
"ARCTIC CHIROPRACTIC SEWARD","SEWARD","AK","996649710","$   500.00","YES"
"ARCTIC CHIROPRACTIC SITKA LLC","SITKA","AK","998357579","$   854.36","YES"
"ARCTIC CHIROPRACTIC SOUTH, LLC","ANCHORAGE","AK","995021474","$   500.00","YES"
"ARCTIC CHIROPRACTIC VALDEZ LLC","VALDEZ","AK","99686","$   500.00","YES"
"ARCTIC CHIROPRACTIC WRANGELL, LLC","PALMER","AK","996456972","$   646.85","YES"
"ARCTIC MEDICAL CENTER","ANCHORAGE","AK","995036089","$   960.11","YES"
"ARCTIC PHYSICAL THERAPY AND REHABILITATION DELTA JUNCTION LLC","FAIRBANKS","AK","997013126","$   3,916.92","YES"
"ARCTIC REHABILITATION AND PHYSICAL THERAPY ANCHORAGE LLC","PALMER","AK","996456967","$   641.77","YES"
"ARCTIC SLOPE NATIVE ASSOCIATION LTD","BARROW","AK","997230029","$   394,487.81","YES"
"ARCTIC THERAPY AND REHAB BETHEL","BETHEL","AK","99559","$   500.00","YES"
"AUDIOLOGY ASSOCIATES INC","ANCHORAGE","AK","995241185","$   2,027.32","NO"
"AUGUSTA PLASSMANN KING OD LLC","FAIRBANKS","AK","997094610","$   811.15","YES"
"AURORA CHIROPRACTIC CENTER PC","JUNEAU","AK","998019300","$   1,108.89","YES"
"BARANOF CHIROPRACTIC, INC","SITKA","AK","998357336","$   1,121.40","YES"
"BARTLETT REGIONAL HOSPITAL","JUNEAU","AK","998017808","$   1,794,392.42","YES"
"BARTLETT REGIONAL HOSPITAL","JUNEAU","AK","998017808","$   21,625.96","YES"
"BEHAVIOR MATTERS CALIFORNIA LLC","EAGLE RIVER","AK","995777802","$   1,824.48","NO"
"BEHAVIOR MATTERS LLC","EAGLE RIVER","AK","995776711","$   500.00","NO"
"BETHEL FAMILY CLINIC","BETHEL","AK","995591908","$   19,106.23","YES"
"BETTER HEALTH PAIN AND WELLNESS CENTERS, LLC","ANCHORAGE","AK","995152000","$   500.00","YES"
"BINKLEY STREET DENTAL CLINIC PC","SOLDOTNA","AK","996697522","$   2,329.77","YES"
"BRIAN E LARSON DC PC","SOLDOTNA","AK","996697649","$   1,561.16","YES"
"BTY DENTAL GROUP","ANCHORAGE","AK","995071128","$   12,555.03","YES"
"CAMAI COMMUNITY HEALTH CENTER INC","NAKNEK","AK","996330211","$   4,476.33","YES"
"CARE CENTER (ANCHORAGE) INC.","ANCHORAGE","AK","995041480","$   92,260.36","YES"
"CARRIE RANDOLPH D.D.S. INC.","KODIAK","AK","996157311","$   4,460.74","YES"
"CENTER FOR WOMENS HEALTH CARE LLC","WASILLA","AK","996547294","$   36,484.05","YES"
"CHRISTIAN HEALTH ASSOCIATES","ANCHORAGE","AK","995075391","$   1,112.86","YES"
"CHUGACH PHYSICAL THERAPY INC","ANCHORAGE","AK","995084141","$   500.00","YES"
"CHUN PIU MAN, INC.","EAGLE RIVER","AK","995777754","$   1,109.08","NO"
