"indicator","unit","unit_num","stub_name","stub_name_num","stub_label","stub_label_num","year","year_num","age","age_num","estimate","se","flag"
"Medicaid coverage among persons under age 65 no additional information","Number in millions","1","Total","0","Under 65 years","0.1","1984","1","Under 65 years","4","14",,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Total","0","Under 65 years","0.1","1984","1","Under 65 years","4","6.8","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","Under 19 years","1.1","1984","1","Under 19 years","1","11.7","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","Under 6 years","1.11","1984","1","Under 6 years","1.1","15.5","0.8",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","6-18 years","1.12","1984","1","6-18 years","1.2","9.8","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","Under 18 years","1.2","1984","1","Under 18 years","2","11.9","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","6-17 years","1.21","1984","1","6-17 years","2.1","10.1","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","18-64 years","1.3","1984","1","18-64 years","3","4.5","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","18-44 years","1.31","1984","1","18-44 years","3.1","5.1","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","18-24 years","1.311","1984","1","18-24 years","3.11","6.4","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","19-25 years","1.312","1984","1","19-25 years","3.12","6.3","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","25-34 years","1.313","1984","1","25-34 years","3.13","5.3","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","35-44 years","1.314","1984","1","35-44 years","3.14","3.5","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","45-64 years","1.4","1984","1","45-64 years","3.2","3.4","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","45-54 years","1.41","1984","1","45-54 years","3.21","3.2","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","55-64 years","1.42","1984","1","55-64 years","3.22","3.6","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex","2","Male","2.1","1984","1","Under 65 years","4","5.4","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex","2","Female","2.2","1984","1","Under 65 years","4","8.1","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Male: Married","3.1","1984","1","14-64 years","2.2","1.9","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Male: Divorced, separated, widowed","3.2","1984","1","14-64 years","2.2","4.9","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Male: Never married","3.3","1984","1","14-64 years","2.2","4.8","0.3",
