"indicator","unit","unit_num","stub_name","stub_name_num","stub_label","stub_label_num","year","year_num","age","age_num","estimate","flag"
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Total","1","All persons","1","2005-2006","1","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Total","1","All persons","1","2007-2008","2","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Total","1","All persons","1","2008-2009","3","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Total","1","All persons","1","2009-2010","4","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Total","1","All persons","1","2010-2011","5","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Total","1","All persons","1","2011-2012","6","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Total","1","All persons","1","2012-2013","7","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Total","1","All persons","1","2013-2014","8","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Total","1","All persons","1","2014-2015","9","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Total","1","All persons","1","2017-2018","10","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Male","3.1","2005-2006","1","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Male","3.1","2007-2008","2","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Male","3.1","2008-2009","3","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Male","3.1","2009-2010","4","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Male","3.1","2010-2011","5","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Male","3.1","2011-2012","6","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Male","3.1","2012-2013","7","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Male","3.1","2013-2014","8","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Male","3.1","2014-2015","9","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Male","3.1","2017-2018","10","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Female","3.2","2005-2006","1","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Female","3.2","2007-2008","2","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Female","3.2","2008-2009","3","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Female","3.2","2009-2010","4","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Female","3.2","2010-2011","5","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Female","3.2","2011-2012","6","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Female","3.2","2012-2013","7","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Female","3.2","2013-2014","8","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Female","3.2","2014-2015","9","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, age-adjusted","1","Sex","3","Female","3.2","2017-2018","10","All ages","5",,"..."
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Total","1","All persons","1","2005-2006","1","All ages","5","31706",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Total","1","All persons","1","2007-2008","2","All ages","5","28699",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Total","1","All persons","1","2008-2009","3","All ages","5","31328",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Total","1","All persons","1","2009-2010","4","All ages","5","32204",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Total","1","All persons","1","2010-2011","5","All ages","5","33007",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Total","1","All persons","1","2011-2012","6","All ages","5","31546",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Total","1","All persons","1","2012-2013","7","All ages","5","30402",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Total","1","All persons","1","2013-2014","8","All ages","5","32595",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Total","1","All persons","1","2014-2015","9","All ages","5","33649",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Total","1","All persons","1","2017-2018","10","All ages","5","33025",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: All mechanisms","2.1","2005-2006","1","All ages","5","25658",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: All mechanisms","2.1","2007-2008","2","All ages","5","23670",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: All mechanisms","2.1","2008-2009","3","All ages","5","25725",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: All mechanisms","2.1","2009-2010","4","All ages","5","26523",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: All mechanisms","2.1","2010-2011","5","All ages","5","27275",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: All mechanisms","2.1","2011-2012","6","All ages","5","25955",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: All mechanisms","2.1","2012-2013","7","All ages","5","25078",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: All mechanisms","2.1","2013-2014","8","All ages","5","27422",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: All mechanisms","2.1","2014-2015","9","All ages","5","28849",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: All mechanisms","2.1","2017-2018","10","All ages","5","27226",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: Falls","2.11","2005-2006","1","All ages","5","8100",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: Falls","2.11","2007-2008","2","All ages","5","8144",
"Initial injury-related visits to hospital emergency departments","Initial injury-related visits in thousands, crude","2","Intent and mechanism of injury","2","Unintentional injuries: Falls","2.11","2008-2009","3","All ages","5","8900",
