"service_category","job_category","department","job_classification","ethnicity","age_group","sex"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","White","50 - 59","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Two or More Races","50 - 59","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Asian","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Asian","50 - 59","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","50 - 59","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Black/African American","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Asian","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","Over 60","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Asian","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","American Indian/Alaska Native","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","30 - 39","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","30 - 39","Female"
"Safety Services","Officials and Administrators","DISTRICT ATTORNEY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Asian","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","30 - 39","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","Small Job Classification - Omitted for Privacy","Not Specified","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","30 - 39","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","30 - 39","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Asian","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","Small Job Classification - Omitted for Privacy","Not Specified","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Male"
