"gender","ethnicity","eeo4_description","eeop_job_group_description","department","eeo_function","age","employment_status"
"Female","Not Applicable","Paraprofessionals","Technicians","AGRICULTURE & ENVIRON MGMT","Natural Resources","20 - 29","Unclassified Extra Help"
"Female","Not Applicable","Paraprofessionals","Technicians","AGRICULTURE & ENVIRON MGMT","Natural Resources","20 - 29","Unclassified Extra Help"
"Male","Not Applicable","Administrative Support","Administrative Support","COUNTY LIBRARY","Other","20 - 29","Unclassified Extra Help"
"Female","Two or More Races","Administrative Support","Administrative Support","COUNTY LIBRARY","Other","20 - 29","Unclassified Extra Help"
"Female","Not Applicable","Administrative Support","Administrative Support","COUNTY LIBRARY","Other","20 - 29","Unclassified Extra Help"
"Female","White","Administrative Support","Administrative Support","COUNTY LIBRARY","Other","20 - 29","Unclassified Extra Help"
"Male","Two or More Races","Administrative Support","Administrative Support","PARKS & RECREATION","Natural Resources","20 - 29","Unclassified Extra Help"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","PARKS & RECREATION","Natural Resources","20 - 29","Unclassified Extra Help"
"Male","White","Service Maintenance","Service Maintenance","PARKS & RECREATION","Natural Resources","20 - 29","Unclassified Extra Help"
"Female","White","Paraprofessionals","Technicians","PARKS & RECREATION","Natural Resources","20 - 29","Unclassified Extra Help"
"Male","Asian","Administrative Support","Administrative Support","COUNTY CLERK-RECORDER","Other","20 - 29","Unclassified Extra Help"
"Female","Native Hawaiian/Oth Pac Island","Administrative Support","Administrative Support","DEPARTMENT OF CORRECTION","Corrections","20 - 29","Classified Probationary"
"Male","Hispanic/Latino","Service Maintenance","Service Maintenance","FACILITIES AND FLEET","Financial Administration","20 - 29","Classified  Permanent"
"Male","Hispanic/Latino","Service Maintenance","Service Maintenance","FACILITIES AND FLEET","Financial Administration","20 - 29","Classified Probationary"
"Male","Not Applicable","Administrative Support","Administrative Support","REGISTRAR OF VOTERS","Other","20 - 29","Unclassified Extra Help"
"Female","Not Applicable","Administrative Support","Administrative Support","REGISTRAR OF VOTERS","Other","20 - 29","Unclassified Extra Help"
"Male","Not Applicable","Administrative Support","Administrative Support","REGISTRAR OF VOTERS","Other","20 - 29","Unclassified Extra Help"
"Female","Not Applicable","Administrative Support","Administrative Support","REGISTRAR OF VOTERS","Other","20 - 29","Unclassified Extra Help"
"Male","Not Applicable","Administrative Support","Administrative Support","REGISTRAR OF VOTERS","Other","20 - 29","Unclassified Extra Help"
"Male","Not Applicable","Paraprofessionals","Technicians","REGISTRAR OF VOTERS","Other","20 - 29","Unclassified Extra Help"
"Female","White","Paraprofessionals","Technicians","SHERIFF SERVICES","Police Protection","20 - 29","Unclassified Extra Help"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER","Hospitals & Sanatoriums","20 - 29","Unclassified Extra Help"
"Female","Not Applicable","Paraprofessionals","Technicians","VECTOR CONTROL DISTRICT","Natural Resources","20 - 29","Unclassified Extra Help"
"Female","Not Applicable","Service Maintenance","Service Maintenance","AGRICULTURE & ENVIRON MGMT","Natural Resources","20 - 29","Classified Probationary"
"Male","Not Applicable","Paraprofessionals","Administrative Support","AGRICULTURE & ENVIRON MGMT","Natural Resources","20 - 29","Unclassified Extra Help"
"Female","Asian","Paraprofessionals","Technicians","CONTROLLER TREASURER","Financial Administration","20 - 29","Unclassified Extra Help"
"Female","Not Applicable","Administrative Support","Administrative Support","COUNTY LIBRARY","Other","20 - 29","Unclassified Extra Help"
"Male","Not Applicable","Administrative Support","Administrative Support","COUNTY LIBRARY","Other","20 - 29","Classified Probationary"
"Female","Two or More Races","Paraprofessionals","Administrative Support","COUNTY LIBRARY","Other","20 - 29","Classified Probationary"
"Male","White","Administrative Support","Administrative Support","PARKS & RECREATION","Natural Resources","20 - 29","Unclassified Extra Help"
