"last_name","first_name","middle_name","office","date_of_oath","page_no","notes"
"Richardson","John","T.","Recorder","10 Apr 1850","1",
"Allen","Charles","E.","Assessor","13 Apr 1850","3","index erroneously lists C.A. Allen as appearing on page 3  of Oaths of Office"
"Yontz","John",,"County Sherriff","9 Apr 1850","5",
"Campbell","Wm.",,"Coroner","? Apr 1850","67",
"Moore","John","H","County Attorney","10 Apr 1850","78",
"Murphy","John","M","Count Treasurer","22 Apr 1850","910",
"Higgins","Wm.",,"Notary Public","5 Aug 1850","1011",
"Redman","Joshua","W","Judge","23 Apr 1850","1112","not listed in separate index for pps 11,12;\""Joshua Redman\"" not indexed"
"Sanford","Frederick","H","District Attorney","3 May 1850","1213","separate index shows for page 13 only"
"Divine","Davis",,"Justice of the Peace","6 May 1850","1415",
"Smith","H","C","Justice of the Peace","6 Apr 1850","1516","index lists \""Henry C Smith\"" appearing on pps 15,16"
"Johnson","Lampson","W","Constable of San Jose Twp","6 May 1850","161718",
"Thompson","William","B","Deputy Co. Sherriff","6 May 1850","18","not listed in separate index"
"Daniels","William",,"Justice of the Peace","6 May 1850","1920",
"Powel","Henry","MT","Justice of the Peace","7 May 1850","2021",
"Clayton","Chas",,"Justice of the Peace","7 May 1850","2122",
"Davis","Caswell",,"Justice of the Peace","8 May 1850","2223",
"Bawden","William","G","Justice of the Peace","8 May 1850","2324","Index shows name as Bowden, WG, pg 24 Bowden, WG; pg. 24"
"Haun","William",,"Constable","8 May 1850","2425",
"Redman","R","A","Notary Public","10 May 1850","26",
"Dabney","G","A","Justice of the Peace","13 May 1850","2728",
"White","Thomas","W","Commissioner","May 1850 ?","28","\""May Term 1850\ \""on file 10 Dec 1850\"""
"Sanford","Frederick","H","Public Administrator","15 May 1850","2829",
"Martinez","Vitorino",,"Constable","? May 1850","3132","Index shows given name as Victorino; pg 31"
"Gilroy","John",,"Justice of the Peace","13 May 1850","3233",
"Ortego","Jose","Q","Justice of the Peace","13 May 1850","3334","Surname might be Ortega"
"Burton","William","T","Constable Redw'd Twp","5 Jun 1850","3435",
"Fitzgerald","Aron",,"Dep. Sheriff","19 Jun 1850","35","not listed in separate index ; apparently also known as Aaron Fitzgerald, item 35"
"Cottinger","I","W","Commissioner","3 Jul 1850","36","not listed in separate index"
"Lewis","William","I","County Surveyor","5 July 1850","3637",
"McLellan","James","C","Dep Sheriff","18 Jul 1850","3738","not listed in separate index"
"Thompson","W","B","Revoked-Dep Sheriff","16 July 1850","38","Appointment revoked and annulled by Sheriff John Yontz"
