"order","date","subject_s","color","negatives","prints","slides","department","remarks"
"10","N/A","Portrait of Hayden W. Pitman, Assessor","B&W","3 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the Assessor","None"
"10380","N/A","Portrait of Robert Nino, Juvenile Probation Department","B&W","0 (Size: N/A)","2 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"10740","N/A","Mediterranean fruit fly & Agriculture","Color","6 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Commissioner","None"
"11422","N/A","Portrait of Mr. Kasban, Mayor of Los Altos","Color","17 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"12239","N/A","Portrait of Mr. Amyx, Department of Parks and Recreation","B&W","0 (Size: N/A)","2 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"12696","N/A","Historical house north of airport proper & South County Airport","Color","54 (Size: 35mm; 120)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"13084","N/A","Los Altos Library","B&W","0 (Size: N/A)","2 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"13826","N/A","Jail in Albuquerque, New Mexico","Color","72 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","General Services Agency - Architectural Division","None"
"14097","N/A","South County Medical Clinic","B&W","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","General Services Agency - Architectural Division","None"
"14180","N/A","Ruins of Townsend House","B&W","0 (Size: N/A)","3 (Size: 120 contact prints)","0 (Size: N/A)","N/A","Contact prints stored in Box 1"
"14924","N/A","Flooding at Penitencia Creek County Park","Color","0 (Size: N/A)","1 (Size: 35mm contact prints)","0 (Size: N/A)","N/A","Contact prints stored in Box 1"
"15142","N/A","Portraits of June Baxter and Dr. Turner, Health Department","B&W","0 (Size: N/A)","3 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"15379","N/A","Portrait of Supervisor Martin J. Spangler","B&W","0 (Size: N/A)","4 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"1569C","N/A","Groundbreaking of County Jail (circa 1957)","B&W","14 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","Damaged negative - buckling emulsion"
"1589","N/A","Interior of old County Jail - beds, toliets","B&W","3 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"1774","N/A","Portrait of Supervisor Thomas Legan; Resolution of Commendation","B&W; color","0 (Size: N/A)","8 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"1985","N/A","Portraits of thirteen women recognized for Women's Group [Commission on the Status of Women]","Color","104 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"20900","N/A","Portrait of Judge Arvin O. Robb & Municipal Courts","B&W","0 (Size: N/A)","2 (Size: 4x5; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"20903","N/A","Portrait of Supervisor Charles A. Quinn; Posing with unidentified man and woman","B&W","0 (Size: N/A)","5 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"2342","N/A","The safe at Valley Medical Center & Hospitals","Color","9 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","General Services Agency - Building Operations / Services","None"
"25563","N/A","Portrait of Supervisor Ralph Mehrkens","B&W; color","0 (Size: N/A)","16 (Size: 4x5; 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"2852","N/A","Portrait of Floyd Sorenson","B&W","0 (Size: N/A)","4 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"28582","N/A","Portrait of Mr. Crandall, assistant to Mr. Amyx in Department of Parks and Recreation","B&W","0 (Size: N/A)","2 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"28988","N/A","Portrait of Supervisor Dominic L. Cortese","B&W; color","0 (Size: N/A)","4 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1; Includes contact prints"
"31322","N/A","Publicity photographs of girl in various poses around house","B&W","43 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"3255","N/A","Various equipment and control panels","B&W","0 (Size: N/A)","0 (Size: N/A)","40 (Size: 35mm)","Sheriff's Department","Slides are not mounted"
"33887","N/A","Aerial photographs of County Government Center, Stanford Industrial Park, IBM Plant, Moffett Field and Lockheed (circa 1960s)","B&W","43 (Size: 4x5)","43 (Size: 4x5)","0 (Size: N/A)","Department of Public Works","None"
"36","N/A","Portrait of Syl C. Tully, Recorder (circa 1956-1961)","B&W","2 (Size: 4x5)","5 (Size: 4x5)","0 (Size: N/A)","Recorder's Office","None"
"42","N/A","Portrait of Ed J. Ferguson, Treasurer (circa 1946-1951); also, putting money into safe","B&W","3 (Size: 35mm; 4x5)","7 (Size: 2.5x3.5; 4x5)","0 (Size: N/A)","Treasurer","Includes 2 contact prints"
"43","N/A","Portrait of Mr. Davis (retired 12/1963)","B&W","3 (Size: 35mm; 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Veterans Services","None"
"4511","N/A","Portrait of Dean Chamberlain, Mayor of Campbell","Color","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"4512","N/A","Portrait of Scott Carey, Mayor of Palo Alto","Color","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"4523","N/A","Portrait of Wayne Wengert, Mayor of Morgan Hill","Color","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"49911","N/A","Court room with judge, bailiff, and others","B&W","0 (Size: N/A)","1 (Size: 4x5)","0 (Size: N/A)","Office of the County Executive","None"
"55981","N/A","Various computer terminals, printers, and equipment (circa 1970s)","Color","0 (Size: N/A)","2 (Size: 120 contact prints)","0 (Size: N/A)","Communications Department","Contact prints stored in Box 1"
"56989","N/A","Portrait of Supervisor Rodney J. Diridon","B&W; color","0 (Size: N/A)","24 (Size: 4x5; 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1; Includes contact prints"
"6015","N/A","Portrait of Dr. Myron Schussman","B&W","0 (Size: N/A)","2 (Size: 4x5)","0 (Size: N/A)","School Department","Prints stored in Box 1"
"60356","N/A","Parking lot at 1555 Berger Drive, San Jose","Color","0 (Size: N/A)","0 (Size: N/A)","12 (Size: 35mm)","N/A","Slides stored in Box 3"
"63708","N/A","Communications antenna in rural part of county","Color","0 (Size: N/A)","1 (Size: 120 contact prints)","0 (Size: N/A)","N/A","Contact prints stored in Box 1"
"65801","N/A","Portrait of Supervisor Geraldine F. Steinberg","Color","0 (Size: N/A)","4 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1; Includes contact prints"
"7747","N/A","Portrait of Supervisor Dan A. McCorquodale","B&W; color","0 (Size: N/A)","6 (Size: 5x5; 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1; Includes contact prints"
"G0009","N/A","Swearing in of Judge John F. Herlihy & Municipal Courts","B&W","2 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Municipal Court","None"
"G0018","N/A","Muriel Wright Residential Center Girls Ranch","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","Copy of photograph"
"G0019","N/A","Portrait of Judge Gerald S. Chargin & Superior Courts","B&W","3 (Size: 35mm)","5 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0021","N/A","Portrait of Judge Napoleon J. Menard & Superior Courts","B&W","6 (Size: 120; 4x5)","2 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"G0023","N/A","Portrait of Judge John D. Foley & Superior Courts","B&W","3 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0025","N/A","Judge William W. Jacka at desk & Superior Courts","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0030","N/A","Yancey Williams [Jury Commissioner] & Courts","B&W","4 (Size: 4x5)","3 (Size: 3x4)","0 (Size: N/A)","Jury Commissioner","None"
"G0031","N/A","Judge Harold Holden being presented a flag & Courts","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","Negative damaged - buckling emulsion"
"G0038A","N/A","\""Leave less behind for our future\"" presentation to school children","B&W","19 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Planning Department","None"
"G0038B","N/A","\""Leave less behind for our future\"" presentation to school children","B&W","30 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Planning Department","None"
"G0039","N/A","County Clerk and Registrar of Voters signs on doors","Color","0 (Size: N/A)","0 (Size: N/A)","2 (Size: 35mm)","N/A","None"
"G0040","N/A","United States and California State flags at Administration Building","Color","0 (Size: N/A)","0 (Size: N/A)","4 (Size: 35mm)","N/A","Slides are not mounted"
"G0041","N/A","Various county buildings","Color","0 (Size: N/A)","0 (Size: N/A)","40 (Size: 35mm)","N/A","Slides are not mounted"
"G0042","N/A","Various county buildings","Color","0 (Size: N/A)","0 (Size: N/A)","33 (Size: 35mm)","N/A","Slides are not mounted"
"G0045","N/A","Airplanes & Airports","Color","0 (Size: N/A)","0 (Size: N/A)","12 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0047","N/A","Old Juvenile Probation building on St. James and Market","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","Copy of photograph"
"G0056","N/A","Welfare Department and area around 70 W. Hedding Street, San Jose & County Government Center","B&W","7 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0057","N/A","Alviso South Bay Yacht Club - building at Hope and Taylor Street and boats at dock","B&W","13 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0074","N/A","Aerial photographs of Anderson Dam and Reservoir","B&W","2 (Size: 4x5)","0 (Size: N/A)","2 (Size: 4x5)","N/A","None"
"G0076","N/A","Man and woman acting out CPR scenario","Color","0 (Size: N/A)","0 (Size: N/A)","18 (Size: 35mm)","Health Department","Slides stored in Box 3"
"G0077","N/A","Dental hygiene at Lincoln School & Elementary schools","Color","0 (Size: N/A)","0 (Size: N/A)","40 (Size: 35mm)","Health Department","Slides are not mounted"
"G0079","N/A","Exterior of Milpitas Service Center and Fair Oaks Health Center in Sunnyvale & County buildings","Color","0 (Size: N/A)","0 (Size: N/A)","14 (Size: 35mm)","N/A","Slides are not mounted"
"G0096","N/A","Walter Gray, Building Inspector - Environmental Management Agency","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0097","N/A","Portrait of Mr. Wine, Director of Civil Defense","B&W","3 (Size: 120)","3 (Size: 2x3)","0 (Size: N/A)","Civil Defense Office","None"
"G0098","N/A","Portrait of Leonard Bushnell, Surveyor","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
