"first_name","last_name","title","jurisdiction_name","state","zip_code"
"Al","Britt","Commissioner","Coffee County","Alabama","363512"
"Josh","Carnley","Commissioner","Coffee County","Alabama","363512"
"Kim","Ellis","Commissioner","Coffee County","Alabama","363512"
"Jimmy","Jones","Commissioner","Coffee County","Alabama","363512"
"Donis","Lee","Commissioner","Coffee County","Alabama","363512"
"Dean","Smith","Commissioner","Coffee County","Alabama","363512"
"John","Rodgers Morgan III","Administrator","Coffee County","Alabama","363512"
"Allen","Turner","Commissioner","Greene County","Alabama","35642"
"Terry","Petree","Mayor","Hodges","Alabama","35770"
"Wade","Troxell","Mayor","Fort Collins","Colorado","80852"
"Rob","Smith","Mayor","Olathe","Colorado","81452"
"Michael","Freda","First Selectman","North Haven","Connecticut","00473"
"Muriel","Bowser","Mayor","Washington","District of Columbia","02004"
"Dave","McGraw","Commissioner","Latah County","Idaho","84843"
"Stephen","Gawron","Mayor","Muskegon","Michigan","49943"
"Vincent","Mazzeo","Assemblyman","Atlantic County","New Jersey","8225"
"Jace","Gullic","Mayor","Shidler","Oklahoma","74662"
"David","Sanders","Mayor","Stratford","Oklahoma","74772"
"Ken","Smith","Mayor","Tonkawa","Oklahoma","73653"
"Jeff","Reed","Mayor","Selinsgrove","Pennsylvania","1780"
"Fred","Deaton","Judge","Crockett County","Texas","03800"
"Durwood","Koonsman","Commissioner","Meridian","Texas","76675"
"R.A. ""Dick""","Nugent","Mayor","Nederland","Texas","77637"
"Steve","Lewis","Mayor","Ellenboro","West Virginia","26364"
"Carrie","Fulghum","Mayor","Gainesville","Alabama","35463"
"Jack R.","Smith","Supervisor","Yavapai County","Arizona","86305"
"Frankie","Kelley","Councilmember","Centre","Alabama","35960"
"Ken","Sockwell","Councilmember","Muscle Shoals","Alabama","35662"
"Jon","Thompson","Mayor","Coolidge","Arizona","85128"
"Wayne","Willis","Mayor","Weaver","Alabama","36277"
"Jane ","Kim","Supervisor","San Francisco County","California","94102"
"David","Bradley Jr.","Councilmember","Florence City","Alabama","35631"
"Cynthia","Jackson","Mayor","Grove Hill","Alabama","36451"
"Jennifer","Hendershot","City Clerk","Lexington","Alabama","35648"
"Gary","Richardson","Mayor","Midfield","Alabama","35228"
"Winston","Jackson","Councilmember ","Ozark","Alabama","36360"
"Brandon","Webster","Mayor","Gu-Win","Alabama","35563"
"Reginald","Bolding Jr.","State Representative","Legislative District 27","Arizona","85007"
"Jeff","Hogg","Councilmember ","Northport","Alabama","35476"
"Mark","Stodola","Mayor","Little Rock","Arkansas","72201"
"Henry","Grimsley","Commissioner","Henry County","Alabama","36310"
"Misty ","Garrett","City Clerk","Rogersville","Alabama","35652"
"George","Kelly","Mayor","Faunsdale","Alabama","36738"
"Pauline ","Russo Cutter","Mayor","San Leandro","California","94577"
"Durwood","Doswell","Councilmember","Kinsey","Alabama","36303"
"Joe","Fancher","Mayor","Wilton","Alabama","35187"
"Jo Ann","Bush","Mayor","Lake Village","Arkansas","71653"
"Mary","Bentley","State Representative","District 73","Arkansas","72834"
"David","Smyth","Administrator","Crenshaw County","Alabama","36049"
"Katheryne","Horace","Councilmember ","Daleville","Alabama","36322"
"Miranda","Simpson","City Clerk","Waterloo","Alabama","35677"
"Richard","Robb","Mayor","Bethel","Alaska","99559"
"Ray","McAllister","Mayor","Vincent","Alabama","35178"
"Tyrone","Moye","Commissioner","Clarke County","Alabama","36451"
"Tom","Tartt","Mayor","Livingston","Alabama","35470"
"Doug","Kuehne","Mayor","Lodi","California","95241"
"Marie","Black","Mayor","Ariton","Alabama","36311"
"Ivan","Encelewski","Executive Director","Ninilchik","Alaska","99639"
"David","Canaepa","Councilmember","Daly City","California","94015"
"Robert","Berry","Commissioner","Macon County","Alabama","36083"
"David","Money","Chair","Henry County","Alabama","36310"
"Mike","Rice","Fire Chief","Phil Campbell","Alabama","35581"
"William ""Ronnie""","Marks","Mayor","Athens","Alabama","35611"
"Jeff","Clark","Commissioner","Morgan County","Alabama","35603"
"Darrell","Sanders","Commissioner","Butler County","Alabama","36037"
"Kathy","Holley","Mayor","New Brockton","Alabama","36351"
"Ray","Marler","Mayor","Headland","Alabama","36345"
"Peggy","McGee","Councilmember","Lexington","Alabama","35648"
"Henry","Childs","Commissioner","Monroe County","Alabama","36460"
"Frankie J.","Humber","Councilmember","Twin","Alabama","35563"
"Billy","Luster","Commission Chair","Walker County","Alabama","35501"
"Shannon","Oliver","Sheriff","Franklin County","Alabama","35654"
