"first_name","last_name","title","jurisdiction","state","zip_code","location_1"
"Brendette","Brown-Green","Circuit Judge","10th Judicial Circuit","Alabama","35203","
,  35203
(33.518662, -86.809645)"
"David","Money","Chair","Abbeville","Alabama","36310","
,  36310
(31.606811, -85.221778)"
"Benton","Beasley","Commissioner","Abbeville","Alabama","36310","
,  36310
(31.606811, -85.221778)"
"Jay","Calhoun","Commissioner","Abbeville","Alabama","36310","
,  36310
(31.606811, -85.221778)"
"Henry","Grimsley","Commissioner","Abbeville","Alabama","36310","
,  36310
(31.606811, -85.221778)"
"Gregory","Reynolds","Commissioner","Abbeville","Alabama","36310","
,  36310
(31.606811, -85.221778)"
"John","Saunders","Commissioner","Abbeville","Alabama","36310","
,  36310
(31.606811, -85.221778)"
"Jim","Giganti","Mayor","Abbeville","Alabama","36310","
,  36310
(31.606811, -85.221778)"
"Cindy","Luker","City Clerk","Addison","Alabama","35540","
,  35540
(34.222179, -87.181976)"
"Tim","Cooper","Councilmember","Addison","Alabama","35540","
,  35540
(34.222179, -87.181976)"
"Mike","Long","Councilmember","Addison","Alabama","35540","
,  35540
(34.222179, -87.181976)"
"George","Palmer","Councilmember","Addison","Alabama","35540","
,  35540
(34.222179, -87.181976)"
"Randy","Powell","Councilmember","Addison","Alabama","35540","
,  35540
(34.222179, -87.181976)"
"Brandon","Womack","Councilmember","Addison","Alabama","35540","
,  35540
(34.222179, -87.181976)"
"Mark","Wilson","Fire Chief","Addison","Alabama","35540","
,  35540
(34.222179, -87.181976)"
"Marsha","Pigg","Mayor","Addison","Alabama","35540","
,  35540
(34.222179, -87.181976)"
"Donald","Baker","Police Chief","Addison","Alabama","35540","
,  35540
(34.222179, -87.181976)"
"Shelia","Kennedy","Mayor","Akron","Alabama","35441","
,  35441
(32.859198, -87.718689)"
"Rio","Maxwell","Tribal","Alabama ","Alabama","32118","
,  32118
(29.215541, -81.005331)"
"Marty","Handlon","Mayor","Alabaster","Alabama","35007","
,  35007
(33.223413, -86.808028)"
