Hospital Name,Hospital Location,Central Line Days,Observed Infections,Predicted Infections,2015 SIR,SIR 95% CI,SIR Interpretation (2006-08 US baseline),2013 HHS Targets,Percentile on 2014 National SIR Distribution,County,HPP Region,Location 1,SIR Icon,Benchmark Icon
 1. All Oregon,All Neonatal ICUs Combined*,7622,12,16.04,0.748,"0.405, 1.272",Fewer infections,Target Not Met,71-75%,,,,https://data.oregon.gov/views/4arj-uxbw/files/e0e40dd5-b42e-4307-9694-036e3de5e97b,
 1. All Oregon,Adult Neurosurgical ICUs,2831,2,7.08,0.283,"0.047, 0.934",Statistically fewer infections,SIR Target (<0.5) Met,41-45%,,,,https://data.oregon.gov/views/4arj-uxbw/files/1cffa2ed-2123-4f1b-b64b-aaae810a11ba,https://data.oregon.gov/views/4arj-uxbw/files/38f5ca21-e33e-488c-975e-4a0cc6b2a777
 1. All Oregon,Adult Cardiac ICUs,3996,4,7.99,0.501,"0.159, 1.207",Fewer infections,SIR Target (<0.5) Met,61-65%,,,,https://data.oregon.gov/views/4arj-uxbw/files/4015d519-9bba-4933-b7e6-284366fe9afa,https://data.oregon.gov/views/4arj-uxbw/files/07eebf1b-c770-4832-8887-a466dd21ed64
 1. All Oregon,Pediatric Medical Wards,4205,3,7.57,0.396,"0.101, 1.079",Fewer infections,SIR Target (<0.5) Met,46-50%,,,,https://data.oregon.gov/views/4arj-uxbw/files/f4d1500f-38be-4990-850f-5e70f6fdf224,https://data.oregon.gov/views/4arj-uxbw/files/26ce77be-cc23-47e6-bae5-64ec13073cf3
 1. All Oregon,Adult Medical/Surgical Wards,24347,17,29.22,0.582,"0.350, 0.913",Statistically fewer infections,Target Not Met,66-70%,,,,https://data.oregon.gov/views/4arj-uxbw/files/44b5e0fd-7383-41f6-9e73-d4c92c0f56be,
 1. All Oregon,Pediatric Medical/Surgical ICUs,4431,5,13.29,0.376,"0.138, 0.834",Statistically fewer infections,SIR Target (<0.5) Met,51-55%,,,,https://data.oregon.gov/views/4arj-uxbw/files/b4c19d36-b11f-4e7e-9b8f-26700befc155,https://data.oregon.gov/views/4arj-uxbw/files/66774521-f9b0-44d9-a51a-38a456fe8eb1
 1. All Oregon,Adult Surgical Wards,21909,16,30.67,0.522,"0.309, 0.829",Statistically fewer infections,Target Not Met,61-65%,,,,https://data.oregon.gov/views/4arj-uxbw/files/50689487-31dd-4fa3-91a0-03f740197c58,
 1. All Oregon,NICU Level II/III,6312,11,12.76,0.862,"0.453, 1.499",Fewer infections,Target Not Met,81-85%,,,,https://data.oregon.gov/views/4arj-uxbw/files/ce614609-c6a1-4b54-b9c2-937f03991de5,
 1. All Oregon,Pediatric Medical/Surgical Wards,5557,8,17.23,0.464,"0.216, 0.882",Statistically fewer infections,SIR Target (<0.5) Met,56-60%,,,,https://data.oregon.gov/views/4arj-uxbw/files/653e533d-86c9-4d09-bea9-b503e16d4129,https://data.oregon.gov/views/4arj-uxbw/files/b47d2d9b-2555-496e-93f1-2cfd8172f9c9
 1. All Oregon,Adult Medical/Surgical ICUs,45068,26,76.28,0.341,"0.227, 0.492",Statistically fewer infections,SIR Target (<0.5) Met,46-50%,,,,https://data.oregon.gov/views/4arj-uxbw/files/a2e1da10-7875-4022-a182-50db6c84f0b8,https://data.oregon.gov/views/4arj-uxbw/files/7e92188a-06c4-4bf9-9b61-6322e49e7530
 1. All Oregon,All Adult/Ped ICUs & M/S/MS Wards Combined*,161715,118,271.59,0.434,"0.361, 0.518",Statistically fewer infections,SIR Target (<0.5) Met,51-55%,,,,https://data.oregon.gov/views/4arj-uxbw/files/3732ece8-bc6f-4daf-a3eb-7951da203abc,https://data.oregon.gov/views/4arj-uxbw/files/56365940-1f34-49fd-aba4-7dc84bfe3b1e
 1. All Oregon,Adult Medical ICUs,4850,4,11.08,0.361,"0.115, 0.871",Statistically fewer infections,SIR Target (<0.5) Met,51-55%,,,,https://data.oregon.gov/views/4arj-uxbw/files/030d8ace-2ccd-41d4-bebe-ed67295f6a87,https://data.oregon.gov/views/4arj-uxbw/files/533350bb-07ad-4854-aeac-6e0b8eda3037
 1. All Oregon,Adult Surgical ICUs,6573,4,15.12,0.265,"0.084, 0.638",Statistically fewer infections,SIR Target (<0.5) Met,41-45%,,,,https://data.oregon.gov/views/4arj-uxbw/files/036068e8-dadf-46ac-acd1-623be1dba3f1,https://data.oregon.gov/views/4arj-uxbw/files/6a8dbfd6-69dd-4537-9d33-b8b1ce51b364
