"award_year","business_name","counties_impacted","award_amount","award_type","project_description"
"FY2016","Multiple - Trade & Logistics Initiative","Statewide","109850","Grants","Development of solutions to address immediate and longer term needs of Oregon's small- and medium-sized exporters/importers which have been impacted by the departure of trans-ocean container service at the Port of Portland."
"FY2016","Multiple - Trade & Logistics Initiative","Statewide","79800","Grants","Development of solutions to address immediate and longer term needs of Oregon's small- and medium-sized exporters/importers which have been impacted by the departure of trans-ocean container service at the Port of Portland."
"FY2016","Riddle Laminators, Inc.","Douglas","100000","Forgivable Loan","Establishment of a cross-laminated timber (CLT) production operation at the company's Riddle facility, which will be the first CLT manufacturing in Oregon to produce the large, solid-wood structural panels which are suitable for multi-story, non-residential structures and are produced from low-value, small-diameter, and insect- and disease-killed trees."
"FY2016","Deschutes Brewery, Inc.","Deschutes","70000","Forgivable Loan","Expansion of craft brewer's bottling and packaging capacity."
"FY2016","Jaguar Land Rover North America, LLC","Multnomah","200000","Forgivable Loan","Expansion of infotainment research and development operations."
"FY2016","Applied Development Economics, Inc.","Statewide","100000","Grants","Completion of a strategic plan in partnership with members of the industry to identify strategic initiatives to accelerate the growth of the industry (market expansion, supply chain needs, new product opportunities, transportation needs, other business climate issues)."
"FY2016","Hill Meat Company","Umatilla","100000","Forgivable Loan","Expansion of bacon, sausage and ham production line and improvements to smokehouse facility to increase both energy and production efficiencies."
"FY2016","Hill Meat Company","Umatilla","100000","Loan","Expansion of bacon, sausage and ham production line and improvements to smokehouse facility to increase both energy and production efficiencies."
"FY2016","Port of Tillamook Bay","Tillamook","500000","Forgivable Loan","Construction of improvements and purchase/installation of equipment required to establish the FAA-approved test range for unmanned aerial systems."
"FY2016","California Environmental Protection Agency","Statewide","100000","Grants","Implementation of action plan."
"FY2016","Multiple - Small Manufacturing Business Expan Prog","Statewide","25000","Forgivable Loan","Establishment of a loan program for small Oregon manufacturing businesses."
"FY2016","Confederated Tribes of the Warm Springs Reservation","Jefferson","500000","Forgivable Loan","Construction of improvements required to establish the FAA-approved test range for unmanned aerial systems."
"FY2016","Multiple- Small Manufacturing Business Expan Prog","Statewide","35200","Forgivable Loan","Establishment of a loan program for small Oregon manufacturing businesses."
"FY2016","GuideSpark, Inc.","Multnomah","400000","Forgivable Loan","Establishment of an Oregon facility for the company which provides employers with a digital system to communicate and engage employees, replacing stacks of pamphlets, employee handbooks and time-consuming seminars on complex topics such as benefits, compensation, health and financial wellness."
"FY2016","Rightline Equipment, Inc.","Columbia","400000","Forgivable Loan","Expansion of company which manufactures specialized forklift components and attachments for original equipment manufacturers and after-market distributors."
"FY2016","Kollective Technology, Inc.","Deschutes","50000","Forgivable Loan","Establishment of new facility in Oregon for company which, though a ""cloud"" platform, provides businesses with access to software and other enterprise IT resources, primarily for video and intraoffice communications."
"FY2016","Multiple - Rural Entrepreneurship Development Initiative","Statewide","260000","Grant","Provision of mentoring and other development assistance for entrepreneurs that are located in rural areas of Oregon."
"FY2016","GrovTec US, Inc.","Multnomah","150000","Forgivable Loan","Relocation of specialty metals manufacturer to accommodate an expansion."
"FY2016","Multiple - SBIR/STTR Grant Support Program","Statewide","423296","Grant","Establishment of a program for companies which have received federal SBIR/STTR Phase II grants in order to provide additional funding for the implementation of their research and development activities."
"FY2016","Portland Economic Investment Corporation","Multnomah","250000","Grant","Capitalization of an investment fund to provide people of color and women who reside in Portland with startup capital."
