Facility Name,Type,Contact Person,Contact Phone,Waterbody,Rivermile,Location,Fee,Hours,Operates,Coordinates,icon,2010 House Districts,2010 Senate Districts,Counties
City Dock,pump/ dump,Operations Manager,541-269-8918,Coos Bay,0,On transient float,0.00,24 hours,year round,"(43.367348, -124.21182)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,9,5,2320
Detroit Lake Marina,pump/ dump,Owner,503-854-3423,Detroit Lake,0,End of first set of boarding floats,0.00,24 hours,year round (weather permitting),"(44.738664, -122.151993)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,17,9,2409
Kane’s Marina,pump/ dump,Owner,503-854-3362,Detroit Lake,0,End of staging float,0.00,24 hours,seasonal,"(44.73561, -122.157336)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,17,9,2409
Depoe Bay Fuel Float,pump/ dump,City Administrator,541-765-3005,Depoe Bay,0,On fuel float,0.00,24 hours,year round,"(44.808336, -124.06002)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,10,5,2372
Jantzen Bay Marina East,pump/ dump,Marina Manager,503-283-4942,Columbia River,106.5,On fuel float,0.00,24 hours,year round,"(45.607116, -122.678603)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,44,22,2410
McCuddy’s Marine Drive Marina,pump/ dump,Owner,503-289-7879,Columbia River,108.5,On transient float,0.00,24 hours,year round,"(45.601, -122.634058)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,44,22,2410
McNary Yacht Club,pump/ dump,Commodore,541-567-5603,Columbia River,298.5,On transient float,0.00,24 hours,year round,"(45.920151, -119.164514)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,57,29,2413
Foster Bar,dump only,Park Manager,541-247-3600,Rogue River,0,Backside of restroom,1.00,24 hours,year round,"(42.633143, -124.049964)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,1,1,2321
Hayden Bay Moorage West Dock,pump/ dump,Marina Manager,503-283-2444,Columbia River,107,On West Dock,0.00,24 hours,year round,"(45.608441, -122.669218)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,44,22,2410
Heritage Landing State Park,dump only,Parks Manager,541-739-2322,Deschutes River,0.25,Behind restroom,0.00,24 hours,year round,"(45.632374, -120.913527)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,57,29,2411
Embarcadero Marina,pump/ dump,Harbormaster,541-265-8521,Yaquina Bay,0,On fuel float,0.00,24 hours,year round,"(44.629517, -124.04207)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,10,5,2372
Donaldson Marina,pump/ dump,Owner,503-288-6169,Columbia River,108.7,On fuel float,0.00,24 hours,year round,"(45.602651, -122.627874)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,44,22,2410
Pelican Marina,pump/ dump,Owner,541-882-5834,Klamath Lake,0,End of marina floats,0.00,24 hours,year round (weather permitting),"(42.239081, -121.80958)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,56,28,2369
Hayden Bay Moorage “F” Dock,pump/ dump,Marina Manager,503-283-2444,Columbia River,107,East on Row F,0.00,24 hours,year round,"(45.608441, -122.669218)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,44,22,2410
Tomahawk Bay Marina East Dock,pump/ dump,Marina Manager,503-283-2444,Columbia River,107.7,At the end of East Dock,0.00,24 hours,year round,"(45.606683, -122.656329)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,44,22,2410
Tomahawk Bay Marina West Dock,pump/ dump,Marina Manager,503-283-2444,Columbia River,107.7,At the end of West Dock,0.00,24 hours,year round,"(45.606683, -122.656329)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,44,22,2410
Jasper Point State Park,dump only,Park Manager,541-416-0645,Prineville Reservoir,0,Next to restroom,0.00,24 hours,year round (weather permitting),"(44.135428, -120.694122)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,55,28,719
West Marina - Maple Street Transient Tie-up,pump/ dump,Port Manager,541-997-3426,Siuslaw River,4.7,End of transient float,0.00,24 hours,seasonal,"(43.966058, -124.105637)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,9,5,2371
Riverplace Moorage,pump/ dump,Harbormaster,503-241-8283,Willamette River,13.2,Moorage floats,0.00,24 hours,year round,"(45.510068, -122.673)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,36,18,2410
Cove Palisades Marina (Crooked River Arm),pump/ dump,Owner,541-546-3521,Lake Billy Chinook,0,On land at marina,0.00,24 hours,seasonal,"(44.561331, -121.266272)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,59,30,721
Richardson Park Marina,pump/ dump,Parks Manager,541-682-2000,Fern Ridge Reservoir,0,Marina transient float,0.00,24 hours,seasonal,"(44.118438, -123.315028)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,8,4,2371
Bandon Sport Basin,pump/ dump,Port Director,541-347-3206,Coquille River,0.8,On fuel float,0.00,24 hours,year round,"(43.120397, -124.412384)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,1,1,2320
Port of Gold Beach,pump/ dump,Port Manager,503-247-6269,Rogue River,0.3,On fuel float in marina,0.00,24 hours,year round,"(42.421756, -124.418847)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,1,1,2321
Thistle Creek Public Boat Launch,dump only,Parks Director,541-924-6916,Green Peter Reservoir,0,In parking lot next to restroom,0.00,24 hours,seasonal,"(44.481532, -122.517616)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,17,9,2407
Arlington Marina,pump/ dump,Maintenance,541-454-2868,Columbia River,243,Middle of transient float,0.00,24 hours,year round,"(45.722353, -120.206132)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,57,29,2364
Babeckos Marina,pump/ dump,Owner,503-288-8381,Columbia River,108.3,On boarding float,0.00,24 hours,year round,"(45.602833, -122.630767)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,44,22,2410
Brookings Commercial Basin,pump/ dump,Harbormaster,541-469-2218,Chetco River,0.4,On fuel float,0.00,24 hours,year round,"(42.047746, -124.268155)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,1,1,2321
