"date","beneficiary","foreclosures_previous_year","mailing_address","city","state","zip","contact","title"
"2021-06-09T00:00:00.000","Alaska USA Federal Credit Union","0","PO Box 196200","Anchorage","AK","99519","Wayne Bailey","Chief Experience Officer"
"2021-11-24T00:00:00.000","American Financial Network, Inc.","1","10 Pointe Drive, Suite 330","Brea","CA","92821","Andrew Kalyviaria","Chief Compliance Officer"
"2021-06-07T00:00:00.000","American Internet Mortgage, Inc.","1",,,"CA",,"Lauren Hickey","Complaince Officer"
"2021-07-12T00:00:00.000","American Neighborhood Mortgage Acceptable Company","0",,,"NJ",,"Jeffrey Berglda","General Counsel"
"2021-09-13T00:00:00.000","Anchor Loans, LP","1","One Baxter Way, Suite 220","Thousand Oaks","CA","91362","Anthony Martinez","Authorized Signer"
"2021-06-16T00:00:00.000","Arc Home LLC","1","4000 Midlantic Dr, Suite 102","Mt. Laurel","NJ","8054","Massimo Monaco","CFO"
"2021-06-21T00:00:00.000","Avista Corp Credit Union","0","PO Box 3727","Spokane","WA","99220","Michael Grabicki","CEO Manager"
"2021-06-22T00:00:00.000","Bank of the Pacific","0","203 SE Park Plaza Drive, Suite 120","Vancouver","WA","98684","Wayne Kepfer","Senior Vice President"
"2021-06-03T00:00:00.000","Bank of the West","4",,,"OR",,"Doris Lawson","Vice President"
"2021-06-02T00:00:00.000","Bank of the West","4",,,"NE",,"Doris Lawson","Vice President"
"2021-06-24T00:00:00.000","B&B Capital, LLC","1","1055 Parsippany Blvd, Suite 200","Parsippany","NJ","7054","Sonia LaRiccia","Individual"
"2021-06-24T00:00:00.000","Beneficial State Bank","1","P O Box 470","Salem","OR","97308","Mark Yde","Vice President"
"2021-06-21T00:00:00.000","Castparts Employees Federal Credit Union","0","8120 SE Luther Road","Portland","OR","97206","Douglas Holtry","Director of Operations"
"2021-06-23T00:00:00.000","Cherry Creek Mortgage LLC","0","7600 E Orchard Road, Suite 250N","Greenwood Village","CO","80111","John Carson","SVP, Chief Legal Counsel"
"2021-06-21T00:00:00.000","Chickasaw Community Bank","0","909 S. Meridian Avenue","Oklahoma City","OK","73108","Kyle Brown","Servicing Manager"
"2021-06-10T00:00:00.000","Ciras, Inc.","0","693 Chemeketa Street NE","Salem","OR","97301","Thomas Jenkins","President"
"2021-06-07T00:00:00.000","Citizens Bank, Oregon State Chartered Bank","0","PO Box 30","Corvallis","OR","97330","Kate Salyers","Executive Vice President"
"2021-06-21T00:00:00.000","Clackamas Federal Credit Union","0","PO Box 2020","Oregon City","OR","97048","Aaron Goff","President/Chief Executive Officer"
"2021-07-01T00:00:00.000","CMG Mortgage, Inc. dba CMG Financial","5",,,"CA",,"Peter Gilbert","Chief Credit & Risk Officer"
"2021-07-13T00:00:00.000","Columbia Gorge Habitat for Humanity, Inc.","0","693 Chemeketa Street NE","Salem","OR","97301","Chad Krause","Executive Director"
"2021-06-22T00:00:00.000","Columbia State Bank","16","PO Box 470","Salem","OR","97308","Cecilia Kakela","Vice President"
"2021-06-04T00:00:00.000","Consolidated Federal Credit Union","0","1033 NE 6th Avenue","Portland","OR","97232","Jeff Mosser","VP of Consumer Lending"
"2021-06-08T00:00:00.000","CountryPlace Mortgage, Ltd.","0","15301 Spectrum Drive","Addison","TX","75001","Casper R. Koble","Vice President"
"2021-07-22T00:00:00.000","Cross Country Mortgae, LLC","0","6850 Miller Road","Brecksville","OH","44141","Alex Ragon","Chief Legal Councel"
"2021-06-30T00:00:00.000","Dennis E. Robinson & Catherine J. Robinson","0",,,,,"Dennis E. Robinson","Individual"
"2021-07-06T00:00:00.000","DHI Mortgage Company, LTD, Limited Partnership","0","10700 Pecan Park Blvd, Suite 450","Austin","TX","78750","Jennifer S. Branam","Assistant Secretary"
"2021-06-18T00:00:00.000","DJC Debt Consolidation LLC","0","PO Box 3136","Salem","OR","97302","Dale Coberly","Member, Manager"
"2021-06-04T00:00:00.000","Dollar Bank, Federal Savings Bank","0","300 W Tuscrarwas Street","Canton","OH","44702","Joan D. Ickes","Senior Vice President"
"2021-11-18T00:00:00.000","Finance of America Reverse LLC","10","909 Lake Carolyn Parkway, Suite 1550","Irving","TX","75039","Keith Hale","VP Timeline Management"
"2021-06-24T00:00:00.000","First American National, LLC","1","1055 Parsippany Blvd, Suite 200","Parsippany","NJ","7054","Sonia LaRiccia","Individual"
"2021-06-24T00:00:00.000","First American Trust, LLC","1","1055 Parsippany Blvd, Suite 200","Parsippany","NJ","7054","Sonia LaRiccia","Individual"
"2021-06-30T00:00:00.000","First Colony Mortgage Corporation","0",,,"UT",,"Rodney W. Rivers","Senior Vice President"
"2021-06-08T00:00:00.000","First Federal Savings & Loan of McMinnville","0","PO Box 239","McMinnville","OR","97128","Michael Brent Murray","Sr. Vice President"
"2021-11-09T00:00:00.000","First Interstate Bank","0",,,,,"Tamara Kraft","Assistant Vice President"
"2021-06-25T00:00:00.000","First Technology Federal Credit Union","28","5100 NE Dawson Creek Drive","Hillsboro","OR","97124","Troy VanRider","VP Special Assets Manager"
"2021-07-08T00:00:00.000","Flagstar Bank","7","5151 Corporate Drive","Troy","MI","48098","Bella Karson","Assistant Vice President"
"2021-07-06T00:00:00.000","Forrit Credit Union","0",,,"OR",,"Justin Olson","President"
"2021-07-20T00:00:00.000","Galen G. Hayes, Trustee","0","PO Box 430","Vale","OR","97918","Galen G. Hayes","Individual"
"2021-06-18T00:00:00.000","Gateway Credit Union","0","PO Box 7245","Springfield","OR","97475","Marcos Sulistio","President"
"2021-06-09T00:00:00.000","George Smith","0",,,"OR",,"George Smith","Individual"
"2021-06-09T00:00:00.000","Habitat for Humanity of the Mid-Willamette Valley","2","693 Chemeketa St. NE","Salem","OR","97301","Jerry Ambris","Executive Director"
