"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Josephine","Siskiyou Village","310 W Lister St","Cave Junction","Grand Management Services, Inc.","541-572-3611","20",,,,"20",,
"Josephine","Valley Village","510 W Shumacher St","Cave Junction","Cascade Management Inc.","541-592-4916","32",,,"24","8",,
"Josephine","Apple Rogue Apts","929 SE 8th St","Grants Pass","Cascade Management Inc.","541-476-7714","16",,,"16",,,
"Josephine","Blackberry Knoll Apts","2149 NW North Hill Dr","Grants Pass","Options for Southern Oregon","541-471-6129","12",,"11","1",,,
"Josephine","Carnahan Court","1644 Carnahan Dr","Grants Pass","Options for Southern Oregon","541-476-2373","10",,,"10",,,
"Josephine","The Cedars","1935 SW Hungry Hill Dr","Grants Pass","Options for Southern Oregon","541-476-2373","11",,,"11",,,
"Josephine","Champion Park Apts","1656 Kellenbeck Ave","Grants Pass","Kellenbeck Property Management","541-474-2840","36",,,,"24","12",
"Josephine","Foothill Retirement Center","2031 NE D St","Grants Pass","Pacific Retirement Services","541-471-9425","44",,,"44",,,
"Josephine","Freedom House","1055 SE Clarey Ave","Grants Pass","Options for Southern Oregon","541-476-2373","7","7",,,,,
"Josephine","Golden Rain Apts","845 NE Victoria St","Grants Pass","Cascade Management Inc.","541-476-1141","38",,,"38",,,
"Josephine","Grants Pass Senior Housing","1465 NE 10th St","Grants Pass","Lovelace Properties","541-474-0225","58",,,"58",,,
"Josephine","Harbeck Village","1760 Harbeck Rd","Grants Pass","Lovelace Properties","541-955-9251","48",,,,"12","24","12"
"Josephine","Holiday Park Garden Apts","1051 E Park St","Grants Pass","Viridian Management","541-471-6384","124",,,"124",,,
"Josephine","Jade East","820 NE D St","Grants Pass","Housing Authority of Jackson County","541-779-5785","30",,"4","10","8","8",
"Josephine","Jasmine Park","501 NE Anderson St","Grants Pass","Lovelace Properties","541-471-9477","43",,,"39","4",,
"Josephine","Jefferson Court","810 NE Victoria St","Grants Pass","Cascade Management","541-476-7714","24",,"12","8","4",,
"Josephine","Manzanita House","540 NW Manzanita Ave","Grants Pass","Options for Southern Oregon","541-476-2373","7",,"7",,,,
"Josephine","Northglen","1624 Carnahan Dr","Grants Pass","Options for Southern Oregon","541-476-2373","5",,,,,,
"Josephine","Oak View Gardens","401 NE Anderson","Grants Pass","Lovelace Properties","541-471-6123","60",,,"60",,,
"Josephine","Pardee Lane House","105 Pardee Ln","Grants Pass","Grants Pass Property Management","541-476-8967","5",,,"5",,,
"Josephine","Red Oak Manor","915 SW L St","Grants Pass","Options for Southern Oregon","541-476-2373","8",,,"8",,,
"Josephine","Rivertree Apts","224 SW Rogue River Ave","Grants Pass","Housing Authority of Jackson County","541-779-5785","27",,,"8","13","4","2"
"Josephine","Rogue View Gardens","1100 Fruitdale Dr","Grants Pass","Lovelace Properties","541-474-1764","60",,,"1","57","2",
"Josephine","Victoria Arms","830 NE Victoria St","Grants Pass","Cascade Management Inc.","541-476-7714","16",,,"16",,,
"Josephine","Willows Apts","300 SE M St","Grants Pass","Options for Southern Oregon","541-476-2373","9",,,"9",,,
