"agency","meeting_title","short_description","start_date_time","end_date_time","meeting_location","city","state","details","public_comment_accepted","contact_name","phone_number","contact_email","web_link","map_link","calendar_link","ada_contact","ada_contact_phone","ada_contact_email","webinar","call_in_phone_number","call_in_access_code","agenda"
"Energy, Department of","Small-Scale Renewable Energy Projects Study Workshop #1","","2022-04-28T09:00:00.000","2022-04-28T13:00:00.000","Virtual","Salem","OR","","","ODOE","","askenergy@oregon.gov",,"","","","","",,"","",""
"Energy, Department of","Energy Facility Siting Council Meeting","This is a regular meeting of the Council.","2020-03-13T08:30:00.000","2020-03-13T14:00:00.000","Columbia Gorge Discovery Center & Museum"," The Dalles","OR","","Yes","Michiko Mata","","michiko.mata@oregon.gov",,"","","","","","true","","",""
"Energy, Department of","Energy Facility Siting Council Meeting","This is a regular meeting of the Council.","2020-01-24T08:00:00.000","2020-01-24T14:30:00.000","Best Western Plus Inn"," Hood River","OR",,"Yes","Michiko Mata",,"michiko.mata@oregon.gov",,"https://www.google.com/maps/place/Best+Western+Plus+Hood+River+Inn/@45.7118912,-121.5009495,16z/data=!4m8!3m7!1s0x54960e145fdc62a3:0x11ea36160a88f395!5m2!4m1!1i2!8m2!3d45.7118875!4d-121.4987555 (https://www.google.com/maps/place/Best+Western+Plus+Hood+River+Inn/@45.7118912,-121.5009495,16z/data=!4m8!3m7!1s0x54960e145fdc62a3:0x11ea36160a88f395!5m2!4m1!1i2!8m2!3d45.7118875!4d-121.4987555)",,,,,"true",,,
"Energy, Department of","Oregon Global Warming Commission","This is a regular meeting of the Commission.","2019-12-12T13:00:00.000","2019-12-12T16:30:00.000","The Nature Conservancy’s Oregon Conservation Center"," Portland","OR","https://energyinfo.oregon.gov/blog/2019/12/5/oregon-global-warming-commission-to-meet-december-12-in-portland","Yes","Linda Ross",,"linda.ross@oregon.gov",,,,,,,,,,
"Energy, Department of","Energy Facility Siting Council Meeting","This is a regular meeting of the Council.","2020-01-23T17:00:00.000","2020-01-23T19:00:00.000","Best Western Plus Inn"," Hood River","OR",,"Yes","Michiko Mata",,"michiko.mata@oregon.gov",,"https://www.google.com/maps/place/Best+Western+Plus+Hood+River+Inn/@45.7118912,-121.5009495,16z/data=!4m8!3m7!1s0x54960e145fdc62a3:0x11ea36160a88f395!5m2!4m1!1i2!8m2!3d45.7118875!4d-121.4987555 (https://www.google.com/maps/place/Best+Western+Plus+Hood+River+Inn/@45.7118912,-121.5009495,16z/data=!4m8!3m7!1s0x54960e145fdc62a3:0x11ea36160a88f395!5m2!4m1!1i2!8m2!3d45.7118875!4d-121.4987555)",,,,,"true",,,
"Energy, Department of","1.5% Green Energy Technology Rulemaking Hearing","This is a public hearing on the proposed new rules for the program","2019-12-05T14:00:00.000","2019-12-05T15:00:00.000","Oregon Department of Energy"," Salem","OR","The proposed rules would implement House Bill 2496, adopted by the 2019 Legislative Assembly and codified as Oregon Laws 2019 Chapter 160.","Yes","Wendy Simons",,"wendy.simons@oregon.gov",,,,,,,,,,
"Energy, Department of","Energy Facility Siting Council Meeting","This is a regular meeting of the Council.","2019-12-20T08:00:00.000","2019-12-20T13:00:00.000","Red Lion Inn"," Pendleton","OR",,"Yes","Michiko Mata",,"michiko.mata@oregon.gov",,,,,,,"true",,,
"Energy, Department of","Energy Facility Siting Council Meeting","This is a regular meeting of the Council.","2019-12-19T17:00:00.000","2019-12-19T19:00:00.000","Red Lion Inn"," Pendleton","OR",,"Yes","Michiko Mata",,"michiko.mata@oregon.gov",,,,,,,"true",,,
"Energy, Department of","Zero Emission Vehicle Interagency Working Group","This is a regular meeting of the Work Group.","2020-03-20T10:30:00.000","2020-03-20T12:00:00.000","800 NE Oregon Street"," Portland","OR",,,"Evan Elias",,"evan.m.elias@oregon.gov",,,,,,,,,,
"Energy, Department of","Alternative Fuel Vehicle rulemaking meeting ","The Oregon Department of Energy invites stakeholders to participate in the rulemaking process for the Alternative Fuel Vehicle Tax Credit and Alternative Fuel Vehicle Revolving Loan Fund programs. This is the final committee meeting to review draft rule language and other related topics, such as eligible project cost and the nexus with Oregon requirement.","2014-07-31T14:00:00.000",,"Oregon Department of Energy, 625 Marion St. NE"," Salem","OR",,,"Elizabeth Ross",,"elizabeth.ross@state.or.us","http://links.govdelivery.com/track?type=click&enid=ZWFzPTEmbWFpbGluZ2lkPTIwMTQwNzIxLjM0Mjg0MTYxJm1lc3NhZ2VpZD1NREItUFJELUJVTC0yMDE0MDcyMS4zNDI4NDE2MSZkYXRhYmFzZWlkPTEwMDEmc2VyaWFsPTE3MTIwNjExJmVtYWlsaWQ9Y2xpZmYudm9saXZhQG9kb2Uuc3RhdGUub3IudXMmdXNlcmlkPWNsaWZmLnZvbGl2YUBvZG9lLnN0YXRlLm9yLnVzJmZsPSZleHRyYT1NdWx0aXZhcmlhdGVJZD0mJiY=&&&100&&&http://www.oregon.gov/energy/Pages/Rulemaking-Alt-Fuel-Vehicles.aspx",,,,,,,,,
