Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,2010 House Districts,2010 Senate Districts,Counties
Oregon Investment Council,OIC Regular Meeting,12/06/2023 09:00:00 AM,12/06/2023 01:00:00 PM,16290 SW Upper Boones Ferry Road,Portland,OR,,,Aadrial Phillips,503-431-7956,aadrial.phillips@ost.state.or.us,,"https://www.google.com/maps/place/Oregon+State+Treasury/@45.4022289,-122.7544666,17z/data=!3m1!4b1!4m5!3m4!1s0x549572c33f67c577:0x25b9a158a656ce9a!8m2!3d45.4022289!4d-122.7522779",https://www.oregon.gov/treasury/news-data/pages/treasury-calendar.aspx,,,,,,,,,,,,,,
Board Meeting,,11/16/2023 10:00:00 AM,11/16/2023 02:00:00 PM,Virtual,Portland,OR,,,Nancy Schuberg,9716730198,nancy.schuberg@state.or.us,,,,,,,,,,,,,,,,,
Board Meeting,,11/16/2023 10:00:00 AM,11/16/2023 02:00:00 PM,Virtual,Portland,OR,,,Nancy Schuberg,9716730198,nancy.schuberg@state.or.us,,,,,,,,,,,,,,,,,
Board meeting,,11/03/2023 12:30:00 PM,11/03/2023 02:00:00 PM,"1500 Liberty St SE, Ste 150",Salem,OR,,Yes,Shelley Sneed,971-701-1194,shelley.g.sneed@obo.oregon.gov,,,,,,,,,,,,,,,,,
Oregon Investment Council,OIC Regular Meeting,10/25/2023 09:00:00 AM,10/25/2023 01:00:00 PM,16290 SW Upper Boones Ferry Road,Portland,OR,,,Aadrial Phillips,503-431-7956,aadrial.phillips@ost.state.or.us,,"https://www.google.com/maps/place/Oregon+State+Treasury/@45.4022289,-122.7544666,17z/data=!3m1!4b1!4m5!3m4!1s0x549572c33f67c577:0x25b9a158a656ce9a!8m2!3d45.4022289!4d-122.7522779",https://www.oregon.gov/treasury/news-data/pages/treasury-calendar.aspx,,,,,,,,,,,,,,
Oregon Investment Council,OIC Regular Meeting,09/06/2023 09:00:00 AM,09/06/2023 01:00:00 PM,16290 SW Upper Boones Ferry Road,Portland,OR,,,Aadrial Phillips,503-431-7956,aadrial.phillips@ost.state.or.us,,"https://www.google.com/maps/place/Oregon+State+Treasury/@45.4022289,-122.7544666,17z/data=!3m1!4b1!4m5!3m4!1s0x549572c33f67c577:0x25b9a158a656ce9a!8m2!3d45.4022289!4d-122.7522779",https://www.oregon.gov/treasury/news-data/pages/treasury-calendar.aspx,,,,,,,,,,,,,,
Board Meeting,,08/18/2023 10:00:00 AM,08/18/2023 10:00:00 AM,Virtual,Portland,OR,,,Nancy Schuberg,9716730198,nancy.schuberg@state.or.us,,,,,,,,,,,,,,,,,
Board Meeting,,08/18/2023 10:00:00 AM,08/18/2023 10:00:00 AM,800 NE Oregon Street Suite 445,Portland,OR,,,Nancy Schuberg,9716730198,nancy.schuberg@state.or.us,,,,,,,,,,,,,,,,,
Board meeting,,08/04/2023 12:30:00 PM,08/04/2023 02:00:00 PM,"1500 Liberty St SE, Ste 150",Salem,OR,,Yes,Shelley Sneed,971-701-1194,shelley.g.sneed@obo.oregon.gov,,,,,,,,,,,,,,,,,
Oregon Investment Council,OIC Regular Meeting,07/19/2023 09:00:00 AM,07/19/2023 01:00:00 PM,16290 SW Upper Boones Ferry Road,Portland,OR,,,Aadrial Phillips,503-431-7956,aadrial.phillips@ost.state.or.us,,"https://www.google.com/maps/place/Oregon+State+Treasury/@45.4022289,-122.7544666,17z/data=!3m1!4b1!4m5!3m4!1s0x549572c33f67c577:0x25b9a158a656ce9a!8m2!3d45.4022289!4d-122.7522779",https://www.oregon.gov/treasury/news-data/pages/treasury-calendar.aspx,,,,,,,,,,,,,,
Board of Directors Regular Session,,06/21/2023 06:00:00 PM,06/21/2023 07:00:00 PM,13455 SE 97th Ave,Clackamas,OR,,,Laurel Roth,5036754003,lroth@clackesd.org,,,,,,,,,,,,,,,,,
Board of Directors Budget Hearing and Regular Meeting,,06/21/2023 06:00:00 PM,06/21/2023 08:00:00 PM,101 North Grape Street,Medford,OR,,,Jessica Bach,541-776-8590,jessica_bach@soesd.k12.or.us,,,,,,,,,,,http://www.soesd.k12.or.us/agendas-minutes/,,,,,,
Budget Hearing,,06/21/2023 05:45:00 PM,06/21/2023 06:00:00 PM,13455 SE 97th Ave,Clackamas,OR,,,Laurel Roth,5036754003,lroth@clackesd.org,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Schools Committee Meeting,,06/21/2023 08:30:00 AM,06/21/2023 10:00:00 AM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/schools-committee/,,,,,,
Regular Board Meeting,,06/13/2023 06:00:00 PM,06/13/2023 08:00:00 PM,1350 Teakwood Ave,Coos Bay,OR,,Yes,Barbara Buckley,5412663951,barbarab@scesd.k12.or.us,,,,,,,true,https://sces-k12-or-us.zoom.us/j/87072392821,1-669-900-9128,870 7239 2821,https://www.scesd.k12.or.us/board-of-directors/,,,,,,
Oregon Alliance to Prevent Suicide - Workforce Committee Meeting,,06/09/2023 09:00:00 AM,06/09/2023 10:30:00 AM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/workforce-committee/,,,,,,
Oregon Alliance to Prevent Suicide - Quarterly Meeting,,06/09/2023 08:45:00 AM,06/09/2023 12:30:00 PM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,,,,https://oregonalliancetopreventsuicide.org/about-us/quarterly-meetings/,,,,,,
Oregon Alliance to Prevent Suicide - Transitions of Care Committee Meeting,,06/08/2023 01:00:00 PM,06/08/2023 02:30:00 PM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/transitions-of-care-committee/,,,,,,
