"fiscal_year","agency_title","classification","annual_salary","full_part_time","service_type","agency"
"2021","ACCOUNTANCY, OREGON BOARD OF","PROGRAM ANALYST 1","56876.40","FULL TIME","UNREPRESENTED","12000"
"2021","ACCOUNTANCY, OREGON BOARD OF","ADMINISTRATIVE SPECIALIST 1","54168.00","FULL TIME","UNREPRESENTED","12000"
"2021","ACCOUNTANCY, OREGON BOARD OF","OFFICE SPECIALIST 1","21480.00","PART TIME","UNREPRESENTED","12000"
"2021","ACCOUNTANCY, OREGON BOARD OF","FINANCIAL INVESTIGATOR 1","87120.00","FULL TIME","UNREPRESENTED","12000"
"2021","ACCOUNTANCY, OREGON BOARD OF","FINANCIAL INVESTIGATOR 1","105525.00","FULL TIME","UNREPRESENTED","12000"
"2021","ACCOUNTANCY, OREGON BOARD OF","ADMINISTRATIVE SPECIALIST 2","51696.00","FULL TIME","UNREPRESENTED","12000"
"2021","ACCOUNTANCY, OREGON BOARD OF","PRINCIPAL EXECUTIVE/MANAGER D","101760.00","FULL TIME","AGENCY HEAD","12000"
"2021","ADMINISTRATIVE SRVCS, DEPT OF","CUSTODIAN","39516.00","FULL TIME","REPRESENTED","10700"
"2021","ADMINISTRATIVE SRVCS, DEPT OF","ACCOUNTANT 3","65520.00","FULL TIME","REPRESENTED","10700"
"2021","ADMINISTRATIVE SRVCS, DEPT OF","CUSTODIAN","39516.00","FULL TIME","REPRESENTED","10700"
"2021","ADMINISTRATIVE SRVCS, DEPT OF","CUSTODIAN","39516.00","FULL TIME","REPRESENTED","10700"
"2021","ADMINISTRATIVE SRVCS, DEPT OF","CUSTODIAN","36396.00","FULL TIME","REPRESENTED","10700"
"2021","ADMINISTRATIVE SRVCS, DEPT OF","AUTOMOTIVE TECHNICIAN 2","62496.00","FULL TIME","REPRESENTED","10700"
"2021","ADMINISTRATIVE SRVCS, DEPT OF","FACILITY OPERATIONS SPECIALIST 2","68712.00","FULL TIME","REPRESENTED","10700"
"2021","ADMINISTRATIVE SRVCS, DEPT OF","INFORMATION SYSTEMS SPECIALIST 8","98004.00","FULL TIME","REPRESENTED","10700"
"2021","ADMINISTRATIVE SRVCS, DEPT OF","INFORMATION SYSTEMS SPECIALIST 6","97716.00","FULL TIME","REPRESENTED","10700"
"2021","ADMINISTRATIVE SRVCS, DEPT OF","INFORMATION SYSTEMS SPECIALIST 6","89088.00","FULL TIME","REPRESENTED","10700"
