"registry_number","registry_date","anniversary_date","business_name","e_type","city","state","zip","cityzip","county"
"7725013","1966-01-01T00:00:00.000","2023-01-01T00:00:00.000","DAVIDSON'S MASONRY, INC.","DBC","SALEM","OR","97302","SALEM-97302","Marion"
"10860419","1975-01-01T00:00:00.000","2023-01-01T00:00:00.000","C.C. MEISEL CO., INC.","DBC","AURORA","OR","97002","AURORA-97002","Marion"
"14968911","1981-01-01T00:00:00.000","2023-01-01T00:00:00.000","DOUGLAS, CONROYD, GIBB & PACHECO, P.C.","DPC","SALEM","OR","97301","SALEM-97301","Marion"
"17357013","1984-01-01T00:00:00.000","2023-01-01T00:00:00.000","VALLEY BRASS AND ALUMINIUM, INC.","DBC","SALEM","OR","97302","SALEM-97302","Marion"
"37552288","1994-01-01T00:00:00.000","2023-01-01T00:00:00.000","YOUTH CHANGE INC.","DBC","WOODBURN","OR","97071","WOODBURN-97071","Marion"
"43819689","1995-01-01T00:00:00.000","2023-01-01T00:00:00.000","THE GRANT COMPANY, INC.","DBC","MOUNT ANGEL","OR","97362","MOUNT ANGEL-97362","Marion"
"49339989","1996-01-01T00:00:00.000","2023-01-01T00:00:00.000","ALDRICH CPAS AND ADVISORS LLP","DLLP","SALEM","OR","97301","SALEM-97301","Marion"
"49348188","1996-01-01T00:00:00.000","2023-01-01T00:00:00.000","CHURCHILL LEONARD, P.C.","DPC","SALEM","OR","97301","SALEM-97301","Marion"
"49265580","1996-01-01T00:00:00.000","2023-01-01T00:00:00.000","WILLIAMSON & AEBI, LLP","DLLP","DALLAS","OR","97338","DALLAS-97338","Polk"
"26055095","2005-01-01T00:00:00.000","2023-01-01T00:00:00.000","DIVIDE BY ZERO INVESTMENTS, LLC","DLLC","INDEPENDENCE","OR","97351","INDEPENDENCE-97351","Polk"
"4354114","1946-01-02T00:00:00.000","2023-01-02T00:00:00.000","DALLAS POST #3203 VETERANS OF FOREIGN WARS, INC.","DNP","DALLAS","OR","97338","DALLAS-97338","Polk"
"6793111","1962-01-02T00:00:00.000","2023-01-02T00:00:00.000","WITHNELL MOTOR COMPANY","DBC","SALEM","OR","97302","SALEM-97302","Marion"
"14967418","1981-01-02T00:00:00.000","2023-01-02T00:00:00.000","PORTH & UNREIN P.C.","DPC","SALEM","OR","97302","SALEM-97302","Marion"
"20576914","1985-01-02T00:00:00.000","2023-01-02T00:00:00.000","EVERGREEN INCOME TAXES, INC.","DBC","SALEM","OR","97302","SALEM-97302","Marion"
"23016082","1991-01-02T00:00:00.000","2023-01-02T00:00:00.000","CHATEAU BIANCA, INC.","DBC","DALLAS","OR","97338","DALLAS-97338","Polk"
"23005481","1991-01-02T00:00:00.000","2023-01-02T00:00:00.000","NEILS JENSEN FARMS, INC.","DBC","JEFFERSON","OR","97352","JEFFERSON-97352","Marion"
"23019987","1991-01-02T00:00:00.000","2023-01-02T00:00:00.000","SALEM PULMONARY ASSOCIATES, P.C.","DPC","SALEM","OR","97302","SALEM-97302","Marion"
"27652486","1992-01-02T00:00:00.000","2023-01-02T00:00:00.000","CASCADE SOUND INC.","DBC","AUMSVILLE","OR","97325","AUMSVILLE-97325","Marion"
"27651389","1992-01-02T00:00:00.000","2023-01-02T00:00:00.000","MULLER LUMBER COMPANY","DBC","INDEPENDENCE","OR","97351","INDEPENDENCE-97351","Polk"
"49382781","1996-01-02T00:00:00.000","2023-01-02T00:00:00.000","CANDLEWOOD, L.L.C.","DLLC","SALEM","OR","97301","SALEM-97301","Marion"
"49370083","1996-01-02T00:00:00.000","2024-01-02T00:00:00.000","DOUG LONG CONSTRUCTION","ABN","SALEM","OR","97317","SALEM-97317","Marion"
"49382583","1996-01-02T00:00:00.000","2023-01-02T00:00:00.000","INDEPENDENCE, L.L.C.","DLLC","SALEM","OR","97301","SALEM-97301","Marion"
"49387889","1996-01-02T00:00:00.000","2023-01-02T00:00:00.000","MULLEN FARMS, INC.","DBC","SAINT PAUL","OR","97137","SAINT PAUL-97137","Marion"
"55193883","1997-01-02T00:00:00.000","2023-01-02T00:00:00.000","ADAMS & COMPANY","DBC","SALEM","OR","97301","SALEM-97301","Marion"
"55177589","1997-01-02T00:00:00.000","2023-01-02T00:00:00.000","CLEM J. BUTSCH GENERAL INSURANCE, INC.","DBC","MOUNT ANGEL","OR","97362","MOUNT ANGEL-97362","Marion"
"61155686","1998-01-02T00:00:00.000","2023-01-02T00:00:00.000","BRENNER & COMPANY, LLP","DLLP","SALEM","OR","97301","SALEM-97301","Marion"
"61140985","1998-01-02T00:00:00.000","2023-01-02T00:00:00.000","C-MORE PIPE SERVICES CO.","DBC","RICKREALL","OR","97371","RICKREALL-97371","Polk"
"61158987","1998-01-02T00:00:00.000","2023-01-02T00:00:00.000","M K D INVESTMENTS, LLC","DLLC","RICKREALL","OR","97371","RICKREALL-97371","Polk"
"61158383","1998-01-02T00:00:00.000","2023-01-02T00:00:00.000","RUTH A. ABRAHAM, DDS, PC","DPC","KEIZER","OR","97303","KEIZER-97303","Marion"
"78914885","2001-01-02T00:00:00.000","2023-01-02T00:00:00.000","J & J HEIFERS","ABN","MOUNT ANGEL","OR","97362","MOUNT ANGEL-97362","Marion"
"78922680","2001-01-02T00:00:00.000","2023-01-02T00:00:00.000","L & W PROPERTIES, LLC","DLLC","SALEM","OR","97302","SALEM-97302","Marion"
