"agency","meeting_title","short_description","start_date_time","end_date_time","meeting_location","city","state","details","public_comment_accepted","contact_name","phone_number","contact_email","web_link","map_link","calendar_link","ada_contact","ada_contact_phone","ada_contact_email","webinar","call_in_phone_number","call_in_access_code","agenda"
"Strawberry Commission, Oregon","OSC Annual Growers Mtg","OSC Meeting","2020-02-12T08:30:00.000","2020-02-12T14:00:00.000","NWREC 15210 NE Miley Road, Aurora, OR"," Aurora","OR","","","Julie Hoffman","503-274-5458","StrawberryCommission@gmail.com",," ()"," ()","","","",,"",""," ()"
"Strawberry Commission, Oregon","OSC Regular Commission Meeting","OSC Meeting","2013-04-16T18:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Research Committee Meeting","OSC Meeting","2013-10-29T17:45:00.000",,"Langdon Farms Golf Club"," Aurora","OR","Set Research Prioities",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Meeting","OSC Meeting","2020-01-08T12:00:00.000","2020-01-08T15:00:00.000","McMenamins Restaurant - 310 NE Evans St,","McMinnvile","OR",,,"Dana Branson","503-274-5458","oregonstrawberries@gmail.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Conference Call","OSC Meeting","2015-06-24T12:00:00.000","2015-06-24T13:00:00.000","Conference Call"," Corvallis","OR","Please contact the commission office for conference call dialing instructions.",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular and Committee Meeting","OSC Meeting","2016-01-11T00:00:00.000","2016-01-11T15:00:00.000","McMenamins Restaurant - 310 NE Evans St"," McMinnville","OR","10.30 Promotion
11.00 Research
11.30 Budget
12.00 Regular Meeting",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Budget Hearing & Commission Meeting","OSC Meeting","2014-05-08T18:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Promotion Committee Meeting","OSC Meeting","2012-03-20T11:00:00.000","2012-03-20T12:00:00.000","Roths West"," Salem","OR","The time for this meeting has changed to 11 am.",,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Research Committee Meeting","OSC Meeting","2012-11-07T11:30:00.000","2012-11-07T12:00:00.000","Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Commission Meeting","OSC Meeting","2012-11-07T12:00:00.000","2012-11-07T15:00:00.000","Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Commission Meeting","OSC Meeting","2012-03-20T12:00:00.000","2012-03-20T15:00:00.000","Roths West"," Salem","OR",,,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Meeting","OSC Meeting","2014-09-24T18:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Commission Meeting","OSC Meeting","2013-02-05T12:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Commission Meeting","OSC Meeting","2013-09-24T18:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Budget Committee Meeting","OSC Meeting","2012-05-03T17:00:00.000","2012-05-03T17:30:00.000","Langdon Farms Golf Club"," Aurora","OR",,,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular and Committee Meeting","OSC Meeting","2016-02-24T12:00:00.000","2016-02-24T15:00:00.000","McMenamins Restaurant - 310 NE Evans St"," McMinnville","OR","Committee Meetings Prior to the Regular Meeting
10.00 Promotion
11.00 Research
11.30 Budget",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Budget Committee Meeting","OSC Meeting","2013-04-16T17:30:00.000",,"Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","2012 Strawberry Breeding Selections Evaluation","OSC Meeting","2012-12-19T10:00:00.000",,"OSU Wiegand Hall"," Corvallis","OR","Colleagues - We are having the research evaluations of the USDA-ARS/OSU berry breeding selections in the upcoming weeks.  We are not looking to invite everyone in the world, but we are looking for anyone who knows berries and knows what the industry needs.  There will be two evaluation days:

Blackberries, Raspberries and Black Raspberries will be evaluated on Monday, December 10, starting at 10 am.

Strawberries and Blueberries will be evaluated on Wednesday, December 19, starting at 10 am.

You will be expected to evaluate over 100 IQF selections and cultivars.  We will be evaluating ALL the selections and varieties from the 2011 season, many from several harvest dates.  Results from this evaluation will be used to determine which cultivars and selections will be discarded and which will continue on in the breeding program. We will also decide which selections will be displayed at the Commission research meetings and at the Northwest Food Processors meeting.

The evaluation will be held in the OSU Food Science Department, Wiegand Hall, at the corner of 30th and Campus Way in Corvallis.  For those coming from I-5, take the Highway 34/Corvallis exit.  Head west on 34.  As you approach Corvallis, DO NOT TURN LEFT AT THE LIGHT to follow 34 toward the Coast.  Continue straight ahead and cross the river on the Harrison St. bridge.  Follow Harrison straight ahead to 30th St.  Turn left on 30th.  Continue 5 blocks; turn right on Campus Way.  The Food Science building will be on your right but turn left and park in the STUDENT PARKING section of the Crop Science lot.  It’s free!  

Chad will again be buying pizza for lunch.  No you can’t just come for lunch.

Questions?  Call me or email me.  See you here.

Thanks,
Brian Yorgey
brian.yorgey@oregonstate.edu
(541) 737-6496
",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Budget Hearing & Regular Meeting","OSC Meeting","2016-05-03T18:00:00.000","2016-05-03T21:00:00.000","McMenamins Restaurant - 310 NE Evans St"," McMinnville","OR",,,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Commission Meeting","OSC Meeting","2013-10-29T18:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Commission Meeting","OSC Meeting","2012-09-27T17:30:00.000","2012-09-27T20:00:00.000","Langdon Farms Golf Club"," Aurora","OR",,,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Committees & Regular Meeting","OSC Meeting","2015-03-11T12:00:00.000","2015-03-11T16:00:00.000","TBA"," McMinnville","OR","10:30 Research
11:15 Budget
12:00 Regular Meeting",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Budget Committee Meeting","OSC Meeting","2012-03-20T11:00:00.000","2012-03-20T12:00:00.000","Roths West"," Salem","OR","This meeting has been Cancelled.",,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","Oregon Strawberry Special Meeting","OSC Meeting","2016-01-22T14:00:00.000","2016-01-22T15:30:00.000","Conference Call"," Corvallis","OR","Agenda:
Specialty Crop Block Grant Proposal for
   Website
   Social Media Plan

Location: Conference Call
Conference Call Instructions
1) Dial the toll free number 1-866-779-0774
2) You will hear ""Welcome to Genesys meeting center…....""
3) Dial the meeting number starting and ending with * :   *7584553*
4) You will hear ""Please wait for entry into conference"".

If you have any difficulties with the call, dial *10* when in the Genesys center
",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
