"lt_cd","filenumber","filing_date","lapse_date","secured_party","addr1","addr2","city","state","postalcode","country","image_link"
"UCC","2","1963-08-13T00:00:00.000","2023-08-13T00:00:00.000","INTERNATIONAL TRUCK AND ENGINE CORP","PO BOX 5103",,"SAN RAMON","CA","94583","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A2"
"TU","13","1963-11-08T00:00:00.000",,"RURAL ELECTRIFICATION ADMIN, USDA","NO STREET ADDRESS",,"WASHINGTON","DC","20250-1500","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A13"
"TU","17","1964-05-25T00:00:00.000",,"MARINE MIDLAND TRUST CO OF NEW YORK","120 BROADWAY",,"NEW YORK","NY","1271--002","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A17"
"TU","21","1964-08-05T00:00:00.000",,"FIRST NATIONAL BANK OF OREGON TRUSTEE","MAIN BRANCH",,"PORTLAND","OR","97015","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A21"
"TU","22","1964-08-11T00:00:00.000",,"FIRST NATIONAL BANK OF OREGON","MAIN BRANCH",,"PORTLAND","OR","97015","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A22"
"TU","28","1964-10-27T00:00:00.000",,"RURAL ELECTRIFICATION ADMINISTRATION","NO STREET ADDRESS",,"WASHINGTON","DC","20250","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A28"
"TU","30","1965-04-21T00:00:00.000",,"THE MARINE MIDLAND TRUST COMPANY OF NEW YOURK","120 BROADWAY",,"NEW YORK","NY","10271","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A30"
"TU","32","1965-04-22T00:00:00.000",,"RURAL ELECTRIFICATION ADMINISTRATION","NO STREET ADRESS",,"WASHINGTON","DC","20250","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A32"
"TU","33","1965-04-29T00:00:00.000",,"RURAL ELECTRIFICATOIN ADMINISTRATION","NO STREET ADDRESS",,"WASHINGTON","DC","20250","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A33"
"TU","40","1966-02-01T00:00:00.000",,"MORGAN GUARANTY TRUST CO NY & WL BAKER","23 WALL ST",,"NEW YORK","NY","10015","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A40"
"TU","42","1966-05-03T00:00:00.000",,"PEOPLES NATIONAL BANK AND 1 OTHER","1414 FOURTH AVE",,"SEATTLE","WA","98111","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A42"
"TU","43","1966-06-23T00:00:00.000",,"RURAL ELECTRIFICATION ADMINISTRATION","US DEPT OF AGRI",,"WASHINGTON","DC","20007","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A43"
"TU","45","1966-08-22T00:00:00.000",,"MARINE MIDLAND GRACE TRUST CO NY TRSTEE","120 BROADWAY",,"NEW YORK","NY","10015","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A45"
"TU","47","1967-01-04T00:00:00.000",,"RURAL ELECTRIFICATION ADMIN USDA","SOUTH BUILDING USDA",,"WASHINGTON","DC","20250","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A47"
"TU","56","1967-12-07T00:00:00.000",,"PEOPLES NATONAL BANK OF WA","1414 FOURTH AVE",,"SEATTLE","WA","98111","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A56"
"TU","60","1968-06-04T00:00:00.000",,"NATIONAL RURAL UTILITIES","RURAL ELECTRIFICATION ADMINISTRATION",,"WASHINGTON","DC","20250","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A60"
"TU","61","1968-06-21T00:00:00.000",,"RURAL ELECTRIC UTILITIES","RURAL ELECTRUFUCATION ADMINISTRATION",,"WASHINGTON","DC","20250","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A61"
"TU","68","1968-10-02T00:00:00.000",,"BANKERS TRUST COMPANY","16 WALL ST",,"NEW YORK","NY","10015","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A68"
"TU","69","1968-10-02T00:00:00.000",,"BANKERS TRUST COMPANY","16 WALL ST",,"NEW YORK","NY","10015","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A69"
"TU","74","1968-11-20T00:00:00.000",,"MORGAN GUARANTY TRUST CO OF NY     ETAL","23 WALL ST",,"NEW YORK","NY","10015","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A74"
"TU","81","1969-03-25T00:00:00.000",,"PEOPLES NATIONAL BANK OF WA","1414 FOURTH AVE",,"SEATTLE","WA","98111","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A81"
"TU","84","1969-08-28T00:00:00.000",,"US GOVT  RURAL ELECTRIFICATION ADMIN","NO STREET ADDRESS",,"WASHINGTON","DC","20250","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A84"
"TU","90","1969-12-18T00:00:00.000",,"BANKERS TRUST COMPANY & JC KENNEDY TRSTE","16 WALL ST",,"NEW YORK","NY","10015","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A90"
"TU","95","1970-02-16T00:00:00.000",,"RURAL ELECTRIFICATION ADMIN","NO STREET ADDRESS",,"WASHINGTON","DC","20250","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A95"
"TU","96","1970-02-16T00:00:00.000",,"RURAL ELECTRIFICATION ADMIN","NO STREET ADDRESS",,"WASHINGTON","DC","20250","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A96"
"TU","97","1970-02-16T00:00:00.000",,"RURAL ELECTRIFICATION ADMIN","NO STREET ADDRESS",,"WASHINGTON","DC","20250","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A97"
"TU","100","1970-03-04T00:00:00.000",,"MORGAN GUARANTY TRUST COMPANY","30 W BROADWAY",,"NEW YORK","NY","10015","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A100"
"TU","102","1970-03-24T00:00:00.000",,"UNITED STATE OF AMERICA","NO STREET ADDRESS",,"WASHINGTON","DC","20001","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A102"
"TU","103","1970-03-26T00:00:00.000",,"SPOKANE PORTLAND AND SEATTLE RAILWAY CO","621 SW MORRISON ST",,"PORTLAND","OR","97207","USA","http://records.sos.state.or.us/ORSOSWebDrawer/Record?q=recTitle%3A103"
