"agency","short_description","start_date_time","end_date_time","meeting_location","city","state","details","public_comment_accepted","contact_name","phone_number","contact_email","web_link","map_link","calendar_link","ada_contact","ada_contact_phone","ada_contact_email","webinar","call_in_phone_number","call_in_access_code","agenda"
"Accountancy State Board","","2020-09-18T08:30:00.000","2020-09-18T14:00:00.000","Zoom"," Salem","OR","Contact the Board office at 503-378-4181 to receive information about the Zoom meeting.","","Julie Nadeau","","julie.nadeau@oregon.gov",,"","","","","",,"","",""
"Accountancy State Board","review investigation files, discuss board business, approve applications for licensure","2020-01-30T08:30:00.000","2020-01-30T16:00:00.000","3218 Pringle Rd SE"," Salem","OR",,"Yes","Joel Parks","5033782270","joel.parks@oregon.gov",,,,,"5033782270",,,,,
"Accountancy State Board","Review investigation cases","2020-08-07T08:30:00.000","2020-08-07T15:00:00.000","To be determined"," Salem","OR",,,"Joel Parks","5033782270","joel.parks@oregon.gov",,,,,"5033782270",,,,,
"Accountancy State Board","review investigation files, discuss board business, approve applications for licensure","2020-12-17T08:30:00.000","2020-12-17T15:00:00.000","To be determined","salem","OR","","","Joel Parks ","5033782270","joel.parks@oregon.gov",," ()"," ()","","5033782270","",,"",""," ()"
"Accountancy State Board","review investigation files, discuss board business, approve applications for licensure","2020-05-21T08:30:00.000","2020-05-21T16:00:00.000","To be determined"," Salem","OR",,"Yes","Joel Parks","5033782270","joel.parks@oregon.gov",,,,,"5033782270",,,,,
"Accountancy State Board","Review investigation cases","2020-01-06T08:30:00.000","2020-01-06T14:00:00.000","3218 Pringle Rd SE"," Salem","OR",,,"Joel Parks","5033782270","joel.parks@oregon.gov",,,,,"5033782270",,,,,
"Accountancy State Board","Review investigation cases","2019-11-15T08:30:00.000","2019-11-15T13:00:00.000","3218 Pringle Rd SE"," Salem","OR",,,"Joel Parks","5033782270","joel.parks@oregon.gov",,,,,"5033782270",,,,,
"Accountancy State Board","review investigation files, discuss board business, approve applications for licensure","2020-09-17T08:30:00.000","2020-09-18T12:00:00.000","To be determined"," Salem","OR",,,"Joel Parks","5033782270","joel.parks@oregon.gov",,,,,"5033782270",,,,,
"Accountancy State Board","Review of Industry, Government Licensing Applications","2020-01-13T09:00:00.000","2020-01-13T13:00:00.000","3218 Pringle Rd SE"," Salem","OR",,,"Stacey Janes","5033782264","stacey.janes@oregon.gov",,,,,"5033782264",,,,,
"Accountancy State Board","Review investigation cases","2020-04-24T08:30:00.000","2020-04-24T15:00:00.000","3218 Pringle Rd SE - Large Conference Room"," Salem","OR",,,"Joel Parks","5033782270","joel.parks@oregon.gov",,,,,"5033782270",,,,,
"Accountancy State Board","Review Proposed Rules, investigation reports and licensing matters","2019-12-06T08:30:00.000","2019-12-06T14:00:00.000","3218 Pringle Rd SE"," Salem","OR",,,"Julie Nadeau","503-378-2270","julie.nadeau@oregon.gov",,,,"Joel Parks","503-378-2270","joel.parks@oregon.gov",,,,
"Accountancy State Board","Develop and review possible rule amendments","2014-06-17T10:30:00.000",,"Board of Accountancy Office, 2nd Floor Conference Room"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@oregon.gov",,,,,,,,,,
