"registry_number","business_name","entity_type","registry_date","associated_name_type","address_","address_continued","city","state","zip_code"
"198819097","FLUUMP GAMING LLC","FOREIGN LIMITED LIABILITY COMPANY","2022-07-01T00:00:00.000","PRINCIPAL PLACE OF BUSINESS","12020 SW SETTLER WAY",,"BEAVERTON","OR","97008"
"198789894","24 ROGUE, LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-01T07:51:40.000","PRINCIPAL PLACE OF BUSINESS","9350 SW 165 PL",,"BEAVERTON","OR","97007"
"198800691","TITANIUM JEWELRY LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-01T08:51:22.000","PRINCIPAL PLACE OF BUSINESS","9450 SW GEMINI DR #41854",,"BEAVERTON","OR","97008"
"197484190","WESTMONT OUTDOOR SOLUTIONS LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-01T08:54:06.000","PRINCIPAL PLACE OF BUSINESS","15941 SW THRUSH LN",,"BEAVERTON","OR","97007"
"198802598","FAMOUS WOK STAR LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-01T08:56:38.000","PRINCIPAL PLACE OF BUSINESS","10245 SW DENNEY RD",,"BEAVERTON","OR","97008"
"198804693","MANNTINEZ CLEANING","ASSUMED BUSINESS NAME","2022-07-01T09:06:25.000","PRINCIPAL PLACE OF BUSINESS","20043 SW JANN PL",,"BEAVERTON","OR","97003"
"198749997","TEA SOUNDS","ASSUMED BUSINESS NAME","2022-07-01T09:52:57.000","PRINCIPAL PLACE OF BUSINESS","3325 SW 121ST AVENUE",,"BEAVERTON","OR","97005"
"198667496","GIFT HOUSE LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-01T10:09:21.000","PRINCIPAL PLACE OF BUSINESS","15945 SW LANCASTER WAY","APT 25","BEAVERTON","OR","97078"
"198816598","ABC FINE GOODS LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-01T11:28:28.000","PRINCIPAL PLACE OF BUSINESS","16184 SOUTHWEST BRIDLE HILLS DRIVE",,"BEAVERTON","OR","97007"
"197530695","HALCYON HOSTING, LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-01T11:31:38.000","PRINCIPAL PLACE OF BUSINESS","16900 SW TALLAC WAY",,"BEAVERTON","OR","97007"
"198817893","AAC GENERAL CONSTRUCTION LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-01T11:47:18.000","PRINCIPAL PLACE OF BUSINESS","1565 SW 194TH AVE",,"BEAVERTON","OR","97003"
"198818198","SUSANNAH DAWN CONSULTANT AND STORYTELLER LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-01T11:52:23.000","PRINCIPAL PLACE OF BUSINESS","16147 SW AUDUBON ST UNIT 102",,"BEAVERTON","OR","97003"
"198820491","SSA2022 LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-01T12:09:11.000","PRINCIPAL PLACE OF BUSINESS","3975 SW 114TH AVE",,"BEAVERTON","OR","97005"
"198826795","DJ OWENS INVESTMENT, LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-01T13:51:19.000","PRINCIPAL PLACE OF BUSINESS","2745 NW FOREST AVE",,"BEAVERTON","OR","97006"
"198845894","TEKTRONIX COMPONENT SOLUTIONS","ASSUMED BUSINESS NAME","2022-07-02T00:00:00.000","PRINCIPAL PLACE OF BUSINESS","2905 SW HOCKEN AVE",,"BEAVERTON","OR","97005"
"198835192","FIND YOUR WAY COUNSELING LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-05T07:26:18.000","PRINCIPAL PLACE OF BUSINESS","18433 SW FLORENDO LN",,"BEAVERTON","OR","97007"
"196763198","WILDFLOWER HILL FLORAL LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-05T08:06:02.000","PRINCIPAL PLACE OF BUSINESS","9710 SW DAVIES RD",,"BEAVERTON","OR","97008"
"198840598","PAWS AND BONES","ASSUMED BUSINESS NAME","2022-07-05T08:14:09.000","PRINCIPAL PLACE OF BUSINESS","17513 NW FIELDSTONE DR",,"BEAVERTON","OR","97006"
"198846793","BIC, LLC.","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-05T08:30:39.000","PRINCIPAL PLACE OF BUSINESS","14190 SW TEAL BLVD",,"BEAVERTON","OR","97008"
"198851793","LIFE TO THE FULLEST CREATIONS LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-05T08:41:55.000","PRINCIPAL PLACE OF BUSINESS","2045 SW 196TH AVE",,"BEAVERTON","OR","97003"
"198858996","LLAMACORN PUBLISHING","ASSUMED BUSINESS NAME","2022-07-05T09:09:07.000","PRINCIPAL PLACE OF BUSINESS","16123 NW TELSHIRE DRIVE",,"BEAVERTON","OR","97006"
"198864994","GREY TRIBE LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-05T09:30:55.000","PRINCIPAL PLACE OF BUSINESS","9685 SW 160TH AVE",,"BEAVERTON","OR","97007"
"198881592","GREEN PNW","ASSUMED BUSINESS NAME","2022-07-05T10:29:54.000","PRINCIPAL PLACE OF BUSINESS","17885 NW DOGWOOD CT",,"BEAVERTON","OR","97006"
"198882194","SMEVESNER INVESTMENTS, LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-05T10:31:40.000","PRINCIPAL PLACE OF BUSINESS","17742 NW PIONEER RD",,"BEAVERTON","OR","97006"
"198889595","DURDLES LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-05T11:03:02.000","PRINCIPAL PLACE OF BUSINESS","19620 SW SOUTHVIEW ST",,"BEAVERTON","OR","97078"
"198889199","LOVE,PEACE,AND COLOR","ASSUMED BUSINESS NAME","2022-07-05T11:03:49.000","PRINCIPAL PLACE OF BUSINESS","18160 NW CORNELL RD APT A",,"BEAVERTON","OR","97006"
"198890791","RENEW POWER WASHING LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-05T11:17:42.000","PRINCIPAL PLACE OF BUSINESS","570 SW 201ST AVENUE",,"BEAVERTON","OR","97006"
"198854896","JHONNY'S REC MULTISERVICES LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-05T12:00:07.000","PRINCIPAL PLACE OF BUSINESS","18286 NW WALKER RD APT F",,"BEAVERTON","OR","97006"
"198901796","ROOTED RHYTHM","ASSUMED BUSINESS NAME","2022-07-05T12:29:28.000","PRINCIPAL PLACE OF BUSINESS","3850 SW 196TH AVENUE",,"BEAVERTON","OR","97078"
"198972896","ASSOCIATION FOR THE TREATMENT AND PREVENTION OF SEXUAL ABUSE","ASSUMED BUSINESS NAME","2022-07-06T00:00:00.000","PRINCIPAL PLACE OF BUSINESS","4900 SW GRIFFITH DR STE 274",,"BEAVERTON","OR","97005"
"198914096","WINDROSE GROUP HOME INC -","DOMESTIC BUSINESS CORPORATION","2022-07-06T06:39:12.000","PRINCIPAL PLACE OF BUSINESS","20667 SW EDGEMONT ST",,"BEAVERTON","OR","97003"
"198913999","STARWIND DISPATCH & LOGISTICS LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-06T06:39:43.000","PRINCIPAL PLACE OF BUSINESS","17190 SW HERITAGE CT APT 4D",,"BEAVERTON","OR","97003"
"198391592","THE REAL EXPERTS LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-06T06:40:10.000","PRINCIPAL PLACE OF BUSINESS","4790 SW WATSON AVE",,"BEAVERTON","OR","97005"
"198882897","PARSIN LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-06T08:35:58.000","PRINCIPAL PLACE OF BUSINESS","5005 SW MURRAY BLVD APT 422",,"BEAVERTON","OR","97005"
"198919491","WELLS QUICK LINK, LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-06T08:54:05.000","PRINCIPAL PLACE OF BUSINESS","18143 SW SHADY MEADOW CT",,"BEAVERTON","OR","97007"
"198928898","ALOHA FOOD CARTS LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-06T09:57:35.000","PRINCIPAL PLACE OF BUSINESS","20001 SW TUALATIN VALLEY HWY",,"BEAVERTON","OR","97003"
"198636996","ALMA ZULIANA LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-06T10:03:51.000","PRINCIPAL PLACE OF BUSINESS","15320 NW CORNELL RD",,"BEAVERTON","OR","97006"
"198929896","SBL RECORDS","ASSUMED BUSINESS NAME","2022-07-06T10:04:13.000","PRINCIPAL PLACE OF BUSINESS","15545 SW BEVERLY BEACH CT",,"BEAVERTON","OR","97007"
"198932395","E.A.S.Y.HOME LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-06T10:49:27.000","PRINCIPAL PLACE OF BUSINESS","5544 SW MURRAY BLVD",,"BEAVERTON","OR","97005"
"198941396","THE HAIR BOUTIQUE LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-06T13:07:15.000","PRINCIPAL PLACE OF BUSINESS","4925 SOUTHWEST ANGEL",,"BEAVERTON","OR","97005"
"198957798","LOVEABLE LITTLE CREATIONS, LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-06T16:09:09.000","PRINCIPAL PLACE OF BUSINESS","5550 SW 195TH AVE",,"BEAVERTON","OR","97078"
"198250798","ADEPT SOLUTIONS INC","DOMESTIC BUSINESS CORPORATION","2022-07-06T16:11:33.000","PRINCIPAL PLACE OF BUSINESS","15625 SW GREYSTONE CT",,"BEAVERTON","OR","97006"
"199017394","WEST COAST PREMIUM IMPORTS, INC.","DOMESTIC BUSINESS CORPORATION","2022-07-07T00:00:00.000","PRINCIPAL PLACE OF BUSINESS","11355 SW CINDY ST",,"BEAVERTON","OR","97008"
